CourseID,Course_name,Score1,Score2
AL033,Toxicology,320,355
AL035,Construction Technology and Management,255,320
AL050,Business,250,320
AL051,Accounting,255,335
AL052,Design (Visual Communications),#640,835
AL053,Pharmaceutical Sciences,N/A,N/A
AL054,Social Care Practice,310,340
AL110,General Nursing,350*,370
AL111,Mature Applicants General Nursing,#164,168
AL112,Psychiatric Nursing,360,390
AL113,Mature Applicants Psychiatric Nursing,#157,163
PC410,Humanities,275,325
CW018,Business (Wexford),285,310
CW028,Early Childhood Education and Care (Wexford),300,325
CW038,Art (Wexford),#700,890
CW108,Biosciences with Bioforensics,300,340
CW118,Biosciences with Biopharmaceuticals,280,325
CW208,Computer Games Development,300,360
CW238,Software Development,315,335
CW438,Construction - Quantity Surveying,320,350
CW448,Construction - Facilities Management,310,320
CW708,Law,305,345
CW728,Product Design Innovation,285,320
CW748,Early Childhood Education and Care,310,345
CW808,Communications and Public Relations,300,345
CW818,Accounting,270,355
CW828,International Business,275,295
CW838,Marketing,270,325
CW908,Business - Management,265,320
CR105,Chemical and Process Engineering,350,450
CR106,Software Development,215,320
CR108,Mechanical Engineering,330,440
CR109,Structural Engineering,380,445
CR111,Computerised Instrument Systems,250,310
CR112,Multimedia,375,405
CR116,Software Development and Computer Networking,244,340
CR121,Music (at CIT - Cork School of Music),**865,1065
CR150,Business Information Systems,320,350
CR220,Fine Art and Ceramic Design,#790,880
CR310,IT Management,305,325
CR330,Herbal Science,228,325
CR340,Analytical Chemistry with Quality Assurance,320,330
CR400,Accounting,355,405
CR510,Sustainable Energy Technology,375,410
CR520,Biomedical Engineering (Level 8),430,500
CR560,Architectural Technology (Level 8),420,435
CK101,Arts,335,395
CK102,Social Science,360,390
CK103,Music,#380*,395
CK104,Arts with Music,#450,480
CK106,Applied Psychology,505,520
CK111,Early Childhood Studies,335,375
CK112,Drama and Theatre Studies,#370,435
CK114,Social Science (Youth and Community Work) - Mature Applicant,#,N/A
CK115,Social Work - Mature Applicants only,#,N/A
CK116,Sports Studies and Physical Education,465,485
CK201,Commerce,445,465
CK202,Accounting,485*,515
CK203,Business Information Systems,385,430
CK204,Finance,455,490
CK205,Commerce (International) with French,465,490
CK206,Commerce (International) with German,310,420
CK207,Commerce (International) with Italian,315,370
CK208,Commerce (International) with Spanish,380,420
CK209,Commerce (International) with Irish,415,450
CK210,Government,330,370
CK211,Commerce (International) with Chinese Studies,335,430
CK301,Law - Three-years,500,525
CK302,Law and French,505,540
CK303,Law and German,450,490
CK304,Law and Irish,530,560
CK401,Computer Science,300,355
CK402,Biological and Chemical Sciences,365,460
CK404,Environmental and Earth System Sciences,360,425
CK405,Genetics,345,415
CK406,Chemical Sciences,305,415
CK407,Mathematical Sciences,480*,530
CK408,Physics and Astrophysics,440,525
CK501,Food Business,300,340
CK504,Nutritional Sciences,480*,500
CK505,Food Science,300,355
CK506,International Development and Food Policy,335,415
CK601,Process and Chemical Engineering,485,510
CK602,Civil and Environmental Engineering,500,530
CK603,Energy Engineering,535,555
CK605,Electrical and Electronic Engineering,300,460
CK606,Architecture - Joint UCC and CIT programme,495,510
CK701,Medicine,570*,590
CK702,Dentistry,565*,570
CK703,Pharmacy,550*,565
CK704,Occupational Therapy,520,535
CK705,Speech and Language Therapy,520,545
CK706,Public Health and Health Promotion,410,450
CK710,General Nursing,395*,435
CK711,Mature Applicants General Nursing,#160*,167
CK712,Children's and General Nursing (Integrated),490,500
CK713,Mature Applicants Children's and General Nursing (Integrated,#174,183
CK720,Psychiatric Nursing,340,380
CK721,Mature Applicants Psychiatric Nursing,#134,151
CK730,Intellectual Disability Nursing,375*,390
CK731,Mature Applicants Intellectual Disability Nursing,#131,151
CK740,Midwifery,425,460
CK741,Mature Applicants Midwifery,#174,187
CK791,Medicine - Graduate Entry,#56*,57
AH001,Theology and Philosophy,250,300
AH002,Theology and Psychology,300,320
AH003,Theology and English Literature,280,310
AC120,International Business,#,N/A
AC141,Behavioural Science (Psychology),260,340
CE001,Education - Primary Teaching,***395,440
CM001,Education - Primary Teaching,465*,470
CM002,Education - Primary Teaching - Gaeltacht Applicants,425,445
DB512,Business Studies,190,315
DB514,Business and Law,240,330
DB515,Business with Human Resource Management,225,320
DB516,Business with Financial Services,240,310
DB517,Marketing with Event Management,210,310
DB519,Business Management with Leisure and Recreation,210,330
DB521,Accounting and Finance,220,330
DB531,Marketing,270,330
DB553,Film Literature and Drama,205,325
DB561,Arts (General),220,290
DB562,Psychology,185,340
DB564,Media and Cultural Studies,240,310
DB565,Journalism,230,325
DB566,Social Science,220,300
DB568,Law,235,340
DB569,Business and Psychology,250,315
DC111,Business Studies,425,445
DC112,European Business (French),420,435
DC113,European Business (German),375,410
DC114,European Business (Spanish),405,435
DC115,Accounting and Finance,435,470
DC116,European Business (Transatlantic Studies),505,520
DC118,Gn„ agus Gaeilge,390,415
DC120,Enterprise Computing,300,345
DC121,Computer Applications,300,345
DC126,Actuarial Mathematics,500,530
DC127,Actuarial Financial and Mathematical Sciences,450,480
DC131,Communication Studies,430,455
DC132,Journalism,475,500
DC133,Multimedia,400,420
DC146,International Business and Languages (French/German),335,385
DC147,International Business and Languages (French/Spanish),360,400
DC148,International Business and Languages (German/Spanish),350,405
DC149,International Business and Languages (Japanese),355,410
DC155,Applied Language and Intercultural Studies,345,430
DC156,Languages for International Communication - English Stream,260,370
DC161,Analytical Science,365,395
DC162,Chemical and Pharmaceutical Sciences,360,400
DC165,Science International Programme,395,425
DC166,Environmental Science and Health,360,405
DC167,Physics with Astronomy,410,420
DC168,Genetics and Cell Biology,385,410
DC171,Applied Physics,375,405
DC173,Physics with Biomedical Sciences,430,475
DC181,Biotechnology,360,400
DC191,Electronic Engineering,255,325
DC192,Information and Communications Engineering,425,430
DC193,Mechatronics Engineering,235,365
DC195,Mechanical and Manufacturing Engineering,335,375
DC196,Manufacturing Engineering with Business Studies,340,380
DC197,Biomedical Engineering,345,395
DC199,Digital Media Engineering,385,450
DC200,Common Entry into Engineering (Undenominated Entry),280,440
DC201,Common Entry into Science (Undenominated Entry),360,410
DC202,Sport Science and Health,445,455
DC203,Science Education,395,435
DC204,Athletic Therapy and Training,470,490
DC205,Physical Education with Biology,475*,495
DC211,Music Performance at the Royal Irish Academy of Music,#320,430
DC212,Composition at the Royal Irish Academy of Music,#335,420
DC215,General Nursing,365,385
DC216,Psychiatric Nursing,315,330
DC217,Intellectual Disability Nursing,300*,325
DC218,Children's and General Nursing (Integrated),430,450
DC225,Mature Applicants General Nursing,#153*,161
DC226,Mature Applicants Psychiatric Nursing,#135,150
DC227,Mature Applicants Intellectual Disability Nursing,#130,143
DC228,Mature Applicants Children's and General Nursing (Integrated),#161,166
DC230,Economics Politics and Law,440,455
DC231,International Relations,415,435
DC235,Education and Training,325*,355
DC236,Quantitative Finance,470,485
DC238,Contemporary Culture and Society,340,370
DC239,Gaeilge agus Iriseoireacht/Irish and Journalism,445,495
DC240,Marketing Innovation and Technology,400,410
DT001,Product Design,360,385
DT021,Electrical and Electronic Engineering,350,434
DT023,Manufacturing and Design Engineering,405,440
DT025,Engineering,380,435
DT028,Transport Operations and Technology,235,320
DT081,Computer & Communications Engineering,335,385
DT101,Architecture,#532,590
DT106,Planning and Environmental Management,375,400
DT110,Property Economics (Valuation Surveying),360,395
DT111,Construction Economics and Management (Quantity Surveying),400,435
DT112,Geomatics,250,365
DT117,Construction Management,340,370
DT203,Forensic and Environmental Analysis,305,360
DT204,Biomedical Science,375,445
DT205,Mathematical Sciences,240,345
DT211,Computing,235,310
DT222,Physics Technology,275,340
DT223,Human Nutrition and Dietetics,530*,550
DT224,Optometry,520*,540
DT227,Science with Nanotechnology,295,365
DT228,Computer Science,230,315
DT229,Clinical Measurement,315,420
DT235,Physics with Medical Physics and Bioengineering,285,370
DT341,Marketing,385,400
DT343,Retail and Services Management,340,365
DT354,Business Computing,330,355
DT358,Logistics and Supply Chain Management,250,315
DT365,Business and Management,410,420
DT366,Accounting and Finance,425,440
DT401,Hospitality Management,260,330
DT407,Culinary Arts,350,385
DT412,Tourism Marketing,265,335
DT413,Event Management,405,430
DT416,Food and Beverage Culinary Management,245,320
DT417,Bar Studies (Management and Entrepreneurship),210,305
DT420,Nutraceuticals for Health and Nutrition,345,395
DT480,Food Technology/Pharmaceutical Technology,195,315
DT491,Environmental Health,340,380
DT501,Music,#375,515
DT544,Design - Interior + Furniture,#500,655
DT545,Design - Visual Communication,#690,805
DT546,Fine Art,#660,835
DT552,Media Arts,445,475
DT553,Journalism,445,455
DT555,International Business and Languages - (French),390,415
DT556,International Business and Languages - (German),325*,350
DT557,International Business and Languages - (Spanish),330,370
DT559,Photography,#635,700
DT564,International Business and Languages - (Italian),310,335
DT565,Chinese and International Business,325,375
DT571,Social Care,400,430
DT572,Early Childhood Education,385,410
DT582,Journalism with a language,400,425
DL041,Animation,#635,849
DL042,Photography,#819,920
DL043,Visual Communications,#560,852
DL044,Visual Arts Practice (Fine Art),#440,789
DL045,Film and Television Production,#845,960
DL046,Modelmaking Design and Digital Effects,#560,905
DL141,Applied Psychology,300,355
DL143,Multimedia Systems/Web Engineering,245,305
DL241,English Media and Cultural Studies,350,400
DL242,Business Studies and Arts Management,255,340
DL245,Business Studies - Entrepreneurship,250,320
FR001,Education - Primary Teaching,460*,465
FR002,Education - Primary Teaching - Gaeltacht Applicants,420,420
GC200,Business Studies,325,355
GC201,Accounting and Finance,N/A,N/A
GC203,Law,215,370
GC400,Business Studies,245,310
GC401,Accounting and Finance,255,305
GC403,Law,250,340
GC404,Business and Law,270,345
GC405,International Hospitality Management,230,345
GC430,Computing Science,240,285
GC450,Journalism and Visual Media,245,335
GC489,Interior Architecture,AQA,325
GC494,Fashion Design (Level 8),#280,400
BN101,Business,215,305
BN102,Business with Information Technology and a Language,290,310
BN103,Business and Information Technology,280,330
BN104,Computing (Information Technology),225,305
BN105,Engineering (Mechatronics),205,310
BN106,Engineering (Computer Engineering),240,295
BN107,Applied Social Studies in Social Care,320,355
BN108,Engineering (options: computer engineering mechatronics),215,320
BN109,Business (business IT language intl business accounting & financ,250,305
BN110,International Business,255,320
BN111,Sports Management and Coaching,260,325
BN112,Creative Digital Media (Level 8),240,310
TA021,Arts - European Studies,180,310
TA022,Arts - Creative Digital Media,315,355
TA023,Arts - Advertising and Marketing Communications,250,325
TA121,Business - Accounting,260,320
TA122,Business - Management,260,325
TA123,Business - Marketing Management,245,310
TA321,Science - Pharmaceutical Science,210,305
TA322,Science - Computing,225,310
TA323,Science - Information Technology Management,250,325
TA325,Science - Bioanalytical Science,305,340
MD201,Religion Education and English - second level teaching,400,420
MD301,Religion Education and History - second level teaching,390,410
MD401,Religion Education and Music - second level teaching,#360,385
MD500,Irish Studies and Religious Studies - Arts,315,355
NC001,Accounting and Human Resource Management,290,350
NC003,Software Systems,250,295
NC004,Business Information Systems,245,305
NC005,Human Resource Management,290,330
NC006,Accounting,290,345
NC007,Financial Services,290,350
NC011,Accounting and Human Resource Management - ABP Applicants,265,265
NC013,Software Systems - Area Based Partnership Applicants,285,285
NC014,Business Information Systems - Area Based Partnership,N/A,N/A
NC015,Human Resource Management - Area Based Partnership,N/A,N/A
NC016,Accounting - Area Based Partnership Applicants,240,240
NC017,Financial Services - Area Based Partnership Applicants,N/A,N/A
PB250,Law,235,320
PB251,Accounting and Finance,290,300
PB253,Business Studies,195,320
PB254,Marketing,235,235
RC001,Medicine,565*,570
RC004,Physiotherapy,500,510
RC005,Pharmacy,540*,545
RC010,General Nursing,N/A,N/A
RC101,Medicine - Graduate Entry,#58,62
PD101,Education - Primary Teaching,470*,490
PD102,Education - Primary Teaching - Gaeltacht Applicants,430,465
PD103,Arts/Humanities,425*,440
TR002,Music,**435,480
TR003,History,450*,495
TR004,Law,530*,560
TR005,Philosophy,430*,470
TR006,Psychology,535,560
TR007,Clinical Speech and Language Studies,510*,530
TR008,Religions and Theology,335,430
TR009,Music Education,**465,490
TR010,Computer Science Linguistics and German,445,445
TR011,Computer Science Linguistics and French,430,430
TR012,History and Political Science,500,525
TR013,Computer Science Linguistics and Irish,N/A,N/A
TR014,Philosophy and Political Science,470,510
TR015,Philosophy Political Science Economics and Sociology,505,530
TR018,Law and French,565*,590
TR019,Law and German,535,565
TR021,Classics,410,535
TR022,Early and Modern Irish,345,395
TR023,English Studies,500,560
TR024,European Studies,495*,540
TR025,Drama and Theatre Studies,***485*,525
TR026,Germanic Languages,450,460
TR027,Irish Studies,325,430
TR031,Mathematics,450,530
TR032,Engineering,445*,505
TR033,Computer Science,355,430
TR034,Management Science and Information Systems Studies,435,495
TR035,Theoretical Physics,500,555
TR038,Engineering with Management,375,440
TR051,Medicine,580,600
TR052,Dental Science,550,565
TR053,Physiotherapy,510*,535
TR054,Occupational Therapy,495*,515
TR055,Radiation Therapy,500*,530
TR071,Science,415,480
TR072,Pharmacy,545*,565
TR073,Human Genetics,455,515
TR074,Chemistry with Molecular Modelling,410,425
TR075,Medicinal Chemistry,440,510
TR076,Physics and Chemistry of Advanced Materials,385,460
TR081,Business Economic and Social Studies,470*,500
TR083,Sociology and Social Policy,435,465
TR084,Social Studies (Social Work),480*,515
TR085,Business Studies and French,510*,535
TR086,Business Studies and German,420*,465
TR087,Business Studies and Russian,410*,430
TR089,Business Studies and Polish,415,415
TR090,Business Studies and Spanish,460,500
TR091,General Nursing (Meath and St James's),355,385
TR092,Mature Applicants General Nursing (Meath and St James's),#158,163
TR093,General Nursing (Adelaide School of Nursing),#375,415
TR094,Mature Applicants General Nursing (Adelaide School of Nursing),#171,179
TR095,Psychiatric Nursing,290,345
TR096,Mature Applicants Psychiatric Nursing,#116,144
TR097,Intellectual Disability Nursing,290,345
TR098,Mature Applicants Intellectual Disability Nursing,#139,151
TR911,Children's and General Nursing (Integrated),465*,480
TR912,Mature Applicants Children's and General Nursing (Integrated),#163,172
TR913,Midwifery,395*,430
TR914,Mature Applicants Midwifery,#170,176
DN001,Architecture,525,560
DN002,Medicine,570*,580
DN004,Radiography,510,525
DN005,Veterinary Medicine,545*,565
DN006,Physiotherapy,510*,535
DN007,Social Science,390,425
DN008,Science,300,400
