CourseID,Course_name,Score1,Score2
AL801,Software Design(Game Development or Cloud Computin,280,N/A
AL820,Mechanical and Polymer Engineering,315,N/A
AL830,General Nursing,425,N/A
AL831,Mature Applicants General Nursing,N/A,N/A
AL832,Psychiatric Nursing,390,N/A
AL833,Mature Applicants Psychiatric Nursing,N/A,N/A
AL836,Health Science with Nutrition,365,N/A
AL837,Sports Science with Exercise Physiology,370,N/A
AL838,Biotechnology,285,N/A
AL840,Pharmaceutical Science,260,N/A
AL841,Athletic and Rehabilitation Therapy,400,N/A
AL842,Bioveterinary Science,335,N/A
AL850,Business,300,N/A
AL851,Business and Law,300,N/A
AL852,Accounting,305,N/A
AL854,Business Psychology,300,N/A
AL860,Social Care Practice,310,N/A
PC405,Citizenship and Community Studies,#,N/A
PC410,Humanities,300,N/A
PC411,English and History,270,N/A
CW008,Applied Humanities (Wexford),275,N/A
CW018,Business (Options:Business or Digital Marketing -,250,N/A
CW028,Early Childhood Education and Care (Wexford),260,N/A
CW038,Art (Wexford) - Portfolio,700#,N/A
CW068,Applied Social Studies(Professional Social Care -,280,N/A
CW088,Visual Communications and Design (Wexford),250,N/A
CW098,Culture and Heritage Studies (Wexford),230,N/A
CW108,Biosciences with Bioforensics or Biopharmaceutical,300,N/A
CW168,Environmental Science,320,N/A
CW178,Sport Science,420,N/A
CW188,Sports Rehabilitation and Athletic Therapy,445,N/A
CW198,Strength and Conditioning,390,N/A
CW208,Computer Games Development,315,N/A
CW238,Software Development,320,N/A
CW248,Computer Systems Management,305,N/A
CW438,Quantity Surveying,260,N/A
CW448,Facilities and Energy Management,255,N/A
CW468,Architectural Technology,260,N/A
CW478,Civil Engineering,N/A,N/A
CW548,Mechanical Engineering,280,N/A
CW558,Electronic Systems,290,N/A
CW568,Aero Engineering,380,N/A
CW578,TV and Media Production,390,N/A
CW708,Law - LLB,290,N/A
CW728,Product Design Innovation,300,N/A
CW748,Early Childhood Education and Care,285,N/A
CW758,Applied Social Studies (Professional Social Care),300,N/A
CW788,Youth and Community Work - Interview,700#,N/A
CW808,Media and Public Relations,270,N/A
CW838,Business - Marketing,280,N/A
CW858,Sport Management and Coaching,700#,N/A
CW908,Business - Management,283,N/A
CW928,Business - Human Resource Management,280,N/A
CW938,Business with Law,285,N/A
CW948,Accounting,295,N/A
CR105,Chemical and Biopharmaceutical Engineering,425,N/A
CR106,Software Development,365,N/A
CR108,Mechanical Engineering,415,N/A
CR109,Structural Engineering,420,N/A
CR112,Multimedia,370,N/A
CR116,Software Development and Computer Networking,335,N/A
CR121,Music at CIT Cork School of Music,685#,N/A
CR125,Popular Music: Electric Bass Guitar at CIT School,N/A,N/A
CR126,Popular Music: Drums  at CIT Cork School of Music,695#,N/A
CR127,Popular Music: Electric Guitar at CIT Cork School,705#,N/A
CR128,Popular Music: Keyboards  at CIT Cork School of Mu,1095#,N/A
CR129,Popular Music: Voice at CIT Cork School of Music,925#,N/A
CR150,Business Information Systems,355,N/A
CR210,Contemporary Applied Art (Ceramic  Glass  Textiles,665#,N/A
CR220,Fine Art at CIT Crawford College of Art and Design,515#,N/A
CR305,Physical Sciences (Common Entry),325,N/A
CR310,IT  Management,310,N/A
CR312,Web Development,330,N/A
CR320,Biomedical Science - Joint CIT and UCC programme,525*,N/A
CR325,Pharmaceutical Biotechnology,350,N/A
CR330,Herbal Science,330,N/A
CR333,Nutrition and Health Science,375,N/A
CR335,Common Entry Biological Sciences,395,N/A
CR340,Analytical Chemistry with Quality Assurance,300,N/A
CR360,Instrument Engineering,300,N/A
CR365,Environmental Science and Sustainable Technology,300,N/A
CR400,Accounting,310,N/A
CR420,Marketing,305,N/A
CR425,International Business with Language,290,N/A
CR500,Engineering (Common Entry),390,N/A
