web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees,File_Name
1667467493-820,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Business(Bba) Business Studies,4 years,"Co Op, On Campus",Full Time,92.0,"01 Jul, 2022",INR 13.4 L/Yr,scraper_1.csv
1667467493-821,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] International Accounting and Business,1 year,On Campus,Full Time,92.0,"16 Jul, 2022",INR 15.3 L/Yr,scraper_1.csv
1667467493-822,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Aviation Management with Pilot Studies,4 years,"Co Op, On Campus",Full Time,92.0,"01 Jul, 2022",INR 13.4 L/Yr,scraper_1.csv
1667467493-823,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Computing,1 year,On Campus,Full Time,,"15 Aug, 2021",INR 16.3 L/Yr,scraper_1.csv
1667467493-824,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Master Engineering Qualifier A - Mechanical and Manufacturing Engineering,2 years,On Campus,Full Time,,"15 Aug, 2021",INR 16.3 L/Yr,scraper_1.csv
1667467493-825,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Human Resource Management,1 year,On Campus,Full Time,92.0,"16 Jul, 2022",INR 15.9 L/Yr,scraper_1.csv
1667467493-826,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] Global Business,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 13.4 L/Yr,scraper_1.csv
1667467493-827,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Management - Business,1 year,On Campus,Full Time,92.0,"16 Jul, 2022",INR 15.3 L/Yr,scraper_1.csv
1667467493-828,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Management - Strategy,1 year,On Campus,Full Time,92.0,"16 Jul, 2022",INR 15.3 L/Yr,scraper_1.csv
1667467493-829,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Finance,1 year,On Campus,Full Time,92.0,"16 Jul, 2022",INR 15.3 L/Yr,scraper_1.csv
1667467493-830,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Electronic Commerce,1 year,On Campus,Full Time,92.0,"16 Jul, 2022",INR 15.3 L/Yr,scraper_1.csv
1667467493-831,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] Communication Studies,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-832,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Bioprocess Engineering,1 year,,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-833,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] Humanities,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-834,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Engineering [B.Eng] Mechatronics Engineering,4 years,,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-835,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Nursing (General),4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 12.6 L/Yr,scraper_1.csv
1667467493-836,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Accounting,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.1 L/Yr,scraper_1.csv
1667467493-837,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Digital Marketing,1 year,On Campus,Full Time,92.0,"16 Jul, 2022",INR 14.1 L/Yr,scraper_1.csv
1667467493-838,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts (B.A) Accounting and Finance,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 13.4 L/Yr,scraper_1.csv
1667467493-839,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] English and History,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-840,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A],4 years,"Honours, On Campus",Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-841,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Laws [L.L.M] Law,1 year,,Full Time,,"07 Dec, 2021",INR 14.3 L/Yr,scraper_1.csv
1667467493-842,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Financial Mathematics,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-843,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Management of Operations,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 15.3 L/Yr,scraper_1.csv
1667467493-844,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Physical Education with Biology,4 years,,Full Time,92.0,"01 Jul, 2022",INR 13.8 L/Yr,scraper_1.csv
1667467493-845,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Physical Education with Mathematics,4 years,,Full Time,92.0,"01 Jul, 2022",INR 13.8 L/Yr,scraper_1.csv
1667467493-846,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Physics with Astronomy,4 years,,Full Time,92.0,"01 Jul, 2022",INR 13.8 L/Yr,scraper_1.csv
1667467493-847,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Physics with Biomedical Sciences,4 years,,Full Time,92.0,"01 Jul, 2022",INR 13.8 L/Yr,scraper_1.csv
1667467493-848,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Psychology,4 years,,Full Time,92.0,"01 Jul, 2022",INR 13.8 L/Yr,scraper_1.csv
1667467493-849,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Science Education,4 years,,Full Time,92.0,"01 Jul, 2022",INR 13.8 L/Yr,scraper_1.csv
1667467493-850,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Sport Science and Health,4 years,,Full Time,92.0,"01 Jul, 2022",INR 13.8 L/Yr,scraper_1.csv
1667467493-851,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] Applied Language and Translation Studies,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-852,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,"Bachelor of Arts [B.A] Economics, Politics and Law",4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-853,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] International Relations,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-854,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] Journalism,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-855,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Arts [B.A] Multimedia,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-856,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Engineering [B.Eng] Biomedical Engineering,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-857,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Engineering [B.Eng] Electronic & Computer Engineering,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-858,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Engineering [B.Eng] Mechanical & Manufacturing Engineering,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-859,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Laws [L.L.B] Civil Law,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-860,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Analytical Science,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-861,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Applied Physics,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-862,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Athletic Therapy and Training,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 17.2 L/Yr,scraper_1.csv
1667467493-863,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Aviation Management with Pilot Studies,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 13.4 L/Yr,scraper_1.csv
1667467493-864,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Biotechnology,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-865,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Chemical and Pharmaceutical Science,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-866,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Computer Applications,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-867,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Education and Training,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 12.1 L/Yr,scraper_1.csv
1667467493-868,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Enterprise Computing,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-869,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Environmental Science & Health,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 13.6 L/Yr,scraper_1.csv
1667467493-870,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Genetics and Cell Biology,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-871,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Health and Society,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-872,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Humanities (Psychology Major),4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-873,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Information Technology,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-874,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Bachelor of Science [B.S] Management of Information Technology and Information Systems,4 years,On Campus,Full Time,92.0,"01 Jul, 2022",INR 14.4 L/Yr,scraper_1.csv
1667467493-875,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Arts [M.A] Master of Teaching,1 year,On Campus,Full Time,,"16 Jun, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-876,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Arts [M.A] Professional Master of Education,2 years,On Campus,Full Time,,"16 Jul, 2022",INR 8.6 L/Yr,scraper_1.csv
1667467493-877,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Arts [M.A] European Law and Policy,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-878,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Arts [M.A] History,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-879,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Arts [M.A] Journalism,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-880,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Arts [M.A] Social Media Communications,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-881,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Engineering [M.Eng] Electronic and Computer Engineering,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 16.3 L/Yr,scraper_1.csv
1667467493-882,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Engineering [M.Eng] Mechanical and Manufacturing Engineering,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 16.3 L/Yr,scraper_1.csv
1667467493-883,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Education and Training Management (eLearning),1 year,On Campus,Full Time,,"27 Mar, 2022",INR 6.6 L/Yr,scraper_1.csv
1667467493-884,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Human Resource Strategies,1 year,On Campus,Full Time,,"16 Jun, 2022",INR 16 L/Yr,scraper_1.csv
1667467493-885,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Intellectual Disability Nursing Practice,2 years,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-886,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] International Management,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 15.3 L/Yr,scraper_1.csv
1667467493-887,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,"Master of Science [M.S] Investment, Treasury and Banking",1 year,On Campus,Full Time,,"16 Jul, 2021",INR 12.4 L/Yr,scraper_1.csv
1667467493-888,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Management for Sustainable Development,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
1667467493-889,https://collegedunia.com/ireland/college/726-dublin-city-university-dublin/programs#,Master of Science [M.S] Science and Health Communication,1 year,On Campus,Full Time,,"16 Jul, 2022",INR 14.3 L/Yr,scraper_1.csv
