web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667480151-1109","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Post Graduate Computing","1 year","On Campus","Full Time","6.5","null","INR 11.8 L/Yr"
"1667480151-1110","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Science [M.S] Network and Information Security","1 year","On Campus","Full Time","90","01 Mar, 2021","INR 13.8 L/Yr"
"1667480151-1111","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Law [L.L.M] International Law","1 year","On Campus","Full Time","90","null","INR 13.8 L/Yr"
"1667480151-1112","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Science [M.S] Computing","1 year","On Campus","Full Time","90","01 Mar, 2021","INR 13.8 L/Yr"
"1667480151-1113","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Science [M.S] Big Data Management and Analytics","1 year","On Campus","Full Time","90","01 Mar, 2021","INR 13.8 L/Yr"
"1667480151-1114","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Science [M.S] Accounting and Finance Management","1 year","On Campus","Full Time","90","01 Mar, 2021","INR 13.8 L/Yr"
"1667480151-1115","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Arts [B.A] Accounting and Finance","3 years","Honours, On Campus","Full Time","79","null","INR 11.8 L/Yr"
"1667480151-1116","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Science [B.S] Computing Science","3 years","On Campus","Full Time","79","01 Feb, 2021","INR 11.8 L/Yr"
"1667480151-1117","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Arts [B.A] Interior Architecture","3 years","Honours, On Campus","Full Time","79","01 Feb, 2021","INR 11.8 L/Yr"
"1667480151-1118","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Law (Hons) [L.L.B]","3 years","Honours, On Campus","Full Time","79","null","INR 11.8 L/Yr"
"1667480151-1119","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Arts [B.A] Design Communications","3 years","Honours, On Campus","Full Time","79","01 Feb, 2021","INR 11.8 L/Yr"
"1667480151-1120","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Arts [B.A] Marketing","3 years","On Campus","Full Time","79","null","INR 11.8 L/Yr"
"1667480151-1121","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Science [M.S] Pharmaceutical Business and Technology","1 year","Online, On Campus","Full Time","90","01 Mar, 2021","INR 14.8 L/Yr"
"1667480151-1122","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Arts [M.A] Journalism and Public Relations","1 year","On Campus","Full Time","90","01 Mar, 2021","INR 13.8 L/Yr"
"1667480151-1123","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Science (Hons) Computing","4 years","Honours","Full Time","6","null","INR 9.7 L/Yr"
"1667480151-1124","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Science (Hons) Computing ( Software Development)","4 years","Honours","Full Time","6","null","INR 9.7 L/Yr"
"1667480151-1125","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Bachelor of Arts (Hons) Business","3 years","Honours","Full Time","6","null","null"
"1667480151-1126","https://collegedunia.com/ireland/college/3432-griffith-college-dublin-dublin/programs#","Master of Science [M.S] International Business Management","1 year","null","Full Time","79","null","INR 13.8 L/Yr"
