"Timestamp","How satisfied were you with using the Interest Profiler?","How relevant and helpful do you think it was for your course application?","How satisfied were you with the overall presentation of the questions?","How satisfied were you with the questions? [Logic ]","How satisfied were you with the questions? [Relevance ]","How satisfied were you with the questions? [Order]","How satisfied were you with the questions? [Ease of answering]","Which types of questions did you find most relevant? [Questions on technical skills]","Which types of questions did you find most relevant? [Questions on soft skills]","Which types of questions did you find most relevant? [Questions on hobbies]","Which types of questions did you find most relevant? [Questions on career paths]","How satisfied were you with the color scheme of the Interest Profiler?","How satisfied were you with the output of the Interest Profiler?","Do you feel like the results are align with your opinion of yourself?","Do you feel like this was an engaging experience?","How likely are you to recommend a friend to take this Interest Profiler?","Are there any improvements that you would suggest to this Interest Profiler?"
"2022/11/10 9:54:39 AM GMT","3","2","4","3","4","3","2","Relevant","Not relevant","Very relevant","Very relevant","3","3","3","3","3","Naah"
"2022/11/10 9:56:57 AM GMT","4","1","4","4","5","4","5","Very relevant","Very relevant","Not relevant","Relevant","4","4","4","3","4","good"
"2022/11/10 10:00:56 AM GMT","4","5","4","4","4","3","5","Very relevant","Relevant","Relevant","Relevant","3","4","4","2","4","Make the outlook better"
"2022/11/10 10:35:41 AM GMT","4","5","4","4","4","4","4","Very relevant","Very relevant","Very relevant","Very relevant","5","5","5","3","4","More questions maybe"
"2022/11/10 10:44:19 AM GMT","3","3","3","3","3","4","5","Relevant","Relevant","Not relevant","Relevant","5","3","3","2","4","Maybe add more categories"
"2022/11/10 10:46:04 AM GMT","4","4","4","4","4","4","5","Very relevant","Relevant","Not relevant","Very relevant","5","5","5","5","4","Reading books is not my hobby"
"2022/11/10 10:47:28 AM GMT","3","3","4","3","4","3","4","Relevant","Relevant","Relevant","Relevant","2","3","3","2","3","Short test"
"2022/11/10 10:51:22 AM GMT","5","4","3","4","3","3","3","Very relevant","Relevant","Not relevant","Relevant","2","4","3","2","3","more questions"
"2022/11/10 10:53:27 AM GMT","3","2","3","3","3","3","3","Relevant","Not relevant","Not relevant","Relevant","5","3","4","3","2","Need more questions to make better predictions "
"2022/11/10 10:54:50 AM GMT","3","4","3","3","3","3","3","Relevant","Very relevant","Not relevant","Not relevant","2","4","4","2","3","Could use more questions "
"2022/11/10 10:55:06 AM GMT","4","4","4","4","4","4","5","Relevant","Relevant","Not relevant","Relevant","4","4","4","4","4","Consider other aspects of a person’s interest "
"2022/11/10 10:57:34 AM GMT","3","2","2","2","2","4","4","Relevant","Not relevant","Not relevant","Not relevant","5","2","2","4","3","Could be a little more inclusive of other career path/ course field"
"2022/11/10 10:58:46 AM GMT","3","3","3","3","3","4","3","Relevant","Relevant","Relevant","Relevant","3","3","3","3","3","Pretty decent, could use more questions "
"2022/11/10 11:04:17 AM GMT","4","4","3","3","3","3","3","Relevant","Relevant","Not relevant","Relevant","4","4","4","4","4","Add more options"
"2022/11/10 11:05:14 AM GMT","3","3","2","2","2","4","4","Relevant","Relevant","Not relevant","Not relevant","5","3","2","2","2","My career interest was not listed"
"2022/11/10 11:05:52 AM GMT","3","3","3","3","3","3","3","Relevant","Relevant","Relevant","Relevant","3","3","3","3","3","Happy with the predictions "
"2022/11/10 11:22:35 AM GMT","3","4","3","4","4","4","4","Very relevant","Very relevant","Very relevant","Very relevant","2","4","5","2","4","Better colours and more questions "
"2022/11/10 11:23:05 AM GMT","4","4","4","4","4","4","4","Very relevant","Very relevant","Very relevant","Very relevant","5","5","5","5","5","It was nice"
"2022/11/10 11:23:52 AM GMT","1","1","2","2","2","2","2","Not relevant","Not relevant","Not relevant","Not relevant","1","3","3","2","3","Seems like it could use many improvements"
"2022/11/10 11:24:24 AM GMT","4","4","4","4","4","4","4","Very relevant","Very relevant","Not relevant","Relevant","4","4","4","2","4","More questions "
