CourseID,Course_name,Score1,Score2
AL032,Software Design (Games Development),265,315
AL033,Toxicology,280,345
AL034,Software Design (Web Development),270,300
AL035,Construction Technology and Management,265,310
AL050,Business,275,320
AL051,Accounting,250,325
AL052,Design (Visual Communications),#635,820
AL053,Pharmaceutical Sciences,,
AL054,Social Care Practice,340,360
AL057,Business and Law,250,330
AL058,Accounting and Law,255,335
AL110,General Nursing,395*,425
AL111,Mature Applicants General Nursing,#172,176
AL112,Psychiatric Nursing,370*,395
AL113,Mature Applicants Psychiatric Nursing,#162*,166
PC405,Citizenship and Community Studies,240,300
PC410,Humanities,280,315
PC411,English & History,330,350
CW018,Business (Wexford),290,320
CW028,Early Childhood Education and Care (Wexford),300,325
CW038,Art (Wexford),#700,700
CW058,Sustainable Architectural Technology (Wexford),310,330
CW068,Applied Social Studies - Social Care (Wexford),325,335
CW078,Economic and Social Studies (Wexford),295,305
CW088,Visual Communications and Design (Wexford),345,360
CW108,Biosciences with Bioforensics OR Biopharmaceuticals,295,340
CW168,Environmental Science,310,360
CW178,Sport Science,410,420
CW188,Sports Rehabilitation and Athletic Therapy,440,460
CW208,Computer Games Development,305,355
CW238,Software Development,285,320
CW248,Computing Systems Management,290,330
CW438,Construction - Quantity Surveying,300,325
CW448,Construction - Facilities and Energy Management,300,335
CW708,Law,320,350
CW728,Product Design Innovation,300,330
CW748,Early Childhood Education and Care,335,350
CW758,Applied Social Studies - Social Care,350,360
CW768,Social and Community Studies,325,340
CW808,Communications and Public Relations,290,320
CW818,Accounting,310,360
CW838,Business - Marketing,280,315
CW908,Business,300,330
CW928,Business - Human Resource Management,300,315
CW938,Business with Law,300,340
CR105,Chemical and Biopharmaceutical Engineering,360,450
CR106,Software Development,295,340
CR108,Mechanical Engineering,370,425
CR109,Structural Engineering,275,345
CR112,Multimedia,375,420
CR116,Software Development and Computer Networking,300,360
CR121,Music at CIT - Cork School of Music,**855,100
CR150,Business Information Systems,310,335
CR220,Fine Art and Ceramic Design at CIT Crawford College,#750,895
CR305,Science (Level 8 -  Common Entry),320,355
CR310,IT Management,300,335
CR312,Web Development,300,365
CR320,Biomedical Science - Joint CIT and UCC programme,490,505
CR325,Pharmaceutical Biotechnology,320,370
CR330,Herbal Science,300,330
CR333,Nutrition and Health Science,330,365
CR340,Analytical Chemistry with Quality Assurance,235,320
CR360,Instrument Engineering,315,345
CR365,Environmental Science and Sustainable Technology,330,355
CR400,Accounting,345,390
CR420,Marketing,290,325
CR500,Common Engineering Honours Degree Entry,350,400
CR510,Sustainable Energy,390,415
CR520,Biomedical Engineering,275,480
CR560,Architectural Technology,370,390
CR565,Interior Architecture,310,345
CR570,Quantity Surveying,290,320
CR572,Construction Management,280,330
CR590,Electronic Systems Engineering,300,345
CR600,Visual Communications,#670,805
CR660,Tourism,280,310
CK101,Arts,350,395
CK102,Social Science,390,415
CK103,Music,#370,430
CK104,Arts with Music,#445,485
CK106,Applied Psychology,500,515
CK111,Early Years and Childhood Studies,395,425
CK112,Drama and Theatre Studies,#370,475
CK114,Social Science (Youth and Community Work) - Mature Applicants,#,
CK115,Social Work - Mature Applicants only,#,
CK116,Sports Studies and Physical Education,470*,490
CK201,Commerce,430,455
CK202,Accounting,470,505
CK203,Business Information Systems,380,410
CK204,Finance,435,465
CK205,Commerce (International) with French,445,475
CK206,Commerce (International) with German,405,455
CK207,Commerce (International) with Italian,345,410
CK208,Commerce (International) with Hispanic Studies,350,425
CK209,Commerce (International) with Irish,450,470
CK210,Government,330,375
CK211,Commerce (International) with Chinese Studies,330,435
CK301,Law,485,500
CK302,Law and French,490,525
CK303,Law and German,465,500
CK304,Law and Irish,515,525
CK305,Law (Clinical),505,520
CK306,Law (International),535,560
CK401,Computer Science,315,360
CK402,Biological and Chemical Sciences,375,440
CK404,Environmental and Earth System Sciences,370,425
CK405,Genetics,425,465
CK406,Chemical Sciences,365,400
CK407,Mathematical Sciences,500,550
CK408,Physics and Astrophysics,430,505
CK502,Food Marketing and Entrepreneurship,390,415
CK504,Nutritional Sciences,470,490
CK505,Food Science,335,380
CK506,International Development and Food Policy,335,370
CK601,Process and Chemical Engineering,455,500
CK602,Civil and Environmental Engineering,430,495
CK603,Energy Engineering,495,525
CK605,Electrical and Electronic Engineering,405,460
CK606,Architecture - Joint UCC and CIT programme,425*,470
CK701,Medicine - (Undergraduate Entry),#725,
CK702,Dentistry,570*,580
CK703,Pharmacy,540,555
CK704,Occupational Therapy,505,525
CK705,Speech and Language Therapy,500,525
CK706,Public Health and Health Promotion,355,405
CK710,General Nursing,440*,460
CK711,Mature Applicants General Nursing,#165,171
CK712,Children's and General Nursing (Integrated),500,520
CK713,Mature Applicants Children's and General Nursing (Integrated),#163,179
CK720,Psychiatric Nursing,415,420
CK721,Mature Applicants Psychiatric Nursing,#163*,166
CK730,Intellectual Disability Nursing,405,415
CK731,Mature Applicants Intellectual Disability Nursing,#161,166
CK740,Midwifery,435*,455
CK741,Mature Applicants Midwifery,#171,173
CK791,Medicine - Graduate Entry,#59*,607
AH001,Theology and Philosophy,280,305
AH002,Theology and Psychology,340,355
AH003,Theology and English Literature,340,345
AC120,International Business,305,340
AC121,Accounting and Finance,335,355
CE001,Education - Primary Teaching,375,
CM001,Education - Primary Teaching,465*,470
CM002,Education - Primary Teaching - Gaeltacht Applicants,425*,430
DB512,Business Studies,230,310
DB514,Business and Law,265,320
DB515,Business with Human Resource Management,205,315
DB516,Business with Financial Services,325,335
DB517,Marketing with Event Management,155,320
DB519,Business Management with Leisure and Recreation,200,290
DB520,Business Studies  (with one year work placement),225,305
DB521,Accounting and Finance,260,335
DB531,Marketing,265,320
DB553,Film Literature and Drama,210,310
DB561,Arts (General),205,315
DB562,Psychology,200,325
DB564,Media and Cultural Studies,170,315
DB565,Journalism,210,310
DB566,Social Science,225,305
DB567,Film Studies,175,305
DB568,Law,205,320
DB569,Business with Psychology,235,310
DC111,Business Studies,420,440
DC112,European Business (French),430,460
DC113,European Business (German),360,375
DC114,European Business (Spanish),400,415
DC115,Accounting and Finance,425,470
DC116,European Business (Transatlantic Studies),510,520
DC117,Aviation Management / Aviation Management with Pilot Studies,420,440
DC118,Gnã agus Gaeilge,345,375
DC120,Enterprise Computing,315,350
DC121,Computer Applications,325,360
DC126,Actuarial Mathematics,500,530
DC127,Actuarial  Financial and Mathematical Sciences (common entry),420,465
DC131,Communication Studies,440,470
DC132,Journalism,440,465
DC133,Multimedia,400,415
DC144,International Business and Languages (English as a Foreign Lan),375,395
DC145,International Business and Languages (French/German/Spanish),370,430
DC149,International Business and Languages (Japanese),380,410
DC150,International Business and Languages (Chinese),375,405
DC155,Applied Language and Intercultural Studies,340,415
DC156,Languages for International Communication - English Stream -,330,390
DC161,Analytical Science,380,405
DC162,Chemical and Pharmaceutical Sciences,380,400
DC166,Environmental Science and Health,375,400
DC167,Physics with Astronomy,355,375
DC168,Genetics and Cell Biology,410,425
DC171,Applied Physics,360,425
DC173,Physics with Biomedical Sciences,370,405
DC181,Biotechnology,380,425
DC191,Electronic Engineering,320,380
DC192,Information and Communications Engineering,,
DC193,Mechatronic Engineering,310,430
DC195,Mechanical and Manufacturing Engineering,320,400
DC196,Manufacturing Engineering with Business Studies,300,345
DC197,Biomedical Engineering,335,420
DC199,Digital Media Engineering,330,425
DC200,Common Entry into Engineering (Undenominated Entry),305,405
DC201,Common Entry into Science (Undenominated Entry),375,400
DC202,Sport Science and Health,445,460
DC203,Science Education,415,440
DC204,Athletic Therapy and Training,475,490
DC205,Physical Education with Biology,485,500
DC208,Psychology,480,490
DC211,Music Performance at the Royal Irish Academy of Music,#335,470
DC212,Composition at the Royal Irish Academy of Music,#495,495
DC215,General Nursing,415*,440
DC216,Psychiatric Nursing,365,375
DC217,Intellectual Disability Nursing,370*,385
DC218,Childrenês and General Nursing (Integrated),460*,465
DC225,Mature Applicants General Nursing,#166*,174
DC226,Mature Applicants Psychiatric Nursing,#153,164
DC227,Mature Applicants Intellectual Disability Nursing,#150,162
DC228,Mature Applicants Childrenês and General Nursing (Integrated),#172,185
DC230,Economics Politics and Law,400,425
DC231,International Relations,400,445
DC232,Law and Society (BCL),440,460
DC235,Education and Training,360,380
DC238,Contemporary Culture and Society,360,395
DC239,Gaeilge agus Iriseoireacht/Irish and Journalism,450,480
DC240,Marketing Innovation and Technology,400,420
DT001,Product Design,380,405
DT021,Electrical and Electronic Engineering,345,425
DT023,Manufacturing and Design Engineering,320,405
DT025,Engineering - Common 1st Year,350,410
DT028,Transport Operations and Technology,250,315
DT081,Computer and Communications Engineering,310,395
DT101,Architecture,#575,605
DT105,Architectural Technology,375,405
DT106,Planning and Environmental Management,315,340
DT110,Property Economics (Valuation Surveying),320,345
DT111,Construction Economics and Management (Quantity Surveying),330,375
DT112,Geomatics (Surveying and Mapping),285,345
DT117,Construction Management,300,340
DT203,Forensic and Environmental Analysis,335,375
DT204,Biomedical Science,420,445
DT205,Mathematical Sciences,280,370
DT211,Computing,315,325
DT220,Industrial Mathematics,290,380
DT222,Physics Technology,300,340
DT223,Human Nutrition and Dietetics,540,550
DT224,Optometry,515,535
DT227,Science with Nanotechnology,320,350
DT228,Computer Science,335,360
DT229,Clinical Measurement,395,415
DT235,Physics with Medical Physics and Bioengineering,285,390
DT299,Chemical Sciences with Medicinal Chemistry,335,375
DT341,Marketing,375,390
DT343,Retail and Services Management,330,355
DT354,Business Computing,340,365
DT358,Logistics and Supply Chain Management,290,325
DT365,Business and Management,400,415
DT366,Accounting and Finance,405,420
DT401,International Hospitality Management,280,325
DT407,Culinary Arts,385,415
DT412,Tourism Marketing,250,320
DT413,Event Management,390,410
DT416,Culinary Entrepreneurship,315,345
DT417,Bar Studies (Management and Entrepreneurship),300,330
DT420,Nutraceuticals in Health and Nutrition,360,385
DT421,Food Innovation,305,345
DT422,Pharmaceutical Healthcare,315,345
DT491,Environmental Health,330,370
DT501,Music,#383,495
DT529,Drama (Performance),#360,470
DT544,Design - Interior and Furniture,#495,675
DT545,Design - Visual Communication,#795,885
DT546,Fine Art,#785,905
DT552,Media Arts,410,440
DT553,Journalism and a Language,415,440
DT555,International Business and Languages - (French),390,425
DT556,International Business and Languages - (German),340,360
DT557,International Business and Languages - (Spanish),350,380
DT558,International Business and Languages - (English),#,
DT559,Photography,#660,725
DT564,International Business and Languages - (Italian),355,390
DT565,Chinese and International Business,345,365
DT571,Social Care,410,430
DT572,Early Childhood Education,410,435
DT582,Journalism,420,440
DT595,Applied Arts (Creative Industries - Theory and Context),370,410
DT596,Print and Digital Media Management Technology,180,300
DL041,Animation,#695,835
DL042,Photography,#778,879
DL043,Visual Communications,#585,695
