CourseID,Course_name,Score1,Score2
AL032,Software Design (Games Development),285,330
AL033,Toxicology,240,330
AL034,Software Design (Web Development),285,340
AL035,Construction Technology and Management,265,315
AL050,Business,270,325
AL051,Accounting,260,335
AL052,Design (Visual Communications),#465,765
AL053,Pharmaceutical Sciences,250,345
AL054,Social Care Practice,330,350
AL055,Society and Communications,N/A,N/A
AL057,Business and Law,255,310
AL058,Accounting and Law,265,340
AL110,General Nursing,400,405
AL111,Mature Applicants General Nursing,#225,230
AL112,Psychiatric Nursing,375,380
AL113,Mature Applicants Psychiatric Nursing,#217,223
AL837,Sports Science with Exercise Physiology,375,395
PC405,Citizenship and Community Studies,225,290
PC410,Humanities,280,310
PC411,English and History,300,335
CW018,Business (Wexford campus),295,380
CW028,Early Childhood Education and Care (Wexford campus),280,305
CW038,Art (Wexford campus - Portfolio),#700,700
CW058,Sustainable Architectural Technology (Wexford campus),255,280
CW068,Applied Social Studies - Social Care (Wexford campus),335,345
CW088,Visual Communications and Design (Wexford campus),300,330
CW108,Biosciences with Bioforensics or Biopharmaceuticals,295,325
CW168,Environmental Science,320,340
CW178,Sport Science,415,430
CW188,Sports Rehabilitation and Athletic Therapy,445,465
CW208,Computer Games Development,325,375
CW238,Software Development,295,325
CW248,Computer Systems Management,290,330
CW438,Construction - Quantity Surveying,250,265
CW448,Construction - Facilities and Energy Management,300,330
CW468,Architectural Technology,275,320
CW548,Mechanical Engineering,315,360
CW558,Electronic Systems,300,335
CW708,Law,305,335
CW728,Product Design Innovation,305,335
CW748,Early Childhood Education and Care,320,340
CW758,Applied Social Studies - Social Care,350,365
CW768,Social and Community Studies,330,340
CW808,Media and Public Relations,320,355
CW838,Business - Marketing,295,360
CW908,Business,285,345
CW928,Business - Human Resource Management,285,315
CW938,Business with Law,320,360
CW948,Accounting,315,380
CR105,Chemical and Biopharmaceutical Engineering,395,470
CR106,Software Development,290,340
CR108,Mechanical Engineering,345,440
CR109,Structural Engineering,380,395
CR112,Multimedia,390,410
CR116,Software Development and Computer Networking,290,325
CR121,Music at CIT Cork School of Music,**795,995
CR150,Business Information Systems,315,355
CR210,Applied Art Ceramics (Crawford College of Art & Design),#650,905
CR220,Fine Art and Ceramic Design at CIT Crawford College of Art a,#700,865
CR305,Science (Common entry),310,340
CR310,IT Management,290,320
CR312,Web Development,295,330
CR320,Biomedical Science - Joint CIT and UCC programme,495,515
CR325,Pharmaceutical Biotechnology,285,335
CR330,Herbal Science,250,310
CR333,Nutrition and Health Science,320,355
CR340,Analytical Chemistry with Quality Assurance,290,350
CR360,Instrument Engineering,320,350
CR365,Environmental Science and Sustainable Technology,330,350
CR400,Accounting,355,385
CR420,Marketing,295,330
CR500,Engineering (Common entry),310,385
CR510,Sustainable Energy,330,375
CR520,Biomedical Engineering,330,435
CR560,Architectural Technology,320,365
CR565,Interior Architecture,300,345
CR570,Quantity Surveying,285,305
CR572,Construction Management,250,315
CR580,Electrical Power Systems,310,355
CR590,Electronic Systems Engineering,300,360
CR600,Visual Communications,#550,700
CR660,Tourism,260,310
CK101,Arts,345,395
CK102,Social Science,385,410
CK103,Music,#375,405
CK104,Arts with Music,#410,470
CK106,Applied Psychology,500,525
CK111,Early Years and Childhood Studies,400,430
CK112,Drama and Theatre Studies,#400,430
CK114,Social Science (Youth and Community Work) - Mature Applicant,N/A,N/A
CK115,Social Work - Mature Applicants only,N/A,N/A
CK116,Sports Studies and Physical Education,480,485
CK201,Commerce,420,450
CK202,Accounting,425,480
CK203,Business Information Systems,400,430
CK204,Finance,430,480
CK205,Commerce (International) with French,500,545
CK206,Commerce (International) with German,370,455
CK207,Commerce (International) with Italian,350,380
CK208,Commerce (International) with Hispanic Studies,420,460
CK209,Commerce (International) with Irish,440,460
CK210,Government,335,365
CK211,Commerce (International) with Chinese Studies,360,415
CK301,Law,480*,500
CK302,Law and French,535,555
CK304,Law and Irish,500,525
CK305,Law (Clinical),520*,530
CK306,Law (International),545,555
CK401,Computer Science,330,390
CK402,Biological and Chemical Sciences,400,455
CK404,Environmental and Earth System Sciences,380,425
CK405,Genetics,460,485
CK406,Chemical Sciences,360,395
CK407,Mathematical Sciences,515,540
CK408,Physics and Astrophysics,445,490
CK502,Food Marketing and Entrepreneurship,420,455
CK504,Nutritional Sciences,490,510
CK505,Food Science,365,395
CK506,International Development and Food Policy,350,405
CK601,Process and Chemical Engineering,440,505
CK602,Civil and Environmental Engineering,405,475
CK603,Energy Engineering,465,520
CK605,Electrical and Electronic Engineering,405,525
CK606,Architecture - Joint UCC and CIT programme,420,455
CK701,Medicine - (Undergraduate Entry),#733*,N/A
CK702,Dentistry,570,580
CK703,Pharmacy,545*,560
CK704,Occupational Therapy,515,535
CK705,Speech and Language Therapy,520,540
CK706,Public Health and Health Promotion,375,400
CK710,General Nursing,440*,460
CK711,Mature Applicants General Nursing,#231,233
CK712,Children's and General Nursing (Integrated),500*,515
CK713,Mature Applicants Children's and General Nursing (Integrated,#244,246
CK720,Psychiatric Nursing,415,425
CK721,Mature Applicants Psychiatric Nursing,#219,228
CK730,Intellectual Disability Nursing,410*,420
CK731,Mature Applicants Intellectual Disability Nursing,#217,224
CK740,Midwifery,455,470
CK741,Mature Applicants Midwifery,#230*,235
CK791,Medicine - Graduate Entry,#56,58
AH001,Theology and Philosophy,270,330
AH002,Theology and Psychology,340,355
AH003,Theology and English Literature,300,335
AC120,International Business,280,335
AC121,Accounting and Finance,335,450
CE001,Education - Primary Teaching,***390,440
CM001,Education - Primary Teaching,465*,470
CM002,Education - Primary Teaching - Gaeltacht Applicants,425,430
CM010,Education Studies,310,355
DB512,Business Studies,230,310
DB514,Business and Law,215,310
DB515,Business with Human Resource Management,210,310
DB516,Business with Financial Services,245,280
DB517,Marketing with Event Management,255,315
