"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"nora coyle","Very efficient and all staff were very professional and friendly.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/110601484793930423117/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARDPAQ","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"SJK JO","Good University with world class infrastructure.","5.0","5.0","","2 weeks ago","","https://www.google.com/maps/contrib/111131701786841125619/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARA0","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Riaran Coarty","Been here before for an evening course, good course, well delivered. Looking forward to starting again this September.","4.0","5.0","","5 years ago","","https://www.google.com/maps/contrib/113799074705504296766/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARDlAQ","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Anna Carnie","Treated beautifully thank you","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/104902009925727509368/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARCcAQ","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Micheal O Herlihy","Getting the vaccine, well run!","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/104856313827042841367/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARBa","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Judith Ogu","For vaccination...very very orderly","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/103629271879808936649/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARCyAQ","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Adam Friel","In for the jab, very well organized, fair play to everyone involved 🙌","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/102191255275306872734/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARC5AQ","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Zain ali","Great place. I really find this place my 2nd home. Most of things are automated here which is very interesting for me. LYIT is equipped with latest technology and with every needy services which makes it a unique institute. The faculty is very helpful and cooperative here which makes students more comfortable like their own home. My very Best wishes for LYIT.","5.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipODZNbzQ0mSuNd2_ithFilA7ycHSr_pgCYmDpCF | https://lh5.googleusercontent.com/p/AF1QipMBIr-o-SQpl8eJ_5PjuxMVOsukba1PJGkCA1-C | https://lh5.googleusercontent.com/p/AF1QipOlfBj_SIQ2orWKpG_w1iDssj-vU9Y9EzW8EYpm | https://lh5.googleusercontent.com/p/AF1QipOyLeS7Y4eVkI-tuKbi8mOVkikbVOZxsg6MVr7i | https://lh5.googleusercontent.com/p/AF1QipPpzNWSIYDTq4hHTQ4yfcv50G4prssj258mcEI0","https://www.google.com/maps/contrib/106969379379940162187/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARAY","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Joe Carroll","Top class expertise thanks for my first vaccine so Happy","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/106687577334993139891/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARCjAQ","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
"Sean Harris","Went to hub for covid vaccination, easy to find but long delay, one and half hours 🙄","4.0","5.0","","a year ago","","https://www.google.com/maps/contrib/111291117785883711097/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARBh","www.google.com","","Atlantic Technological University - Donegal Letterkenny Campus","121","4.7","Port Rd, Gortlee, Letterkenny, County Donegal, Ireland","ChIJndjQejrrX0gRDv2EVl8_qCc","https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc"
