"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Nicholas Schena","Griffith College was a great opportunity for me as an American student doing a semester abroad. My program was very accommodating and the college itself offered a lot of interesting classes for me to take and create my own schedule. The lecturers and staff were brilliant and the residence halls were well kept. A great experience!","5.0","5.0","","5 years ago","","https://www.google.com/maps/contrib/116243480559886792161/reviews?hl=en-US&sa=X&ved=2ahUKEwiWxNCr4uP7AhUaF2IAHQ_jCegQvfQBegQIARAY","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"Romina Raimondi","My daughter has recently stayed at this college during a summer study trip. It is an excellent college, close to the city center, beautiful indoor and outdoor spaces, good English course, good canteen (you just need a little bit of ability to adapt and curiosity about different kitchens), efficient and super welcome laundry service! Our Italian tour operator made a great choice with Griffith College!","5.0","5.0","","3 months ago","","https://www.google.com/maps/contrib/114286709928835584733/reviews?hl=en-US&sa=X&ved=2ahUKEwjx8ZKr4uP7AhXAGFkFHUr1AkgQvfQBegQIARBA","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"武rara","The school still owes me more than 1000 euros. I have found the school staff many times but have not solved it. Now I have gone to other schools to study, and my refund has not been returned to me. My experience in this school is very poor.","1.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/113047425766757791139/reviews?hl=en-US&sa=X&ved=2ahUKEwjx8ZKr4uP7AhXAGFkFHUr1AkgQvfQBegUIARCYAQ","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"Zachary Goss","I attended and worked at Griffith College Dublin in the Alumni Office during the spring of 2019. My time there was nothing short of fantastic, as it was my first semester abroad. In a country and environment that was unfamiliar to me, I was welcomed by students, professors, and co-workers alike. Overall, the facilities were great, the professors were always willing to help whenever needed, and the faculty at Griffith College were absolutely amazing. I am glad that I was able to truly experience Dublin through my study abroad experience and I am so grateful for all of the memories made while here.","5.0","5.0","","3 years ago","","https://www.google.com/maps/contrib/115374405946224658043/reviews?hl=en-US&sa=X&ved=2ahUKEwjx8ZKr4uP7AhXAGFkFHUr1AkgQvfQBegUIARCMAg","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"Hunter Williams","Griffith has granted me opportunities that I will cherish for the rest of my life. The courses I took were very interesting and the professors made the learning environment very engaging. As a study abroad student from the US, I was very uncertain at how I would be welcomed at a foreign college. From day one, I have been treated very well. The administrators and professors are always very kind and willing to help. I highly recommend Griffith College to anyone.","5.0","5.0","","4 years ago","","https://www.google.com/maps/contrib/103466329931797836428/reviews?hl=en-US&sa=X&ved=2ahUKEwiWxNCr4uP7AhUaF2IAHQ_jCegQvfQBegQIARAu","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"Yannik Sturm","I spent my semester abroad at Griffith College. The administration of the college is a bit sluggish. However, all the staff are friendly and helpful. The old building of the campus has charm, the containers took some getting used to.","4.0","5.0","","5 months ago","","https://www.google.com/maps/contrib/107111906157971660526/reviews?hl=en-US&sa=X&ved=2ahUKEwjx8ZKr4uP7AhXAGFkFHUr1AkgQvfQBegUIARCCAQ","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"Alisha Houlihan","I am a 3rd year student in Griffith College Dublin studying Journalism and Visual Media and I absolutely love it. I moved here three years ago from Mayo to study and I adore the place, everyone is so lovely and with the help of the student union and their events I was able to make many friends for life. As for my course, I wouldn’t want to be anywhere else. You study video, photography, broadcasting and much more. I really enjoy doing assignments. :)","5.0","5.0","","4 years ago","","https://www.google.com/maps/contrib/103452077450369954128/reviews?hl=en-US&sa=X&ved=2ahUKEwiWxNCr4uP7AhUaF2IAHQ_jCegQvfQBegUIARCGAQ","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"Rachel McSweeney","I just completed the Certificate in Desktop Publishing at Griffith and I absolutely loved it. I was so scared to go back into education to upskill but the lecturer was so encouraging and helpful and the admissions team were so good at taking me through the application process. I loved it so much I have signed up to do the diploma. For anyone scared of going back to study, don’t be! It is the best decision I have made for my career!","5.0","5.0","","3 years ago","","https://www.google.com/maps/contrib/112941611109120199224/reviews?hl=en-US&sa=X&ved=2ahUKEwiWxNCr4uP7AhUaF2IAHQ_jCegQvfQBegQIARBw","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"Faisal Naseer","It is one of the most popular college which caters large number of international students in Ireland.","4.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipN_FGAujpYbO_WOQC8cI6zK3wx_igDXq2-4O11Y | https://lh5.googleusercontent.com/p/AF1QipMx4dWsnAXclHxQg4CIspCF7-uMGTqBDnCEotAc | https://lh5.googleusercontent.com/p/AF1QipNuoZLqhC2N9LNs2-cZS3fXriUKV4hbETRpUQ_F | https://lh5.googleusercontent.com/p/AF1QipM1VayK9YW5rxwXZ7bAM16jl2gcDfvqiUy2HhgY | https://lh5.googleusercontent.com/p/AF1QipNuiwJ6cBCbhcBPMudilFtx5OkLGgx9USN1gzti","https://www.google.com/maps/contrib/101631826466992440971/reviews?hl=en-US&sa=X&ved=2ahUKEwjx8ZKr4uP7AhXAGFkFHUr1AkgQvfQBegUIARDaAQ","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
"LIV Fresh","BEWARE!! THEY WILL RIP U OFF. My ward is admitted to one of the courses with them. They do not have a proper faculty in house, they are using external coaches as well as external invigilators. Kids have upcoming deadline for dissertation to be submitted ...a few days from now and still they have not approved the dessertation topics and the questions and their simply bothering the kids by advising them either to pull out by just taking a diploma instead of a degree or to drop 6 months take a deferment and re appear after 6 month ....think wise before admitting your kids here for any of the courses it is better to send to another college or university then sending them to this Educational Institute. Its waste of money and time.","1.0","5.0","","4 months ago","","https://www.google.com/maps/contrib/105899291642451405795/reviews?hl=en-US&sa=X&ved=2ahUKEwjx8ZKr4uP7AhXAGFkFHUr1AkgQvfQBegQIARBs","www.google.com","","Griffith College","179","4.0","S Circular Rd, Saint Catherine's, Dublin 8, Ireland","ChIJxxW5MxgMZ0gRLgb1Fq6sg08","https://www.google.com/search?q=griffith+college&rlz=1C1CHBF_enIN962IN962&oq=Griffith+College&aqs=chrome.0.0i355i433i512j46i433i512j0i512j46i175i199i512j0i512l6.884j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670c1833b915c7:0x4f83acae16f5062e,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJxxW5MxgMZ0gRLgb1Fq6sg08"
