"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Patrick Mooney","The Location is perfect !! College not so much.","3.0","5.0","","2 weeks ago","","https://www.google.com/maps/contrib/115480428386380683171/reviews?hl=en-US&sa=X&ved=2ahUKEwjT--Of5OP7AhXXLFkFHZPzDmwQvfQBegQIARBa","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"Sinan Dullovi","Unfair an incompetent distribution of grades. things are suggested and promised without really sticking to them. Very disappointing school & do not recommend. There is no option of giving no star otherwise I would have given.","1.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/112947241075118908163/reviews?hl=en-US&sa=X&ved=2ahUKEwjpg6ef5OP7AhWBEGIAHZ9nChQQvfQBegUIARCZAQ","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"Karumwa Family","So we did an our final exam research methods 1 for April intake 2022 for our masters program. Exams results came out and we moved on to next semester. Only for the university to send us an email telling us we have repeat the exams done in research methods 1 because they noted some 'Academic Impropriety'. PS this was after all results have been given to the students and we have started the next semester classes. See attached. Please note they will not help in accommodation at all. Especially with the Housing crisis in Ireland- so long as you have paid school fees, they don't care. PS: other universities have campus accommodation DBS has none. Be careful international students as you pick your college of choose.","1.0","5.0","","a month ago","","https://www.google.com/maps/contrib/108014119433217242498/reviews?hl=en-US&sa=X&ved=2ahUKEwjpg6ef5OP7AhWBEGIAHZ9nChQQvfQBegQIARBW","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"Adan Rehman","Can someone please guide me about admission in Dbs. I have no idea what to do.please guide me. I want to take admission in media. I will be so thankful in advance","5.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/115190566251224371406/reviews?hl=en-US&sa=X&ved=2ahUKEwjpg6ef5OP7AhWBEGIAHZ9nChQQvfQBegUIARDbAQ","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"Cleiton Nunes","DBS was the worst institution I've studied my whole life, even considering that I did a previous degree in a ""third-world country"". Having professional experience in the field I've chosen to study at DBS and also having a previous degree on the same area I can tell that main topics of important modules are not given to the students in my class. There are lecturers with an amazing professional CV or even great career achievements, but at the same time I've seen people learning or understanding nothing from them, even different groups would tell they couldn't follow the classes. One of those terrible lecturers once refused to give explanations or clarify the topics ""explained"". The college has no transparency with the students and all information given ate mostly not accurate or incomplete. I was January intake and my class just found out we were not having holidays 1 month before the end of our classes, at the same time that we were taken by surprise by the college saying we would have to pay earlier than expected. Every single staff give different informations, in a way that you talk personally, give a call, send an email and get 3 completely different answers in all your attempts.","1.0","5.0","","2 weeks ago","","https://www.google.com/maps/contrib/104826878534847681798/reviews?hl=en-US&sa=X&ved=2ahUKEwjpg6ef5OP7AhWBEGIAHZ9nChQQvfQBegQIARBs","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"Sam Mathew","Not a bad college to be fairly honest but could do better with how they approach teaching. Lectures are seen in a boring light by the majority anyway so lecturers could bring a bit more enthusiasm and chip to the classroom and engage with the students more rather than just read off PowerPoint slides (we could do that at home if we wanted). Support provided by Admin staff is however stellar. Any requests and advice is provided promptly so kudos to that. Amenities are a plenty since the institution is located smack right in the heart of Dublin.","3.0","5.0","","3 years ago","","https://www.google.com/maps/contrib/104223190608949867784/reviews?hl=en-US&sa=X&ved=2ahUKEwjT--Of5OP7AhXXLFkFHZPzDmwQvfQBegUIARCHAQ","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"karambu Lynn","Thank you so much guys. I got my refund. even though I wasn't able to pursue my dreams to study my masters this time, as an international student from Kenya I say thank you, esp to Mr Giles Kilcoyne who took me through everything and put up with everything I needed. Asante Sana. God bless!","5.0","5.0","","10 months ago","","https://www.google.com/maps/contrib/115933831578899220675/reviews?hl=en-US&sa=X&ved=2ahUKEwjT--Of5OP7AhXXLFkFHZPzDmwQvfQBegQIARBE","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"gautham Messi","There is no option of giving no star otherwise I would have given, The college doesn't have good and well maintained website many times updated and whole things changed, you have to search for your submission, those things happen to me when I was trying to submit my assignment, submission link was gone to some other site and I end to submit in different submission link, which caused me to get fail 3rdtimes, the 2nd time results of my CA1 was not showing me,.so end up in fail, they didn't tell the reason, 3rd time my both the CA1&2 results was not showing me and again end up in fail, when I enquired about that, the respective management told me that I didn't submitted my assignment. I mailed my lecturer there is no response from them, I mailed each and every staff and again no response, the management can't find any solution for me, nothing, zero, till now I am mailing them. On the other side of my career when I got an intern opportunity but my college doesn't allow me and my ViSa status is not appropriate to do full time intern and lost the opportunity, I loose my hope of surviving here. Don't be so dump to choose and learn your career in right place, please do lots of research before filling your applications. Still I am student at DBS 2020batch and it's going to be a 3rd year for me, usually master max duration is 2year but here more than that.😂😂😂 Be careful about the fees even You won't get a ID card holder without paying some euros(cost-cutting). Don't fall on there way of Advertising it's totally different in reality, don't be a reel on expectations.","1.0","5.0","","5 months ago","","https://www.google.com/maps/contrib/105683050958045024106/reviews?hl=en-US&sa=X&ved=2ahUKEwjpg6ef5OP7AhWBEGIAHZ9nChQQvfQBegUIARCDAQ","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"Sam Solomon","Absolute disgrace! Applied for masters and submitted everything that was required with the application including statement of results for the law degree that I completed. Along the way they requested the results again twice more and when I contacted them to see what at what stage my application was and to advise if either my application is being accepted or denied, so that I can apply elsewhere, instead they waited until after the course started 3 and a half weeks later, and sent me an email asking for results again and if I dont submit it short few hours later then they will cancel my application. Although I forward it again, they still cancel. They are lucky i havent sue them yet! I would highly recommend to stay away from them, unless you are willing to take a loss.","1.0","5.0","","a year ago","","https://www.google.com/maps/contrib/100392817018223995911/reviews?hl=en-US&sa=X&ved=2ahUKEwjT--Of5OP7AhXXLFkFHZPzDmwQvfQBegQIARAu","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
"Sreejoy Halder","Very good college. My wife did an MBA from DBS and graduated with first class honours. She got a very good job within one month of graduation.","5.0","5.0","","7 months ago","","https://www.google.com/maps/contrib/112211038718824492969/reviews?hl=en-US&sa=X&ved=2ahUKEwjpg6ef5OP7AhWBEGIAHZ9nChQQvfQBegUIARCKAg","www.google.com","","Dublin Business School","179","3.6","13/14 Aungier St, Dublin, Ireland","ChIJl85j6J0OZ0gRJ4pU5EFa_dU","https://www.google.com/search?q=dublin+business+school&rlz=1C1CHBF_enIN962IN962&oq=Dublin+Business+School&aqs=chrome.0.0i355i433i512j46i433i512j0i512j0i20i263i512j0i512l3j69i61.899j0j9&sourceid=chrome&ie=UTF-8#lrd=0x48670e9de863ce97:0xd5fd5a41e4548a27,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJl85j6J0OZ0gRJ4pU5EFa_dU"
