"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Jack Mc Govern","Just started science coarse here have never felt more comfortable and exited somehow feel like I've experienced mouths of being at Dkit in one week. Leave every day feeling accomplished and exited for tomorrow the science department has already made a statement for proactive reflective learning which is very exciting.","5.0","5.0","","3 years ago","","https://www.google.com/maps/contrib/112989030372281794179/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegUIARCPAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"IshCookie","Great spot for dog walking.","5.0","5.0","","11 months ago","","https://www.google.com/maps/contrib/110654646642572918609/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegQIARBw","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Abdullah Muhaithel","Don’t even think to study in this racist college , Believe me You will Never get Your RIGHT AS a STUDENT!!","1.0","5.0","","4 years ago","","https://www.google.com/maps/contrib/117271414476204605609/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegUIARDIAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Dan","Results are based on favouritism pretty much..","1.0","5.0","","6 months ago","","https://www.google.com/maps/contrib/104281779038809380020/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegQIARAC","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Colin Coombes","Attended open day with my daughter and staff couldn't be more helpful well run event and very informative","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/103036300605067114903/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegUIARDpAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Stephen McElligott","Great place to go.","5.0","5.0","","7 months ago","","https://www.google.com/maps/contrib/113131013066268067401/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegQIARAu","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Gavin Gray","Very unorganized college, I'm going back to study on Monday and they still have no timetable for me!","1.0","5.0","","3 years ago","","https://www.google.com/maps/contrib/100498061045721979459/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegQIARAY","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Queen","I would give a rise compliment to Mairead Mc Kenna, Susan Murphy and Cathriona Connor. They are the best in DKIT I was lucky to meet them. I wished other staff be cared in teaching good not only for their salary and have good heart like them. The stars just for them. I dont want to give full stars for the college because they let me suffer without obtaining good learning.","3.0","5.0","","a week ago","","https://www.google.com/maps/contrib/109299421629672103320/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegQIARAj","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Sajjad Ahmad","One of the best institute in the country","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/111545465146482740002/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegQIARBE","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Lokesh Varma","It is good institute but lacks a bit more in mental health. Friendly environment but you need to be socially active otherwise it will be a bit difficult to speak to the others.","4.0","5.0","","2 years ago","","https://www.google.com/maps/contrib/100645343301946687335/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegUIARD_AQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
