"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"John Anthony","It's big, loads of parking, brilliant facilities","5.0","5.0","","6 months ago","","https://www.google.com/maps/contrib/101993357133842738484/reviews?hl=en-US&sa=X&ved=2ahUKEwiH3pbM6OP7AhUBKFkFHdK3CVQQvfQBegQIARAu","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"Rajeev Shreenidhi","The university situated lil far from the city. However the campus is beautiful. This was formerly known CIT but now it's called MTU. They offer various courses for UG & PG.","4.0","5.0","","11 months ago","https://lh5.googleusercontent.com/p/AF1QipPd-c3GMAervno2i3xcXTTKohCtyrEXtx_vwBfe | https://lh5.googleusercontent.com/p/AF1QipO_8C4_aWPecVVtPglBfKIwukgez1wS9y1Doiy_ | https://lh5.googleusercontent.com/p/AF1QipPlxRgaU5pKnU8gXSNoetPHa2w0fpR4ggLOSAy1 | https://lh5.googleusercontent.com/p/AF1QipPhqZBetrUuc-TdWOqQiW2Z_BapC5lkcCQdrb6f | https://lh5.googleusercontent.com/p/AF1QipMRZfpxc_2mPioiwHRN5vffuKYxe3HnZ1F1nV1p | https://lh5.googleusercontent.com/p/AF1QipM8DV-NplvyICfNLjrfzASWyw6ZvNanQ75RDSSI | https://lh5.googleusercontent.com/p/AF1QipPj4BEqRaBdSSmq0-0wnfEUi6WFQjco2tAoa6PR | https://lh5.googleusercontent.com/p/AF1QipMdrn6MTWbcNiiUna3Sl8jbG7GWrmFoxgOiYxLU | https://lh5.googleusercontent.com/p/AF1QipN7Suci87CRkPqE1wRoB0eBB2ivc9uTfDSAfakA","https://www.google.com/maps/contrib/116366932665044231896/reviews?hl=en-US&sa=X&ved=2ahUKEwiCysfL6OP7AhUqFlkFHYvSBTkQvfQBegQIARAs","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"Brian Coughlan","Only gave 1 star because 0 stars isn't an option but truthfully 0 stars would be rich for this so called university. AVOID AT ALL COSTS they'll simply take your money and tell you to sit in your bedroom, they don't care about their students, instead spending all their time with ceremonies and guest visitors. They talk about their world class facilities but don't get too excited because you probably won't be allowed anywhere near them, luckily though you can just watch a video on your laptop for which you'll be charged a nice fee. My advice is save your money and just watch some YouTube videos, they're free or honestly just go to UCC they'll actually let you attend college.","1.0","5.0","","a year ago","","https://www.google.com/maps/contrib/114609462220850567177/reviews?hl=en-US&sa=X&ved=2ahUKEwiCysfL6OP7AhUqFlkFHYvSBTkQvfQBegUIARCyAQ","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"M F","Great lecturers and students. Also I loved to train with the athletics team and other sport options. As an Ersmus Student I had a great time at CIT.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/115321150800267061311/reviews?hl=en-US&sa=X&ved=2ahUKEwiCysfL6OP7AhUqFlkFHYvSBTkQvfQBegUIARCNAg","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"Feárgus ODonoghue","Great Facilities.. Huge improvement over the years .","5.0","5.0","","3 weeks ago","","https://www.google.com/maps/contrib/115107120660184046211/reviews?hl=en-US&sa=X&ved=2ahUKEwiCysfL6OP7AhUqFlkFHYvSBTkQvfQBegUIARDIAQ","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"O Nate","We took some time to look around the campus. The campus is quite beautiful and modern. There's plenty of green space and lovely architecture. Clearly the place is wheelchair accessible. Good for groups and friends to meet when things are normal. #accessible #wheelchairaccessible #highereducation #university","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/104837823327910034334/reviews?hl=en-US&sa=X&ved=2ahUKEwiCysfL6OP7AhUqFlkFHYvSBTkQvfQBegUIARDfAQ","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"Eoghan Donnelly","Speaking from a time I studied my apprenticeship here, I would hate to go back. One instructor made my life a misery and happens to be infamous among previous coherts. I dreaded going in daily. Truly shocking when I seen he took over the mamf department.","1.0","5.0","","a month ago","","https://www.google.com/maps/contrib/113868178620474998107/reviews?hl=en-US&sa=X&ved=2ahUKEwiCysfL6OP7AhUqFlkFHYvSBTkQvfQBegUIARCEAQ","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"Mr Valentine","My experience at Cork Institute of Technology Ireland opened the doors of my intellectual profundity and wider horizons. CIT is sure","4.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipNiz2EgKR5hfhw9LicNc_kTml4mns7q1Lh8hEx3","https://www.google.com/maps/contrib/100705571244754956426/reviews?hl=en-US&sa=X&ved=2ahUKEwiCysfL6OP7AhUqFlkFHYvSBTkQvfQBegUIARD1AQ","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"Tyrannosaurus Rex","When my school orchestra went over to Ireland the past week (20 May 2014) all the way from the USA we went to visit/ play with the Cork School of Music's youth quire. They were absolutely amazing and I can see why this school has such a prestigious name. After getting a tour of the facility, I was just taken away on how amazing it was and how much money is put into funding their music program. If I was ever to get a music major, this is definitely the place I would come to study. Thank you for this life changing opportunity to visit your school!","5.0","5.0","","8 years ago","","https://www.google.com/maps/contrib/115886286134175857446/reviews?hl=en-US&sa=X&ved=2ahUKEwiH3pbM6OP7AhUBKFkFHdK3CVQQvfQBegUIARDMAQ","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
"Elizabeth Faulkner","A wonderful world of learning","5.0","5.0","","6 months ago","https://lh5.googleusercontent.com/p/AF1QipPWN2QLwjGs4AsccqotQtUXCHff3wj1u-BrY0lU | https://lh5.googleusercontent.com/p/AF1QipNJEGVnRKTAoHL5KI-1rzF_l76xuu8KlZUzt3uA | https://lh5.googleusercontent.com/p/AF1QipOIIgkDJWhFG3tcABMJ_LShuHpjDTPGI5oP8L-u","https://www.google.com/maps/contrib/113100522262191643624/reviews?hl=en-US&sa=X&ved=2ahUKEwiH3pbM6OP7AhUBKFkFHdK3CVQQvfQBegQIARBw","www.google.com","","Munster Technological University","190","4.5","Rossa Ave, Bishopstown, Cork, Ireland","ChIJNTHdX96RREgR9tJ72pfnXsE","https://www.google.com/search?q=munster+technological+university&rlz=1C1CHBF_enIN962IN962&oq=M&aqs=chrome.1.69i60j69i59l2j69i60l4j69i65.1573j0j7&sourceid=chrome&ie=UTF-8#lrd=0x484491de5fdd3135:0xc15ee797da7bd2f6,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJNTHdX96RREgR9tJ72pfnXsE"
