"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Mia McCurdy","When you're leaving the cathedral you might as well keep exploring that end and head on over to NUIG. The campus is gorgeous. I love wandering around university grounds and this place is great. You'll feel like you're in Harry Potter for a bit!","5.0","5.0","","5 years ago","","https://www.google.com/maps/contrib/105191989537190833012/reviews?hl=en-US&sa=X&ved=2ahUKEwiC_4zw7uP7AhWcKlkFHVTzDLEQvfQBegQIARBh","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"frank egbuna","It is calm now because of COVID but the library is open. The library is a great place to read however you have to reserve a seat online.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/108058544582467613946/reviews?hl=en-US&sa=X&ved=2ahUKEwiC_4zw7uP7AhWcKlkFHVTzDLEQvfQBegUIARCNAQ","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"Aparajita Chaturvedi","Nice place to study. Has high academic standard's and helping faculty staff..","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/111625062860709776335/reviews?hl=en-US&sa=X&ved=2ahUKEwiC_4zw7uP7AhWcKlkFHVTzDLEQvfQBegQIARB3","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"Jordan Sg","Under such a pandemic situation its completely unnecessary to increase the course fee . Rather the university could have tried to lower it to help the students . At least increase the scholarships . Pls consider as there are lots of aspirants who wish to study in NUI.","2.0","5.0","","a year ago","","https://www.google.com/maps/contrib/109983072187518234199/reviews?hl=en-US&sa=X&ved=2ahUKEwiC_4zw7uP7AhWcKlkFHVTzDLEQvfQBegUIARC5AQ","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"Dat Nguyen","Great university with beautiful campus","5.0","5.0","","3 years ago","https://lh5.googleusercontent.com/p/AF1QipMvsmPa_o15k1INJEbYZuAZgPjkQsLroH-e_6Ki | https://lh5.googleusercontent.com/p/AF1QipMcOEXBtHmlswj_Cc-QBvWFfknQ_YbF-CnW70VH | https://lh5.googleusercontent.com/p/AF1QipMXRPcN2H2qkwput8FOruJf2tOdab_Qe_yRGz0R | https://lh5.googleusercontent.com/p/AF1QipNbk-TGiTT__w8Ul5Agj6VZg0KL_1E3RQ7LDu4r | https://lh5.googleusercontent.com/p/AF1QipNIMpVoubVEv-FntLxCpTKRKL-hnRrDsOCsb2Ky | https://lh5.googleusercontent.com/p/AF1QipMHmQz-_dA6CBMI5ghZQiR4QQLJc1ZLqogBR02V","https://www.google.com/maps/contrib/114687015189189623496/reviews?hl=en-US&sa=X&ved=2ahUKEwiN2s_v7uP7AhUQF1kFHTzTDAQQvfQBegUIARCeAg","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"Chris “quackman” V","huge, old campus a pleasure to walk around. Very nice dorms which are also rentable rooms when main semesters are over. big cafeteria. Nice overall area with plenty to do outside the Uni.","5.0","5.0","","a week ago","","https://www.google.com/maps/contrib/108915164882732867324/reviews?hl=en-US&sa=X&ved=2ahUKEwiN2s_v7uP7AhUQF1kFHTzTDAQQvfQBegQIARBR","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"Matthias Cowley","First it was Queen's College, then University College - and now it's National University of Ireland, Galway. But to thousands of graduates, it was always their most cherished alma mater!","5.0","5.0","","4 years ago","https://lh5.googleusercontent.com/p/AF1QipO0fMuhHTZXqKCYK_5i_G3oWOyZ91TlqGPOUbnB","https://www.google.com/maps/contrib/106230984686358227294/reviews?hl=en-US&sa=X&ved=2ahUKEwiN2s_v7uP7AhUQF1kFHTzTDAQQvfQBegUIARCGAg","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"Libin Philip","Beautiful and Lively campus...I enjoy every moment studying here!","5.0","5.0","","3 years ago","https://lh5.googleusercontent.com/p/AF1QipPK-PkscD-_qSjMLxpu-HOPR7ow2efoS5lYXVjF | https://lh5.googleusercontent.com/p/AF1QipOJ6AnFXOkXpc8wO4APkHh1EyQahyCOuu9i7fGR | https://lh5.googleusercontent.com/p/AF1QipP3IlDhdGwk9-niSs2RZ2dFmFJDeo-pwyWH-Ofr | https://lh5.googleusercontent.com/p/AF1QipPtk0trBt47zw9BtDHiD5t5Xq4cuSZYRuOQU-WM | https://lh5.googleusercontent.com/p/AF1QipO_laYReZXPfCehNEKH3_sdAjN2fRh4B0HzXcV1 | https://lh5.googleusercontent.com/p/AF1QipNel8vAC473FQbnV1xWAxBJSMFaBQ-Q0ukeifeR | https://lh5.googleusercontent.com/p/AF1QipM5AI23ntP_waBR7ZVb-FwEUh0Ll4S2zSb1E9YR | https://lh5.googleusercontent.com/p/AF1QipNsahTulZyngCFj2FOWGC2grzNGD5enZhmg6QC0 | https://lh5.googleusercontent.com/p/AF1QipMEjbXIDzxpj3GoqNMmmAOBY9oz9IcH4Dkg1UrB | https://lh5.googleusercontent.com/p/AF1QipN7e8x2U5LfNLyPnDAIGOoOCbAtcUXmW7dp1lFS | https://lh5.googleusercontent.com/p/AF1QipOhv42DLq3rewOIdnjxo9rukdioguX1gLJQERb1 | https://lh5.googleusercontent.com/p/AF1QipOHezCUX5EquS2__nyFEoJosFK3UqQlwm0gt9NU | https://lh5.googleusercontent.com/p/AF1QipNk6hA8RPrGIoUHMl4tsrLz33XdKybpzbkRFfK4 | https://lh5.googleusercontent.com/p/AF1QipOH6BADsReaPhIl496zQcUtz53JR5nkBkM8Gh_V","https://www.google.com/maps/contrib/107067698837219137609/reviews?hl=en-US&sa=X&ved=2ahUKEwiN2s_v7uP7AhUQF1kFHTzTDAQQvfQBegUIARC1AQ","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"Google User","Top 1% Worldwide. Nice atmosphere","5.0","5.0","","a month ago","","https://www.google.com/maps/contrib/107395867057751335121/reviews?hl=en-US&sa=X&ved=2ahUKEwiC_4zw7uP7AhWcKlkFHVTzDLEQvfQBegQIARAf","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
"angie jinx","Great university. Still studying and enjoying the experience. I would definitely recommend any adults thinking of going back to education to give this uni a good looking at as it is one of th e best.","5.0","5.0","","6 years ago","","https://www.google.com/maps/contrib/100956428784955929291/reviews?hl=en-US&sa=X&ved=2ahUKEwiC_4zw7uP7AhWcKlkFHVTzDLEQvfQBegUIARDPAQ","www.google.com","","University of Galway","299","4.5","University Rd, Galway, Ireland","ChIJByaGafGWW0gRcAJAjz3gQYs","https://www.google.com/search?q=nui+galway&rlz=1C1CHBF_enIN962IN962&oq=NUI+Galway&aqs=chrome.0.0i67i355i433j46i67i433j0i20i263i512j46i67i175i199j0i67j0i512j0i67j0i512l3.653j0j7&sourceid=chrome&ie=UTF-8#lrd=0x485b96f169862607:0x8b41e03d8f400270,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJByaGafGWW0gRcAJAjz3gQYs"
