"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"james m","Beautiful college. Great vibe. Sustainable. Environmentally friendly. Gorgeous campus. Great lecturers","5.0","5.0","","9 months ago","https://lh5.googleusercontent.com/p/AF1QipMl-gLMcNgRZZmlqn-_BF4j_Ma0VHaLu7zigno | https://lh5.googleusercontent.com/p/AF1QipMt6eZQZ_aEBOMUmJI4dpX-ZXhe5e6n_vaVn5Y | https://lh5.googleusercontent.com/p/AF1QipNhsL9Fg4AjSGat7eWILRL4rQFtrFtDu15_M4w","https://www.google.com/maps/contrib/118184672299331997232/reviews?hl=en-US&sa=X&ved=2ahUKEwjU0rWs6eP7AhXiD1kFHfs2DHgQvfQBegQIARA5","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Cathy Kiely","Absolutely amazing Hospital . Staff and helpers can't do enough to help patients . They are amazing people going above and beyond in everyway .","5.0","5.0","","4 weeks ago","","https://www.google.com/maps/contrib/104155013175808947981/reviews?hl=en-US&sa=X&ved=2ahUKEwjZ_PWr6eP7AhXAKlkFHSQCDf4QvfQBegUIARDUAg","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Andre Hackart","Struggled a bit to find main entrance and to find some parking Once we did the walk around was very pleasant. Loved the buildings and the gardens in particular were really impressive. It certainly created a peaceful setting and seemed Ideal for a learning facility. There was an on site cafe as well as a few pop up stalls near to cafe It was worth spending some time walking around the grounds","4.0","5.0","","6 months ago","https://lh5.googleusercontent.com/p/AF1QipPLJyeankWzNbuaZNyNllY1UX7ttDz9TBD4WRRF | https://lh5.googleusercontent.com/p/AF1QipMjF7TxaOccLyHdcKHWXAUqcXAhXNjFY5MK2-8S | https://lh5.googleusercontent.com/p/AF1QipPWPOliRy74bQhQ-Hqh-3mJFzYDSHyepGACcll4","https://www.google.com/maps/contrib/116524642282843602134/reviews?hl=en-US&sa=X&ved=2ahUKEwjZ_PWr6eP7AhXAKlkFHSQCDf4QvfQBegQIARA9","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Ronald Halim","A very leafy campus, very impressive.","4.0","5.0","","11 months ago","https://lh5.googleusercontent.com/p/AF1QipNbN1uDEYbDjGITte3eVv4MPdRN25x-2IcKR_yl | https://lh5.googleusercontent.com/p/AF1QipMGyxS1fP4wDeehiCX-ZsfP0AnhvijcEv7UCXF- | https://lh5.googleusercontent.com/p/AF1QipNmhyeyjxzal3WAEKUY45MAkfObQQLBCg6q7zFR | https://lh5.googleusercontent.com/p/AF1QipMlCPghvRrRLR9vAU5-SHW_VeeQk5ZkdvwYaC6B | https://lh5.googleusercontent.com/p/AF1QipOc76RVzJOOB762tGSqLbpgQTE337FimFO99G8H | https://lh5.googleusercontent.com/p/AF1QipMPfdw_UprBBrKMWaMcVAUKAZqpOifx4FzvaUnu | https://lh5.googleusercontent.com/p/AF1QipNYG5YQvWfnrglLQ67po9oglCYToBfIlbNw97_O | https://lh5.googleusercontent.com/p/AF1QipNFrXz1NfdjqeMT9HlPs5afCWnSTUBcHNevZfOi | https://lh5.googleusercontent.com/p/AF1QipM4AjKQcHpRKdSgPL10SZ7f_r5AaSZhEz6mnIvK | https://lh5.googleusercontent.com/p/AF1QipOLYWAjIDB5y2b3R1OUjIK9kVy0sdY7LIEsYJer | https://lh5.googleusercontent.com/p/AF1QipNVHShWXERsy--yPTKDKEjxROZBqmWebG_W7LvQ | https://lh5.googleusercontent.com/p/AF1QipPhqmzHzSidIsdhO6J9O_PZ9QH6i2_lnF0tReBI | https://lh5.googleusercontent.com/p/AF1QipN3295SJSVYc30Slz7U59P58GxlhXQ5sQWxWmQV | https://lh5.googleusercontent.com/p/AF1QipNb41vhegsXiVGtU1A8DDrOdfgu57YrcMM-ZJKx | https://lh5.googleusercontent.com/p/AF1QipN38hmh4uVvq2cFH9I0SZFu5nfZxUjJG7IE8kSL | https://lh5.googleusercontent.com/p/AF1QipOTbgrt7WENM6q9066J7G8zfSPeq5D69ttXRIA6 | https://lh5.googleusercontent.com/p/AF1QipMGT1FvjZrLcU_yCR17uqk8VBuOmZc5U0P_XEFT","https://www.google.com/maps/contrib/105964142093274322825/reviews?hl=en-US&sa=X&ved=2ahUKEwjU0rWs6eP7AhXiD1kFHfs2DHgQvfQBegUIARDOAQ","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Frank Murphy","A little oasis of calm within the city. Beautiful gardens, historic buildings , cafés, art gallery and standing stone collection. Well worth a visit. Paid parking available nearby.","5.0","5.0","","10 months ago","https://lh5.googleusercontent.com/p/AF1QipPg5yjllJ3BtvswH3J3keaY1IK6RFW3xPkLDzoi | https://lh5.googleusercontent.com/p/AF1QipOwTn-lX28RnwHGeaB5MExpa1Yw9ls7meWHNcGW | https://lh5.googleusercontent.com/p/AF1QipOV31vGmUNp9EQCupNJMVD0udN9yedPWqjRYzhg | https://lh5.googleusercontent.com/p/AF1QipPS7NBWMSey8VFYj9VAfFXKdmHSMtnYc2Y_7CDq | https://lh5.googleusercontent.com/p/AF1QipPOaahg71XCoLXQUZftHfazvUJPcjPNe4zLWnHx | https://lh5.googleusercontent.com/p/AF1QipP7NDNVM4MseiOjEvYv0SegJ_qo5CrRIoI_ESHX | https://lh5.googleusercontent.com/p/AF1QipNGCwx0UdOlC_aEm_ng4zfji1LjZlzSQJJF1qUX | https://lh5.googleusercontent.com/p/AF1QipPPQ-PzK-2GSjjzudUoj-MsjOnBZ-sZnDL2NDFw | https://lh5.googleusercontent.com/p/AF1QipNS8F1qTUiplAr0e6-HLpaPD6JAnqyQwwn88bPs | https://lh5.googleusercontent.com/p/AF1QipM1qy_IilWa2q3BvhsozaWCeAvXceprEhOsoPp5 | https://lh5.googleusercontent.com/p/AF1QipNlLfgyunlH6eDkfNuvEo59xBT6RNcTK-AqoMsz | https://lh5.googleusercontent.com/p/AF1QipP54-kPYaWTAEPBzTWLIrU2c1P5653qfFo902Nc | https://lh5.googleusercontent.com/p/AF1QipM0sQd9AXXmMcSCf_DXKs4wZUdgbHNmsp8dEFLt | https://lh5.googleusercontent.com/p/AF1QipPYHI1sO6IwUulirQbXxx2bPcmdnPFIDopt2eTT | https://lh5.googleusercontent.com/p/AF1QipMYI0KVjYw6R2ZnJfCvmX05662XjN9OfwQglnsv | https://lh5.googleusercontent.com/p/AF1QipM_EwR2w65ErEc-hNQe4x_98fd4Yt5UQVCdeqMs | https://lh5.googleusercontent.com/p/AF1QipMGhjWqeypDfHbSkxRhvihX3NTcYW4sDVs2V-f6 | https://lh5.googleusercontent.com/p/AF1QipOLO9iTsH-0ciYBnB2oORSxnLcafz_wXN0KpiJz | https://lh5.googleusercontent.com/p/AF1QipNxm4lMpaCxDXPisIdlnm4aG5x3xabZnsPnUjYU | https://lh5.googleusercontent.com/p/AF1QipMnthWJWH81VvjRRI5EJuJdXz5PFEilboh4ap_J | https://lh5.googleusercontent.com/p/AF1QipPnP6oChoW8HVSafSMhFE7f5-hv72e0gL8fTtgo | https://lh5.googleusercontent.com/p/AF1QipN7A4t0rHIPsMfLCpMJmYZujaf5Aj857jqhfDeU","https://www.google.com/maps/contrib/104890454265025182776/reviews?hl=en-US&sa=X&ved=2ahUKEwjZ_PWr6eP7AhXAKlkFHSQCDf4QvfQBegQIARBX","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Luke Ratterman","Majestic campus full of rich history, culture, and beauty. I highly recommend taking a walking tour around the campus admiring the peaceful sounds of the river while learning about the ""Queens college Cork"" established in 1849 being rejected by the Catholic clergy for the first half century. Crawford Observatory built in 1880 to study life beyond earth is pretty epic looking.","5.0","5.0","","2 years ago","https://lh5.googleusercontent.com/p/AF1QipMRaolvSuHa19XWATkxh5XmlCeqOhHkKw27Y7iA | https://lh5.googleusercontent.com/p/AF1QipNc_TWMpO-6Z74hDX1HFLQE3q1eEfbqBMa_YcSx | https://lh5.googleusercontent.com/p/AF1QipMir0bceOlJtXIBgnyeFmXdGexd0aIpdGnrOyag | https://lh5.googleusercontent.com/p/AF1QipPHY7g1vyk_QhisiuGrYNa6AMDbOmUZMimoMXAD | https://lh5.googleusercontent.com/p/AF1QipNudSqq07M_Trr5sSN5EVI6TQH0ngbnYvqFk-wU | https://lh5.googleusercontent.com/p/AF1QipOgStgD8eOV3wSAB1J8pJgEQdypMGD28I40UXUY | https://lh5.googleusercontent.com/p/AF1QipOwt7QEnPtcZeg4QnH5lsT_tnKFLh8YCxzi1VaZ | https://lh5.googleusercontent.com/p/AF1QipNfuQeglhMqG7RI-PzomjwFTSK8CiHVQEu8yNn5 | https://lh5.googleusercontent.com/p/AF1QipOBTwrA3OWVlammKm5NyOOTP5gQv89ZXaRbLKrF | https://lh5.googleusercontent.com/p/AF1QipNH4QHRsB8SYw1llfkJpqSN6swRyttuIyJ-kMcI | https://lh5.googleusercontent.com/p/AF1QipOYeIAtrZQ2GV8zdJGFI1q8d6z1VMfRV_JgBYV9 | https://lh5.googleusercontent.com/p/AF1QipPulgRbJNJuD91M0Ih8VmfwDyKBmFrLZ_zB21er | https://lh5.googleusercontent.com/p/AF1QipMez8B7TN1TNoDAMGh_h-tvot7WM8fSbuPJFFoY | https://lh5.googleusercontent.com/p/AF1QipMy9nvQASAZOxGM-SPUgCVWnWw_bOBaZQne_JtW | https://lh5.googleusercontent.com/p/AF1QipO_QgW6UrGSRcyevqfi_tm6hxvtDoEgr_Y9ymgF | https://lh5.googleusercontent.com/p/AF1QipOnTui5piLecL_8qleuwTc_G5vc6BHWMJt6Nsio | https://lh5.googleusercontent.com/p/AF1QipMX5w9e426KF5ss7dkszvj839w3y_5LC6VJAvmj | https://lh5.googleusercontent.com/p/AF1QipN0kwHYspFDdvLSOge_o0CWRDoPtbt8nIwbm7Vd | https://lh5.googleusercontent.com/p/AF1QipNuUePImTiK6ljQNr46DhjFrV-Lx3NdqR1GiP-3 | https://lh5.googleusercontent.com/p/AF1QipMIct4WpUw2IfSbP8FB-j2stN1txuB6wCD0fZ3q | https://lh5.googleusercontent.com/p/AF1QipNIpXCmQNbM98mBSHtZbV9PUDIj3e3NHMj6p_AU | https://lh5.googleusercontent.com/p/AF1QipP1OI9jakKhY74GFNN-AAbP3M3GlDfPK7CKZIdh","https://www.google.com/maps/contrib/102570515296028677117/reviews?hl=en-US&sa=X&ved=2ahUKEwjZ_PWr6eP7AhXAKlkFHSQCDf4QvfQBegUIARD6AQ","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Peter Murphy","Always a lively pleasant place for a walk. Very quiet for so long but should be full of hustle and bustle once September arrives. The grounds are immaculately kept and the older part of the college has some interesting historical buildings","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/113692025897722604077/reviews?hl=en-US&sa=X&ved=2ahUKEwjU0rWs6eP7AhXiD1kFHfs2DHgQvfQBegUIARD2AQ","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Loveth Chidimma Ani","University College Cork, a center for excellence. Creates a home for international students. Makes effort to assist the international students to have a swift transition and settle in the community. Always checking on them, not just on the academic section, but general well being. I will choose this school a million times and wouldn't think twice to recommend to someone. They have state of the art classrooms, highly educated and friendly tutors, automatic gym membership for students, provision of accomodation, transport service from Dublin to Cork upon resumption. Arranges international meetings. There are endless reasons for one to choose this school including the location in a friendly city. I love University College Cork ❤️. To think I loved this university barely a year post covid, you need to see the school in full session now. Their standard is untouchable. Great student union officers. I can't even exhaust the offer they put on the table for new and existing students. Proud to be an alumni","5.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/105269330720368765850/reviews?hl=en-US&sa=X&ved=2ahUKEwjZ_PWr6eP7AhXAKlkFHSQCDf4QvfQBegUIARCnAg","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Jason King","For a hospital it is very good. Spotlessly clean and staff are very friendly and always helpful. Food is pretty good too to be honest.","5.0","5.0","","5 months ago","","https://www.google.com/maps/contrib/108869708884461824542/reviews?hl=en-US&sa=X&ved=2ahUKEwjU0rWs6eP7AhXiD1kFHfs2DHgQvfQBegUIARC4AQ","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
"Giuseppina Barbagallo","Beautiful buildings, nice gardens, great facilities and a big variety of courses. If I were young, I'd go and study there!","5.0","5.0","","4 months ago","","https://www.google.com/maps/contrib/100358481729985901161/reviews?hl=en-US&sa=X&ved=2ahUKEwjU0rWs6eP7AhXiD1kFHfs2DHgQvfQBegQIARBp","www.google.com","","University College Cork","718","4.6","College Rd, University College, Cork, Ireland","ChIJI8O7gCOQREgRkVJeg_BLik0","https://www.google.com/search?rlz=1C1CHBF_enIN962IN962&sxsrf=ALiCzsYmpYSFT9VTk9vAF9LzIhT7nTgETA:1670289426707&q=University+College+Cork&stick=H4sIAAAAAAAAAONgFuLQz9U3SM6pMlfiBLGMzY0L07WUspOt9HPykxNLMvPz4Ayr0rzMstSi4sySzNTiR4z-3AIvf9wTlnKbtObkNUYHLiI0CYlxsbnmlWSWVArxSHFxwe2uYuJg4FnEKh4KU1up4Jyfk5Oangqki7InsDECAEpgUL6qAAAA&sa=X&lei=EpiOY-zpKvK78gKDpKOoBg#lrd=0x4844902380bbc323:0x4d8a4bf0835e5291,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJI8O7gCOQREgRkVJeg_BLik0"
