,author,reviewBody,reviewRating,ratingMaxvalue,reviewTags,dateCreated,images,reviewUrl,reviewSource,originalText,name,reviewCount,aggregateRating,address,place_id,input,businessUrl
0,nora coyle,Very efficient and all staff were very professional and friendly.,5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/110601484793930423117/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARDPAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
1,SJK JO,Good University with world class infrastructure.,5.0,5.0,,2 weeks ago,,https://www.google.com/maps/contrib/111131701786841125619/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARA0,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
2,Riaran Coarty,"Been here before for an evening course, good course, well delivered. Looking forward to starting again this September.",4.0,5.0,,5 years ago,,https://www.google.com/maps/contrib/113799074705504296766/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARDlAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
3,Anna Carnie,Treated beautifully thank you,5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/104902009925727509368/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARCcAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
4,Micheal O Herlihy,"Getting the vaccine, well run!",5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/104856313827042841367/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARBa,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
5,Judith Ogu,For vaccination...very very orderly,5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/103629271879808936649/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARCyAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
6,Adam Friel,"In for the jab, very well organized, fair play to everyone involved 🙌",5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/102191255275306872734/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARC5AQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
7,Zain ali,Great place. I really find this place my 2nd home. Most of things are automated here which is very interesting for me. LYIT is equipped with latest technology and with every needy services which makes it a unique institute. The faculty is very helpful and cooperative here which makes students more comfortable like their own home. My very Best wishes for LYIT.,5.0,5.0,,a year ago,https://lh5.googleusercontent.com/p/AF1QipODZNbzQ0mSuNd2_ithFilA7ycHSr_pgCYmDpCF | https://lh5.googleusercontent.com/p/AF1QipMBIr-o-SQpl8eJ_5PjuxMVOsukba1PJGkCA1-C | https://lh5.googleusercontent.com/p/AF1QipOlfBj_SIQ2orWKpG_w1iDssj-vU9Y9EzW8EYpm | https://lh5.googleusercontent.com/p/AF1QipOyLeS7Y4eVkI-tuKbi8mOVkikbVOZxsg6MVr7i | https://lh5.googleusercontent.com/p/AF1QipPpzNWSIYDTq4hHTQ4yfcv50G4prssj258mcEI0,https://www.google.com/maps/contrib/106969379379940162187/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARAY,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
8,Joe Carroll,Top class expertise thanks for my first vaccine so Happy,5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/106687577334993139891/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARCjAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
9,Sean Harris,"Went to hub for covid vaccination, easy to find but long delay, one and half hours 🙄",4.0,5.0,,a year ago,,https://www.google.com/maps/contrib/111291117785883711097/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARBh,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
10,Garth,Best in the west! I attend this college and I would recommend it. Friendly environment and great clean facilities.,5.0,5.0,,6 years ago,,https://www.google.com/maps/contrib/110848891870474395521/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARAY,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
11,Don Brolly,Top class,5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/110154874835495626215/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARDIAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
12,Stanley Nyadzayo,All lecturers care and do their best to transfer knowledge. Great place to study.,5.0,5.0,,6 years ago,,https://www.google.com/maps/contrib/117240517783306219994/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARBE,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
13,Stephen Carroll,Good College and they finally added more much needed parking spaces,5.0,5.0,,5 years ago,,https://www.google.com/maps/contrib/107211602306884007738/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARCGAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
14,Faran Shahid,"Went for the COVID vaccine, staff was very cooperative and helpful.",5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/114471996855239114039/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARB3,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
15,ACHIEVERS POINT (Achievers Point),Study in Ireland offers you 2 years of post study work visa.,5.0,5.0,,4 years ago,,https://www.google.com/maps/contrib/108232483697777335225/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARAu,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
16,Patricia Sanz Cobos,Really well organized the Lyit for the vaccination,5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/107780174310311703264/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARAC,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
17,Ciaran Doohan,My colleague very cool very nice,5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/103850731387280182706/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARBw,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
18,Carol Ann Morgan,"The Covid19 vaccines are being given from here, so I can only comment for that. Very organised and everyone pleasantly friendly and helpful.",5.0,5.0,,a year ago,,https://www.google.com/maps/contrib/109798765136908846702/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARBL,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
19,Darrall Curran,Got the first covid injection plenty of staff on to direct you were to go,4.0,5.0,,a year ago,,https://www.google.com/maps/contrib/111019616700840347488/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARCNAQ,www.google.com,,Atlantic Technological University - Donegal Letterkenny Campus,121,4.7,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",ChIJndjQejrrX0gRDv2EVl8_qCc,"https://www.google.com/search?q=atlantic+technological+university+-+donegal+letterkenny+campus&rlz=1C1CHBF_enIN962IN962&oq=Atlantic+Technological+University+-+Donegal+Letterkenny+Campus&aqs=chrome.0.0i355i512j46i512.826j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485feb3a7ad0d89d:0x27a83f5f5684fd0e,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJndjQejrrX0gRDv2EVl8_qCc
20,Elaine G,,5.0,5.0,,4 years ago,,https://www.google.com/maps/contrib/104047547220591483181/reviews?hl=en-US&sa=X&ved=2ahUKEwihqd667uP7AhUvLFkFHRHHBfwQvfQBegUIARCHAQ,www.google.com,,"Carlow College, St Patrick's,",21,4.8,"College St, Carlow, Ireland",ChIJCVIRbFNdXUgRNwzf_UalznM,"https://www.google.com/search?q=Carlow+College%2C+St+Patrick%27s&rlz=1C1CHBF_enIN962IN962&oq=Carlow+College%2C+St+Patrick%27s&aqs=chrome..69i57j46i512j0i22i30l3.993j0j9&sourceid=chrome&ie=UTF-8#lrd=0x485d5d536c115209:0x73cea546fddf0c37,1,,,",https://www.google.com/maps/place/?q=place_id:ChIJCVIRbFNdXUgRNwzf_UalznM
