"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Louis_sullivan 4","Really good atmosphere","5.0","5.0","","5 years ago","","https://www.google.com/maps/contrib/104895751871510344658/reviews?hl=en-US&sa=X&ved=2ahUKEwiL4YTN6-P7AhVlFlkFHahxDYkQvfQBegUIARCCAQ","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"Bridget Roche","I am dissapointed with the BSc in Applied Healthcare course , having discovered many of the students on this course would like to do nursing but will never achieve their goal while on this four year course. It is simply a revenue spinner for WIT. Met with Claire Comerford.","1.0","5.0","","a year ago","","https://www.google.com/maps/contrib/114646416195670009062/reviews?hl=en-US&sa=X&ved=2ahUKEwiL4YTN6-P7AhVlFlkFHahxDYkQvfQBegUIARDEAQ","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"Derek Reilly","Convenient to find off the motorway, take the old road to avoid the toll. Ample parking when I was there for an after hours (7pm) meeting.","4.0","5.0","","6 years ago","","https://www.google.com/maps/contrib/107243749890214354432/reviews?hl=en-US&sa=X&ved=2ahUKEwikpMPN6-P7AhXRLFkFHWr1D7QQvfQBegQIARAY","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"damo collier","Do grate work with the young kids","5.0","5.0","","5 years ago","","https://www.google.com/maps/contrib/110299970181762195101/reviews?hl=en-US&sa=X&ved=2ahUKEwikpMPN6-P7AhXRLFkFHWr1D7QQvfQBegUIARDKAQ","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"sergiy moskalenko","Very popular place for young people who cary on studying. Thera so many facilities for students also accommodation. Good big parking spaces.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/113231218774756449993/reviews?hl=en-US&sa=X&ved=2ahUKEwiL4YTN6-P7AhVlFlkFHahxDYkQvfQBegUIARCYAQ","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"Deeksha","I have done my masters here. Faculties are so helpful and it's awesome place to study and grow yourself.","5.0","5.0","","9 months ago","","https://www.google.com/maps/contrib/116833439454037073546/reviews?hl=en-US&sa=X&ved=2ahUKEwiL4YTN6-P7AhVlFlkFHahxDYkQvfQBegUIARDwAQ","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"Peter Boyd","Very nice facilities.","5.0","5.0","","3 months ago","","https://www.google.com/maps/contrib/115065807453604486343/reviews?hl=en-US&sa=X&ved=2ahUKEwiL4YTN6-P7AhVlFlkFHahxDYkQvfQBegUIARCcAg","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"Bulat Nakisbekov","One of the best Institute in whole Europe! Have finished in 2019 Electronic Engineering BEng. It was fantastic!","5.0","5.0","","10 months ago","","https://www.google.com/maps/contrib/102997698525448473702/reviews?hl=en-US&sa=X&ved=2ahUKEwiL4YTN6-P7AhVlFlkFHahxDYkQvfQBegUIARDaAQ","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"Liam Heffernan","My Alma Mater a Gr8 place 2 be educated 😍","5.0","5.0","","10 months ago","","https://www.google.com/maps/contrib/118155103916228965549/reviews?hl=en-US&sa=X&ved=2ahUKEwikpMPN6-P7AhXRLFkFHWr1D7QQvfQBegQIARBa","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
"claire ryan","Great campus and lots to study here","4.0","5.0","","5 years ago","","https://www.google.com/maps/contrib/109253919400939367572/reviews?hl=en-US&sa=X&ved=2ahUKEwikpMPN6-P7AhXRLFkFHWr1D7QQvfQBegUIARCcAQ","www.google.com","","South East Technological University","116","4.4","Cork Rd, Waterford, Ireland","ChIJMUHdEBPEQkgR_nw_8dzwQkA","https://www.google.com/search?gs_ssp=eJzj4tTP1TcwjC-0KDZg9NItzi8tyVBITSwuUShJTc7Iy8_JT89MTsxRKM3LLEstKs4sqVQoTyxJLUrLL0oBAEnOFU8&q=south+east+technological+university+waterford&rlz=1C1CHBF_enIN962IN962&oq=South+East+Technological+University&aqs=chrome.2.0i355i512j46i512l3j0i512l6.5423j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4842c41310dd4131:0x4042f0dcf13f7cfe,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJMUHdEBPEQkgR_nw_8dzwQkA"
