"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Redstoneexpert","Was here for rowing competition amazing staff One of the biggest universities I've seen, one of the best too.","5.0","5.0","","a week ago","","https://www.google.com/maps/contrib/113138139008003438258/reviews?hl=en-US&sa=X&ved=2ahUKEwip1onO5uP7AhVKFVkFHUB-BxkQvfQBegQIARAC","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Praveen Talavar","Amazing campus. Just beautiful! <3","5.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipPTTUbyV4gyldjBBEujd2Nq-0J3nkYYbImHk8y3 | https://lh5.googleusercontent.com/p/AF1QipPLjZymF0o98ZyYXdTMEwhnLAnizqUWMvy3R6iE | https://lh5.googleusercontent.com/p/AF1QipMSpR8dR9aVW8qaQvnHJ2fDKLofvRwdOEz2zWWq | https://lh5.googleusercontent.com/p/AF1QipOwr7wo7BG5gcu017KNxoP0q9edd1sy1bdmjbm2 | https://lh5.googleusercontent.com/p/AF1QipN65eAwy0SKYryL99d7yXjELoEQW34BNIu3rzeI | https://lh5.googleusercontent.com/p/AF1QipPEDmdGkI0MfWwdb_GuVAUZFeOJECOcpjwvEKSN | https://lh5.googleusercontent.com/p/AF1QipMq0aTI3AyizYA91EyiIJD1UhRAbe6tSB2NFrQ5 | https://lh5.googleusercontent.com/p/AF1QipNcwhPkUH5C8ErdzJ7F6heAUUt2ONT1pMQ8X_KT | https://lh5.googleusercontent.com/p/AF1QipOXejUYKhvElYmiMeGDwWcViHniOwIv8pLog9dj | https://lh5.googleusercontent.com/p/AF1QipO6UY3KiwvW8GU_2CDiUlHzhDcTyGD6V28voSac | https://lh5.googleusercontent.com/p/AF1QipNm0njg4sOxdVZHo32mLnDk43LtMnHj5oUZkM9o | https://lh5.googleusercontent.com/p/AF1QipMIGtRAKqtRjSIxlW7HnijB9kf_leNa9VAK2mw2 | https://lh5.googleusercontent.com/p/AF1QipOdzjB5CBXFKoYVEJxPFy_z3QZm6dqU4kqglk28 | https://lh5.googleusercontent.com/p/AF1QipNqlLEFm0h6r1QQkbKXeQqjgyOKIUlJzASjH5xb | https://lh5.googleusercontent.com/p/AF1QipNs6i0eQXDxEg2e6YwRiNZYpZ4BsiIKtlfAffTj | https://lh5.googleusercontent.com/p/AF1QipOB0KF-iuBD85heHlRwTG3SDFqj-aJXB43v4z2w | https://lh5.googleusercontent.com/p/AF1QipOUW6QH42DuDeyfCR0N8TauMfm7GYsMwbNN1fOg | https://lh5.googleusercontent.com/p/AF1QipORkP773sCRAXf_4aAE3Ux_1EJ-RNLmlnVGSzok | https://lh5.googleusercontent.com/p/AF1QipPUrbrVmzxshjDYRGTxDUQ_EfDGiUfaY6XmNqDc | https://lh5.googleusercontent.com/p/AF1QipPxtThmteVwhTHzc60eIFq-ED-ixcv0OOqdwGxm | https://lh5.googleusercontent.com/p/AF1QipM7tl0HikrUDjsLEbMo5Qlp7bToYpwDAhUoskY0 | https://lh5.googleusercontent.com/p/AF1QipNTXHhhpDX02DO-cuO7-y1U5Qs5w8NAxLQQDF5L | https://lh5.googleusercontent.com/p/AF1QipNcKhDW6SI_MwG8hbjk5cE7xmIRY8_azp_tk4CT | https://lh5.googleusercontent.com/p/AF1QipPAJK-7ThiUfcHbu2Q8kdPGqWF2JAgNmxI9vgCo | https://lh5.googleusercontent.com/p/AF1QipNKOK5ktQeilk2M9kCe9bhS4KdD8bUS4PG2fDsl | https://lh5.googleusercontent.com/p/AF1QipMvrKhRLrqNSvct4-Zsi8927egzUivVLQXbtCux | https://lh5.googleusercontent.com/p/AF1QipM6PjLXnd_38CmEF4H58K6J5XDVYhuokR7eCdkp | https://lh5.googleusercontent.com/p/AF1QipM6XZIKm7DfjzPHtCTVsDgl-inpLNERdgfCpJu0 | https://lh5.googleusercontent.com/p/AF1QipND9AVMOUv5LU3b-xAdePxBVEfCdApBqf7PwGAk | https://lh5.googleusercontent.com/p/AF1QipMBdPHRZfAPaJAu6Oc7NsjVcv-VN_ytvWY0q8uW | https://lh5.googleusercontent.com/p/AF1QipNrEogBkNBCbeMMTqvqTt2tkmfIiM-qDc0VsMjz | https://lh5.googleusercontent.com/p/AF1QipNjiO5qbD4TcCbFl2snBhavhpKT28c9aqhxyepl | https://lh5.googleusercontent.com/p/AF1QipPhgKKXEbW1ncPCXDMDnStJv5TbVsb5Y-grjpKt | https://lh5.googleusercontent.com/p/AF1QipMCo-IHBMAWjgF5nRIkozs7NKoqJC6tEk3XWBDK | https://lh5.googleusercontent.com/p/AF1QipPshfCM2-mN1RAa_x-wKGQJ9wqpc4qv7suhFIWM | https://lh5.googleusercontent.com/p/AF1QipPjQ9uowJZdtB3NA3SUvHIswldB0QS0-vuNxt9D","https://www.google.com/maps/contrib/101342279604946504885/reviews?hl=en-US&sa=X&ved=2ahUKEwip1onO5uP7AhVKFVkFHUB-BxkQvfQBegQIARAw","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Shane Forsey","Superb University with amazing facilities. If you get a chance to go here, don't hesitate.","5.0","5.0","","a week ago","https://lh5.googleusercontent.com/p/AF1QipMIKEmETUkOOuJV9K8vR1KdfFq6DP3R4jaynfo | https://lh5.googleusercontent.com/p/AF1QipP9f_3Inyod-bocoUbc4BtnplTZ5Jxju8Cfbq4 | https://lh5.googleusercontent.com/p/AF1QipM7eqIWZW0KH48rJwjnupPVsSDCpSN__4pMQh8 | https://lh5.googleusercontent.com/p/AF1QipN20lPwblHKxV0Cu0IIcdA8f9QKxF0eMLtS9i0 | https://lh5.googleusercontent.com/p/AF1QipN-0KdxEweUzEYUzqdFJdRr3gULr-LJ-l_5xsE | https://lh5.googleusercontent.com/p/AF1QipPbW5hfSBPGfFNRjfKQFc0Glef9zOwaF8bBYJg | https://lh5.googleusercontent.com/p/AF1QipO3wXO7SEgW94AL_DOZ-MCmhZzfcuz4ul6YCCE | https://lh5.googleusercontent.com/p/AF1QipMFCm-roNjibPg0opgCQlo_08VMthQ319shsMU | https://lh5.googleusercontent.com/p/AF1QipN52fdanRou87IWUGI4Xbfsp6bWWLI5LuPLxKg","https://www.google.com/maps/contrib/106067385902636110835/reviews?hl=en-US&sa=X&ved=2ahUKEwiS6pzN5uP7AhX7EGIAHQIQA-oQvfQBegQIARB5","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Ernesto Baez","What an amazing place. The campus is absolutely beautiful very safe and transport directly to and from Dublin. Our dorms were right next the river/creek and we could hear the birds signing all the time. At nights the campus can be so enchanting with a slight drizzle that never seems to get you wet you, with a fog so dense you can barely see 2 meters in-front of you. The facilities are first class and my experience with the staff and fellow student body was nothing short lifelong memories.","5.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipPlypy45vjZ7j0gOpIJQJ-9E-hO_nS3edw_lGNj | https://lh5.googleusercontent.com/p/AF1QipOQ9oVuVUCjNkPJJ8WadYev714tJ7Oq-6CPLLi2 | https://lh5.googleusercontent.com/p/AF1QipO2i4Vv1U4pZk0Its8Dgi6-hByH7KW73wavOEoe | https://lh5.googleusercontent.com/p/AF1QipPayuJwTgAPGtbGtJpA70teYgq_nCWhBF9VN951 | https://lh5.googleusercontent.com/p/AF1QipP6m04yY1Qi3cV3EMgRC6rMS96-aF74ZfcF4shN | https://lh5.googleusercontent.com/p/AF1QipNRd3bj2sfNQhmLJ41KnUjoKZd9wFDCI3h-mVLi | https://lh5.googleusercontent.com/p/AF1QipPGxAeh3eDqmyIYOpB7esP4dQ4ecvOICIcf6SG3 | https://lh5.googleusercontent.com/p/AF1QipO6A65lGbKGEAFCmvv4lDPyljvrJkrPSC6eWong | https://lh5.googleusercontent.com/p/AF1QipOseqz3XCOrJzU2qDUuOLvKBeyE8rvcwC3zC4Xh | https://lh5.googleusercontent.com/p/AF1QipOhieE1XvpJseofdJeWClra4N-dvu2U8j_dYphS","https://www.google.com/maps/contrib/108227305539677121816/reviews?hl=en-US&sa=X&ved=2ahUKEwiS6pzN5uP7AhX7EGIAHQIQA-oQvfQBegQIARA6","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Martin Rathfelder","Very spacious. very green.","5.0","5.0","","5 months ago","https://lh5.googleusercontent.com/p/AF1QipNUD1WIOyBwkjSA_V6x4qhDeO69MMCu4-nP5OKY","https://www.google.com/maps/contrib/104966839049579724102/reviews?hl=en-US&sa=X&ved=2ahUKEwip1onO5uP7AhVKFVkFHUB-BxkQvfQBegUIARCdAQ","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Love Nature","Beautiful place surrounded by natural beauty with river and natural vegetations. Accessible : with bus stop for buses going and arriving from dublin and limerick city , easy and comfortable to walk throughout or to 🚴‍♀️ and briges connecting different part of university. Beautiful compound and facilities : unique buildings, bridges , parking for cars and bikes, shops, café , sport fields and facilities, river sides with beautiful walking routes.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/117005212252890075954/reviews?hl=en-US&sa=X&ved=2ahUKEwip1onO5uP7AhVKFVkFHUB-BxkQvfQBegUIARC1AQ","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Colin McInerney","Amazing campus.. there is many different locations to go walking within the grounds.. very scenic place that offers something for everyone.. the college itself is a very prestigious school and a very well known landmark in the limerick area.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/104431639450221259415/reviews?hl=en-US&sa=X&ved=2ahUKEwip1onO5uP7AhVKFVkFHUB-BxkQvfQBegUIARDLAQ","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"David Mc Namara","There's a beautiful walk along the river between the University and the city","5.0","5.0","","2 years ago","https://lh5.googleusercontent.com/p/AF1QipNhNR9b63Vg4IkT2giGGfKoViuvZGY7ypG8g3Qz | https://lh5.googleusercontent.com/p/AF1QipMl0pa8lJmD-GN5htYXmkzxxeMvQyJ-hLQ2ChvZ | https://lh5.googleusercontent.com/p/AF1QipNa-S7cMUjLBm3vhCVwxmYv_9hdyXL4mK04ZSH8 | https://lh5.googleusercontent.com/p/AF1QipPmMSAphm5iPMc-YfB1ix3ElY2WzyKvjJ1phMpt | https://lh5.googleusercontent.com/p/AF1QipPQ9zu1J-6a8TVB98aQ8bXgfQvlbG3Hlti3y5Cj","https://www.google.com/maps/contrib/102596433935739276506/reviews?hl=en-US&sa=X&ved=2ahUKEwip1onO5uP7AhVKFVkFHUB-BxkQvfQBegUIARCBAQ","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Da Dark Force","I was at the Arena for a swimming competition , I absolutely loved it, great facilities, great pool and a lovely walk around the facility. As for the University itself as I do not go to it I can not tell you how good the education is but from what people say it is very good, its entire campus/ its accommodation villages are no smoking. Its parks and buildings are very well kept, the only little bluff, if you are going here do not forget to book your accommodation early so you have a wider choice, thank you for reading.","5.0","5.0","","2 years ago","","https://www.google.com/maps/contrib/109767363402623068875/reviews?hl=en-US&sa=X&ved=2ahUKEwip1onO5uP7AhVKFVkFHUB-BxkQvfQBegUIARDhAQ","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Jorge Baptista","Lovely walks around the campus along the river and over the bridges.","5.0","5.0","","10 months ago","https://lh5.googleusercontent.com/p/AF1QipNewceOVANeaM8EWt60-uTqbx0acan8YYeVVWZZ | https://lh5.googleusercontent.com/p/AF1QipOVN-L8lo4s26aLNFznMVM5Ep1fWz7gzCenF_fk | https://lh5.googleusercontent.com/p/AF1QipMJWSfSQcz1n9kaX1l3tUj5KKk5k9uEGDvZEwNm | https://lh5.googleusercontent.com/p/AF1QipMi4YZfbEtX_iLmj_HtHx8KjcNp44Zr-ghAlKv7 | https://lh5.googleusercontent.com/p/AF1QipPGMh1Z2LlSrJV5-yYXkU7-StUjoO41epz1G1S5 | https://lh5.googleusercontent.com/p/AF1QipNGH-c26pEPR95oJDXMdolb2fYwLJobWaGymiae | https://lh5.googleusercontent.com/p/AF1QipMGdXMxWx_zJehSEQKXKVQGwK-wDOogcbyqcu10 | https://lh5.googleusercontent.com/p/AF1QipMm9qGYErnXVfAceCwx60jyt985LQqA-bN3Z2aw | https://lh5.googleusercontent.com/p/AF1QipMXCBJzvI7sFccnagpOyNtvSYvSISJdp4BOHbCr | https://lh5.googleusercontent.com/p/AF1QipOhNSOmI4Ki1MFj0OE4_o0oVyUnVvsG2RckBHCR","https://www.google.com/maps/contrib/104163899783545070272/reviews?hl=en-US&sa=X&ved=2ahUKEwiS6pzN5uP7AhX7EGIAHQIQA-oQvfQBegUIARCsAg","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"TRAVEL JOY & PEACE","Great University of entire country.. Spread over 800 acres .... Lush green landscape.... My God!! The beautiful fairy tale River Shanon ... The ornament like bridge .... So grand grand gaalaa grounds.... Strong and secure buildings ..... Above all the education level....really fantastic great and five star 🌟 category educational institution that no longer delay in choosing it will make the parents regret latter... Make it a decision to enroll son and daughter here....🎖✨️","5.0","5.0","","5 months ago","","https://www.google.com/maps/contrib/115349499474767464403/reviews?hl=en-US&sa=X&ved=2ahUKEwiS6pzN5uP7AhX7EGIAHQIQA-oQvfQBegUIARCaAQ","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Fatima Nasser","Very Beautiful and Spacious Campus. The Shannon River passes through the University which makes it more fascinating.","5.0","5.0","","4 months ago","https://lh5.googleusercontent.com/p/AF1QipMcbsDd-cEEQnW-XrCPmSx3QKUYlDHP3C0JlffN | https://lh5.googleusercontent.com/p/AF1QipPKkBru5e-q05huCX9tyMYbwWpMsqjhEP9qG5ku | https://lh5.googleusercontent.com/p/AF1QipOcvPFs8aepcS89eAxk1MAMnj-NYn7wgQsx4L1r | https://lh5.googleusercontent.com/p/AF1QipN5UCKiM8GrlwRw-iTSs0NbmPclZL10NFTHwDRt | https://lh5.googleusercontent.com/p/AF1QipMtoZ1NDSqevO5RdpQUUB8g9VvMgYA232P3nwyk | https://lh5.googleusercontent.com/p/AF1QipMx7KlH4yDy5U71AW0MJUAZob_5niDv606ySgpa | https://lh5.googleusercontent.com/p/AF1QipPx8jsTV7Bne3Wus5tva0_awYk3VAz-sOmNa7mp","https://www.google.com/maps/contrib/101209345306382345648/reviews?hl=en-US&sa=X&ved=2ahUKEwiS6pzN5uP7AhX7EGIAHQIQA-oQvfQBegQIARBb","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"Mayank Srivastava","A great place to study and attain the necessary skills to succeed in professional life. You'll also make friends from several countries. The campus is massive and it might take a while before you can fully explore every corner of the University. The University is also the modern amenities and facilities. It has an excellent library and a great gym. The faculty and staff are extremely helpful.","5.0","5.0","","4 years ago","https://lh5.googleusercontent.com/p/AF1QipMy89Ukte6FPebRWSVFeb0wTxhmBXUS0SQa1e7h | https://lh5.googleusercontent.com/p/AF1QipOV85VfLy1GDZBlCcYNkyym8h8MsibfZXqhrlw7 | https://lh5.googleusercontent.com/p/AF1QipNgRsC4MNG44b3I1rQy6asrCI-58ssQWu2dujkM | https://lh5.googleusercontent.com/p/AF1QipPCMIB551mSy_y_kSHba2sORJWPJatsNlJneM7C | https://lh5.googleusercontent.com/p/AF1QipMNNN9JcvWqbhiTyjqh-KJ6jy8BMdZD4aX2BLGr","https://www.google.com/maps/contrib/101779749140248044275/reviews?hl=en-US&sa=X&ved=2ahUKEwiS6pzN5uP7AhX7EGIAHQIQA-oQvfQBegUIARD3AQ","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
"mahdi nohtani","The campus is beautiful. It is open to public and it is a great place for socialising. The living bridge over shannon river is amazing. It is combination of nature with human architecture.","5.0","5.0","","2 years ago","https://lh5.googleusercontent.com/p/AF1QipPpzrQV9H7sYim0M_n-XZAYghcXu_SgDojhMoSF | https://lh5.googleusercontent.com/p/AF1QipPGFd6S9GX6P9ErGVAxCK_Xmse9xrQ8ATfT1ROj","https://www.google.com/maps/contrib/108179541839144619403/reviews?hl=en-US&sa=X&ved=2ahUKEwiS6pzN5uP7AhX7EGIAHQIQA-oQvfQBegUIARCTAg","www.google.com","","University of Limerick","433","4.7","Castletroy, County Limerick, Ireland","ChIJc1guIZheW0gRLfzDqvPrf8o","https://www.google.com/search?q=university+of+limerick&rlz=1C1CHBF_enIN962IN962&oq=University+of+Limerick&aqs=chrome.0.0i433i512j46i20i175i199i263i512j0i512j46i512j46i175i199i512j0i512j69i60j69i61.822j0j4&sourceid=chrome&ie=UTF-8#lrd=0x485b5e98212e5873:0xca7febf3aac3fc2d,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJc1guIZheW0gRLfzDqvPrf8o"
