CourseID,Course_name,Score1,Score2
AL802,Software Design (Games Development),300,340
AL803,Software Design (Web Development),310,335
AL805,Construction Technology and Management,N/A,N/A
AL830,General Nursing,415*,430
AL831,Mature Applicants General Nursing,233#,235
AL832,Psychiatric Nursing,395,405
AL833,Mature Applicants Psychiatric Nursing,230#,234
AL835,Audiology,405,440
AL836,Health Science and Nutrition,375,400
AL837,Sports Science with Exercise Physiology,360,385
AL838,Biotechnology,270,340
AL839,Human and Animal Toxicology,275,335
AL840,Pharmaceutical Science,260,305
AL841,Sports Therapy with Rehabilitation,365,400
AL850,Business,270,320
AL851,Business and Law,270,320
AL852,Accounting,295,365
AL853,Accounting and Law,N/A,N/A
AL860,Social Care Practice,340,360
AL862,Visual Communications,795#,905
PC405,Citizenship & Community Studies,280,300
PC410,Humanities,255,290
PC411,English and History,270,310
CW018,Business - Wexford,280,330
CW028,Early Childhood Education and Care - Wexford,290,310
CW038,Art - Wexford - Portfolio,700#,700
CW068,Applied Social Studies - Professional Social Care - Wexford,350,355
CW088,Visual Communications and Design - Wexford,330,385
CW108,Biosciences with Bioforensics or Biopharmaceutials,290,335
CW168,Environmental Science,320,375
CW178,Sport Science,400,420
CW188,Sports Rehabilitation and Athletic Therapy,450,465
CW208,Computer Games Development,325,370
CW238,Software Development,325,360
CW248,Computer Systems Management,290,320
CW438,Construction - Quantity Surveying,285,295
CW448,Construction - Facilities and Energy Management,280,310
CW468,Architectural Technology,275,340
CW538,Pilot Studies (Portfolio),N/A,N/A
CW548,Mechanical Engineering,300,345
CW558,Electronic Systems,300,350
CW708,Law,305,345
CW728,Product Design Innovation,305,335
CW748,Early Childhood Education and Care,315,335
CW758,Applied Social Studies - Professional Social Care,340,360
CW768,Social and Community Studies,300,330
CW808,Communications - Media and Public Relations,300,335
CW838,Business - Marketing,285,320
CW858,Sports Management and Coaching(GAA Rugby Soccer) - Portfolio,700#,700
CW908,Business - Management,280,325
CW928,Business - Human Resource Management,295,320
CW938,Business with Law,315,360
CW948,Accounting,300,395
CR105,Chemical and Biopharmaceutical Engineering,335,470
CR106,Software Development,300,345
CR108,Mechanical Engineering,340,440
CR109,Structural Engineering,N/A,N/A
CR112,Multimedia,365,395
CR116,Software Development and Computer Networking,305,325
CR121,Music - at CIT Cork School of Music,630**,970
CR150,Business Information Systems,315,360
CR210,Applied Art Ceramics - at CIT Crawford College of Art and Design,685#,850
CR220,Fine Art - at CIT Crawford College of Art and Design,600#,920
CR305,Science (Level 8 -  Common Entry),320,360
CR310,IT Management,290,320
CR312,Web Development,295,340
CR320,Biomedical Science (Joint CIT & UCC programme),520*,535
CR325,Pharmaceutical Biotechnology,300,335
CR330,Herbal Science,265,325
CR333,Nutrition and Health Science,340,370
CR340,Analytical Chemistry with Quality Assurance,295,315
CR360,Instrument Engineering,320,415
CR365,Environmental Science and Sustainable Technology,310,350
CR400,Accounting,325,385
CR420,Marketing,295,340
CR500,Engineering (Level 8 - Common Entry),310,425
CR510,Sustainable Energy,300,360
CR520,Biomedical Engineering,390,460
CR522,Building Energy Systems,260,320
CR560,Architectural Technology,285,340
CR565,Interior Architecture,280,330
CR570,Quantity Surveying,280,340
CR572,Construction Management,255,315
CR580,Electrical Power Systems,305,380
CR590,Electronic Systems Engineering,330,390
CR600,Visual Communications,595#,790
CR660,Tourism,260,315
CR700,Theatre & Drama Studies,685#,930
CK101,Arts,330,390
CK102,Social Science,390,420
CK103,Music,370#,420
CK104,Arts with Music,335#,465
CK106,Applied Psychology,510,540
CK111,Early Years and Childhood Studies,395,430
CK112,Drama and Theatre Studies,355#,460
CK114,Social Science (Youth & Community Work) - Mature App's only,999,N/A
CK115,Social Work - Mature Applicants only,999,N/A
CK116,Sports Studies and Physical Education,475*,495
CK201,Commerce,430,470
CK202,Accounting,430,505
CK203,Business Information Systems,410*,455
CK204,Finance,420,485
CK205,Commerce (International) with French,485,525
CK206,Commerce (International) with German,405,480
CK207,Commerce (International) with Italian,385,410
CK208,Commerce (International) with Hispanic Studies,430,480
CK209,Commerce (International) with Irish,430*,505
CK210,Government,330,375
CK211,Commerce (International) with Chinese Studies,355,430
CK301,Law,470,495
CK302,Law and French,500,540
CK304,Law and Irish,525,545
CK305,Law (Clinical),530,545
CK306,Law (International),550,570
CK401,Computer Science,340,395
CK402,Biological and Chemical Sciences,410,475
