college,course,code,title,course_type,course_starts,fees,level,award,duration,mode_of_study,method_of_delivery,commencement_date,location,website_url,course_description,course_content,minimum_entry_requirements,video,faculty_information_lecturer,faculty_information__lecturer_image_url,faculty_information__id,job_opportunities_and_salary_expectations,course_reviews_and_testimonials,map_info,students_accomodation_link,workshops,thumbnail_image_url,clubs_and_societies_link
Technological University Dublin,TU059 Computer Science  (Data Science),TU059,Computer Science  (Data Science),Postgraduate,Sep-20,7000,Level 9,Master of Science,3 semesters,Full Time,Classroom,September,Dublin,https://www.tudublin.ie/,"The MSc in Computer Science (Data Science) course aims to produce graduates with the knowledge and skills to work with large amounts of raw data and extract meaningful insights from it.  Graduates are equipped with deep technical skills (in data management, data mining, probability and statistics, and machine learning), but also with the softer skills (in communications, research and problem solving) required to work effectively within organisations.","Specialist Core Modules include Probability & Statistical Inference, Machine Learning, Working with Data, Data Management, Data Mining, Data Visualisation. Critical Skills Core Modules include Research Writing & Scientific Literature, Research Methods and Proposal Writing, Research Project & Dissertation or a Team Project. Optional Modules include Geographic Information Systems, Universal Design, Programming for Big Data, Problem Solving, Communication and Innovation, Social Network Analysis, User Experience Design, Deep Learning, Speech & Audio Processing","The minimum admission requirements for entry to the programme are a B.Sc. (Honours) in Computer Science, Software Development, Mathematics or other suitably numerate discipline with computing as a significant component. The degree should be at the level of Honours 2.1 or better or at Honours 2.2 or better with at least 2 years of Software Development work experience. Applicants with other qualifications at Honours 2.1 or better level and Software Development experience may also be considered. If English is not your first language you will need to provide evidence of your English language proficiency as detailed on our website. Applicants for this course should have a minimum IELTS (Academic Version) English Proficiency of 6.5 overall (or equivalent) with nothing less than 6 in each component. Note: Due to the considerable competition for our postgraduate courses satisfying the minimum entry requirement is not a guarantee of a place. Depending on the course of study applications will be assessed based on academic grades and any work/life experience. Applicants may also be required to attend for interview.",https://youtu.be/wCc4enIHnhM,"Damian, Andrea",https://www.tudublin.ie/explore/faculties-and-schools/,1,"Data Science has been highlighted in a range of recent reports as an area of strategic importance both nationally and internationally. Areas in which opportunities for data analytics practitioners exist include retail, financial services, telecommunications, health, and government organisations. Specific roles include but are not limited to: Data Analytics Consultant, Data Scientist, Data Analyst, Data Architect, Database Administrator, Data Warehouse Analyst, Business Intelligence Developer, Business Intelligence Implementation Consultant, Business Analyst, Reporting Analyst.",https://www.ucd.ie/sportandsocieties.htm,https://www.tudublin.ie/explore/our-campuses/campus-maps/,https://www.ucd.ie/residences,https://www.tudublin.ie/explore/about-the-university/academic-affairs/teaching/events-workshops-and-academic-programmes/eventsandworkshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/tud.jpg,https://www.tudublin.ie/activities/
University College Dublin,DN150 Biomedical Engineering,DN150,Biomedical Engineering,Undergraduate,Sep-20,7574,Level 8,BSc (Engineering Science) or BE (Hons),3 Years (BSc) (Hons) + 2 Years (ME) or 4 Years (BE),Full Time,Face-to-Face,September,Dublin,https://www.ucd.ie/,"Biomedical Engineering involves the application of traditional engineering principles to healthcare and medicine. We can think of the brain and nervous system as a large communication system, which co-ordinates and transmits signals around the body, and the organs and limbs as sophisticated engineering systems that control functions such as movement, respiration and blood ﬂow.  UCD Biomedical Engineers are educated with a strong foundation in electrical, electronic and mechanical engineering, which is complemented by an understanding of physiology and anatomy. This foundation is applied to problems in medicine and healthcare in specialised modules such as Biomechanics, Medical Device Design, Neural Engineering, Rehabilitation Engineering and Cell Culture & Tissue Engineering. If you are interested in developing new medical techniques, systems and devices, and you want to be involved in the breakthroughs that are improving the healthcare system for doctors and patients every day, then this is the course for you.",First Year Engineering students follow a common first year. Modules include:  Chemistry Creativity in Design Electrical/Electronic Engineering Energy Engineering Engineering Computing Mathematics Mechanics Physics. Second to Fifth Year  Sample modules for Biomedical Engineering students include:  Bioinstrumentation Biomechanics Biomaterials Neural Engineering Biomechanics of Cells & Tissues Cell Culture & Tissue Engineering Biosignal Processing Medical Device Design Rehabilitation Engineering Medical Sciences for Engineers Introduction to Physiology Electrical & Electronic Circuits Computer Engineering Electromagnetics Control Theory Mechanics of Fluids Mechanics of Solids Applied Physics Applied Dynamics Medical Sciences for Biomedical Engineers.,"EU applicants must meet the same minimum entry requirements as Irish school-leavers. As the number of applicants generally exceeds the number of places available, admission is competitive based on a points system. A-level applicants please see the separate page for A-level.  For information about how the entry requirements equate to the school-leaving qualifications from your country, please see the Agreed entry requirements criteria for EU/EFTA applicants.  English is the teaching language of the university so all applicants must show proficiency in English.",https://www.youtube.com/watch?v=wsuwy9xjTj0,studenthelp@dcu.ie,To Be Filled,2,Graduates can find employment in:  The Medical Technologies Industries Pharmaceutical Industries Medical Device Design Rehabilitation Engineering Device Manufacturing Regulation Engineering Consultancy Graduates can also pursue a taught or research Master’s degree in Biomedical Engineering. You can study for a PhD and work with some of the world’s leading experts on ground-breaking research.,https://www.ucd.ie/sportandsocieties.htm,https://ucdestates.ie/information/ucd-maps/,https://www.ucd.ie/residences,https://www.ucd.ie/innovation/researchers-and-students/commercialisation-bootcamp/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/ucd.jpg,https://www.ucd.ie/sportandsocieties.htm
University College Dublin,NQS2 Chemical & Bioprocess Engineering,NQS2,Chemical & Bioprocess Engineering,Undergraduate,Sep-20,7574,Level 8,BSc (Engineering Science) or BE (Hons),4 year (BE) + 1 year (ME),Full Time,Face-to-Face,September,Dublin,https://www.ucd.ie/,"Chemical & Bioprocess Engineering (CBE) deals with the ingenious transformation of matter and energy into products and services. More speciﬁcally, it addresses the design and operation of facilities needed to achieve this transformation in a technically, economically and environmentally acceptable manner.  Examples of products include petrochemicals, (bio)pharmaceuticals and nano-materials. Examples of services include energy supply (from carbon-based to renewable resources), clean air and CO2-sequestration.  As a Chemical & Bioprocess Engineer, you’ll use the sciences as the basis for understanding these transformations; you’ll apply mathematical and engineering principles to realise them on the appropriate scale. If you seek invention, and want to work at the interface between the sciences, mathematics and engineering, with a broad and well-paid portfolio of career opportunities, strongly consider CBE.",First Year Engineering students follow a common first year which includes modules in:  Chemistry Creativity in Design Electrical/Electronic Engineering Energy Engineering Engineering Computing Mathematics Mechanics Physics. Second to Fifth Year Sample modules for Chemical & Bioprocess Engineering students include:  Organic Chemistry for Engineers Inorganic & Physical Chemistry for Engineers Chemical & Bioprocess Engineering Measurement Biotechnology for Engineers Computing in Chemical & Bioprocess Engineering Chemical & Bioprocess Reaction Engineering Chemical & Bioprocess Engineering Thermodynamics Commercial Pharmaceutical & Bioprocessing Technology Chemical & Bioprocess Engineering Design Professional Engineering (Finance) Environmental Engineering Advanced Separation Processes Advanced Experimental Design,"EU applicants must meet the same minimum entry requirements as Irish school-leavers. As the number of applicants generally exceeds the number of places available, admission is competitive based on a points system. A-level applicants please see the separate page for A-level.  For information about how the entry requirements equate to the school-leaving qualifications from your country, please see the Agreed entry requirements criteria for EU/EFTA applicants.  English is the teaching language of the university so all applicants must show proficiency in English.",https://www.youtube.com/watch?v=wsuwy9xjTj0,studenthelp@dcu.ie,To Be Filled,3,"UCD has the oldest, largest and most research-active School of Chemical & Bioprocess Engineering in Ireland, and is benchmarked competitively against the top schools in Europe and abroad. Our graduates are among the best-paid engineering professionals and sought after for employment in sectors from chemical to (bio)pharmaceutical and from energy to consultancy and design.We oﬀer taught and research Master’s and PhD opportunities, and our graduates also enter Master’s and PhD programmes in leading international universities.  Both the BE and ME degrees are accredited at the master’s level by the Institution of Chemical Engineers, while our ME has achieved master’s level accreditation by Engineers Ireland",https://www.ucd.ie/sportandsocieties.htm,https://ucdestates.ie/information/ucd-maps/,https://www.ucd.ie/residences,https://www.ucd.ie/innovation/researchers-and-students/commercialisation-bootcamp/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/ucd.jpg,https://www.ucd.ie/sportandsocieties.htm
University College Dublin,NVS1 Civil Engineering,NVS1,Civil Engineering,Undergraduate,Sep-20,7574,Level 8,BSc (Engineering Science) or BE (Hons),3 Years (BSc) (Hons) + 2 Years (ME) or 4 Years (BE),Full Time,Face-to-Face,September,Dublin,https://www.ucd.ie/,"Civil Engineering deals with the design, construction and maintenance of the physical and naturally built environment.  It includes the design of bridges, buildings, roads and dams, and works relating to management of our water resources. The work of civil engineers is evident all around us and their contribution to society is huge. This work incorporates environmental protection; large-scale construction projects; ensuring the provision of safe drinking water; designing and implementing strategies for treating wastewater and pollutants; development of transport infrastructure; ﬂood prevention; and the design of foundations for diﬀerent ground conditions.  Skills for meeting these requirements are developed in UCD Civil Engineering, in core areas of structural design, water and environmental engineering, transport engineering and geotechnical (soil and foundation) engineering.","First Year Engineering students follow a common first year which includes modules in:  Chemistry Creativity in Design Electrical/Electronic Engineering Energy Engineering Engineering Computing Mathematics Mechanics Physics. Second to Fifth Year Areas of study for Civil Engineering include:  Theory, Design and Analysis of Structures Hydraulic Engineering Treatment Processes for Water and Wastewater Geotechnics Construction Materials & Practice Transportation Engineering Highway Engineering Professional Engineering studies","EU applicants must meet the same minimum entry requirements as Irish school-leavers. As the number of applicants generally exceeds the number of places available, admission is competitive based on a points system. A-level applicants please see the separate page for A-level.  For information about how the entry requirements equate to the school-leaving qualifications from your country, please see the Agreed entry requirements criteria for EU/EFTA applicants.  English is the teaching language of the university so all applicants must show proficiency in English.",https://www.youtube.com/watch?v=wsuwy9xjTj0,studenthelp@dcu.ie,To Be Filled,4,"Graduates can find employment in:  Environmental industries Transportation engineering Water resource and hydraulic engineering Management and project management Financial services Structural engineering Research Graduates can also apply for taught and research Master’s in UCD, including Civil, Structural and Environmental Engineering, Water, Waste & Environmental Engineering and Engineering with Business. Graduates can also apply for positions in PhD research programmes.",https://www.ucd.ie/sportandsocieties.htm,https://ucdestates.ie/information/ucd-maps/,https://www.ucd.ie/residences,https://www.ucd.ie/innovation/researchers-and-students/commercialisation-bootcamp/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/ucd.jpg,https://www.ucd.ie/sportandsocieties.htm
University College Dublin,DN201 Computer Science,DN201,Computer Science  (Data Science),Undergraduate,Sep-20,7574,Level 8,BSc (Hons),4 Years,Full Time,Face-to-Face,September,Dublin,https://www.ucd.ie/,"Do you ever wonder how Google, Skype, Internet banking or computer games work? Would you like to develop the next generation of cutting-edge computing technologies? If you’re a logical thinker who likes problem solving and you enjoy subjects like mathematics, a degree in Computer Science could be for you.  Topics include advanced software engineering, theory of computer science, networks, security and the underlying mathematics behind logic and formal software. Students learn programming languages such as Java; software development tools and methodologies such as Git; web technologies such as JavaScript; and Big Data programming techniques. Students will use different operating systems.",First Year  Computer Science Mathematics Elective module Second Year  Computer Science Mathematics Elective modules Third Year  Computer Science Five-month internship or software engineering project Elective modules Fourth Year  Computer Science Computer Science project,"EU applicants must meet the same minimum entry requirements as Irish school-leavers. As the number of applicants generally exceeds the number of places available, admission is competitive based on a points system. A-level applicants please see the separate page for A-level.  For information about how the entry requirements equate to the school-leaving qualifications from your country, please see the Agreed entry requirements criteria for EU/EFTA applicants.  English is the teaching language of the university so all applicants must show proficiency in English.",https://www.youtube.com/watch?v=wsuwy9xjTj0,studenthelp@dcu.ie,To Be Filled,5,"A UCD Computer Science degree equips you with the necessary skills to work as a computer programmer, software engineer or architect, database designer, web developer, network engineer, systems administrator or manager, and IT consultant. Some graduates also go on to start their own companies. With a BSc in Computer Science, you’re also eligible to pursue graduate study in computer science and in related areas, such as business, mathematics and engineering. Graduates also pursue research in computer science through PhD programmes in UCD or other institutions.",https://www.ucd.ie/sportandsocieties.htm,https://ucdestates.ie/information/ucd-maps/,https://www.ucd.ie/residences,https://www.ucd.ie/innovation/researchers-and-students/commercialisation-bootcamp/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/ucd.jpg,https://www.ucd.ie/sportandsocieties.htm
University College Dublin,NES1 Electronic Engineering or Electrical Engineering,NES1,Electronic Engineering or Electrical Engineering,Undergraduate,Sep-20,7574,Level 8,BSc (Engineering Science) or BE (Hons),3 Years (BSc) (Hons) + 2 Years (ME) or 4 Years (BE),Full Time,Face-to-Face,September,Dublin,https://www.ucd.ie/,"Electrical and Electronic Engineers have revolutionised the way we live today. As an electronic or electrical engineer, you can lead the way in designing technologies that will shape our world. Such engineers use creative ways to generate and handle electricity and information. Electronic engineers have developed the technologies we use for communication, entertainment and many other things, including smartphones and the Internet. Electrical engineers are also developing new ways to solve the world’s energy problems by harnessing renewable energy sources like wind and ocean energy.","First Year Engineering students follow a common first year. Modules include:  Chemistry Creativity in Design Electrical/Electronic Engineering Energy Engineering Engineering Computing Mathematics Mechanics Physics Second to Fifth Year Students on this degree follow the same pathway until their third year, when they specialise in either Electrical or Electronic Engineering. Modules include:  Electrical & Electronic Circuits Electromagnetics Digital Electronics Electrical Energy Systems Communication Systems Electromagnetic Waves Signal Processing Analogue Electronics Power System Engineering Radio Frequency Electronics Neural Engineering Renewable Energy Systems Power System Operation","EU applicants must meet the same minimum entry requirements as Irish school-leavers. As the number of applicants generally exceeds the number of places available, admission is competitive based on a points system. A-level applicants please see the separate page for A-level.  For information about how the entry requirements equate to the school-leaving qualifications from your country, please see the Agreed entry requirements criteria for EU/EFTA applicants.  English is the teaching language of the university so all applicants must show proficiency in English.",https://www.youtube.com/watch?v=wsuwy9xjTj0,studenthelp@dcu.ie,To Be Filled,6,"You will be involved in projects that make a diﬀerence to the world, e.g. harnessing new sources of energy or developing advanced digital technologies. Exciting opportunities exist in areas such as designing new means of communication or the next generation of multimedia devices, studying the human brain, working with electrical energy systems or developing new imaging techniques.  You can also pursue graduate study internationally or as part of a UCD Master’s degree, e.g. ME in Biomedical Engineering, ME in Electronic & Computer Engineering, ME in Electrical Power Engineering, ME in Engineering with Business or ME in Optical Engineering.",https://www.ucd.ie/sportandsocieties.htm,https://ucdestates.ie/information/ucd-maps/,https://www.ucd.ie/residences,https://www.ucd.ie/innovation/researchers-and-students/commercialisation-bootcamp/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/ucd.jpg,https://www.ucd.ie/sportandsocieties.htm
University College Dublin,NMS1 Mechanical Engineering,NMS1,Mechanical Engineering,Undergraduate,Sep-20,7574,Level 8,BSc (Engineering Science) or BE (Hons),3 Years (BSc) (Hons) + 2 Years (ME) or 4 Years (BE),Full Time,Face-to-Face,September,Dublin,https://www.ucd.ie/,"Mechanical engineers help to improve our world. We face unprecedented challenges, from understanding climate change, to managing global mobility, to ﬁnding sustainable growth pathways for the burgeoning population in the developing world. Mechanical Engineering in UCD provides you with the education, skills and knowledge you’ll need to understand the challenges, and help to develop the new solutions we need. Working in areas ranging from energy to aerospace, biomedicine or manufacturing, mechanical engineers are changing our world for the better. They create new solutions, integrate disparate technologies, increase energy eﬃciency, reduce our consumption of natural resources and minimise our impact on the local and global environment. If you want to help forge a path to a brighter future, Mechanical Engineering at UCD is the place for you.",First Year Engineering students follow a common first year. Modules include:  Calculus Chemistry Creativity in Design Electrical/Electronic Engineering Energy Engineering Engineering Computing Linear Algebra Mathematics Mechanics Physics Second to Fifth Year Sample modules for Mechanical Engineering students include:  Advanced Metals Processing Mechanical Engineering Design Mechanics of Fluids Materials Science & Engineering Heat Transfer Electrical and Electronic Circuits Manufacturing Engineering Mechanics of Solids Professional Engineering Engineering Thermodynamics Applied Dynamics Biomechanics Measurement & Instrumentation Control Theory,"EU applicants must meet the same minimum entry requirements as Irish school-leavers. As the number of applicants generally exceeds the number of places available, admission is competitive based on a points system. A-level applicants please see the separate page for A-level.  For information about how the entry requirements equate to the school-leaving qualifications from your country, please see the Agreed entry requirements criteria for EU/EFTA applicants.  English is the teaching language of the university so all applicants must show proficiency in English.",https://www.youtube.com/watch?v=wsuwy9xjTj0,studenthelp@dcu.ie,To Be Filled,7,"Opportunities are extraordinarily diverse, making graduates highly resilient to changing economic circumstances. Recent graduates are currently employed in:  Energy, Biomedical, Aeronautical, Automotive and Manufacturing Sectors IT companies Management and Project Management. Graduates can pursue taught or research Master’s degrees in Mechanical Engineering, Materials Science and Engineering, Energy Systems Engineering, Engineering with Business or Biomedical Engineering in UCD or elsewhere. Those with a strong interest in research also have the opportunity to pursue a PhD.",https://www.ucd.ie/sportandsocieties.htm,https://ucdestates.ie/information/ucd-maps/,https://www.ucd.ie/residences,https://www.ucd.ie/innovation/researchers-and-students/commercialisation-bootcamp/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/ucd.jpg,https://www.ucd.ie/sportandsocieties.htm
University College Dublin,NAS1 Structural Engineering with Architecture,NAS1,Structural Engineering with Architecture,Undergraduate,Sep-20,7574,Level 8,BSc (Engineering Science),3 Years (BSc) (Hons) + 2 Years (ME),Full Time,Face-to-Face,September,Dublin,https://www.ucd.ie/,"If you're interested in the beauty of architectural design, and you want to be the one who realises these designs by creating viable solutions that ensure structures stand the test of time, then this is the course for you. The Structural Engineering with Architecture degree at UCD is a two-part degree, with an initial three-year Bachelor’s degree followed by a two-year Master’s degree, focusing primarily on the design of structures. The courses aim is to develop an appreciation for architecture, coupled with the solid fundamentals of an engineering degree. This will enable graduates to challenge the traditional boundaries of structural design.","First Year  Engineering students follow a common first year. Modules include:  Chemistry Creativity in Design Electrical/Electronic Engineering Energy Engineering Engineering Computing Mathematics Mechanics Physics Second Year  Engineering & Architecture of Structure Design & Communications Construction Materials & Practice Solid Mechanics Geotechnics 1 History & Theory of Structures 3 Computer Applications Statistics, Probability & Multivariable Calculus 1 Third Year  Structural Analysis 1 & 2 Structural Design 1 Geotechnics 2 Group Design Project History & Theory of Structures 4 Energy Systems Professional Engineering Multivariable Calculus 2 Fourth Year  Structural Design 1 Geotechnics 3 Structural Dynamics Advanced Materials Realising Built Projects Innovation Leadership followed by 8-month work placement Fifth Year  Structural Analysis Structural Design Research Project Case Studies Bridge Engineering Professional Engineering (Management) Agency: Design/Build","EU applicants must meet the same minimum entry requirements as Irish school-leavers. As the number of applicants generally exceeds the number of places available, admission is competitive based on a points system. A-level applicants please see the separate page for A-level.  For information about how the entry requirements equate to the school-leaving qualifications from your country, please see the Agreed entry requirements criteria for EU/EFTA applicants.  English is the teaching language of the university so all applicants must show proficiency in English.",https://www.youtube.com/watch?v=wsuwy9xjTj0,studenthelp@dcu.ie,To Be Filled,8,"The ME programme in Structural Engineering with Architecture is fully accredited by Engineers Ireland, and thus recognised internationally. Graduates can ﬁnd employment in Ireland and abroad in areas such as:  Engineering consultancy Construction management Project management and planning Management consultancy and finance  You can also pursue an academic career, and a PhD in Structural Engineering, in Ireland or abroad.",https://www.ucd.ie/sportandsocieties.htm,https://ucdestates.ie/information/ucd-maps/,https://www.ucd.ie/residences,https://www.ucd.ie/innovation/researchers-and-students/commercialisation-bootcamp/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/ucd.jpg,https://www.ucd.ie/sportandsocieties.htm
Trinity College Dublin,TR060 Biological and Biomedical Sciences,TR060,Biological and Biomedical Sciences,Undergraduate,Sep-20,7332,Level 8,B.A. Honours Bachelor Degree,4 Years,Full Time,Face-to-Face,September,Dublin,https://www.tcd.ie/,"Biology is the study of living things; we explore how life first arose: the properties that distinguish living organisms from inert matter; how the vast diversity of life forms was generated; how organisms reproduce themselves; how they interact both with each other and with the environment. Biology is fundamental to understanding the world we live in and plays a huge role in medicine.  Modern biological science is unravelling the mysteries of life; it is helping us to meet the challenge of illnesses such as dementia and cancer, to defend against new viruses and drug- resistant bacteria, and to protect ecosystems from climate change and other threats.","In this stream, students will study the core concepts that are fundamental to all biological systems. These will be presented in core modules during the first and second year and will include: cell structure and composition, genetics and evolution, molecular biology, metabolism, anatomy and physiology of bacteria, fungi, plants and animals, ecosystems and environmental biology. In addition, students will also acquire mathematical, statistical and computational skills and study the history, philosophy and ethics of science. Students have the opportunity to expand their scientific knowledge and to pursue their individual interests by choosing from a variety of open modules including topics such as animal behaviour, genomes and disease, microbes and immunity, chemistry for biologists and geochemistry.  In the third year, students specialise in one of the 11 moderatorships offered in this stream: Biochemistry; Botany; Environmental Science; Genetics; Human Genetics; Immunology; Microbiology; Molecular Medicine; Neuroscience; Physiology; Zoology. The fundamental concepts of each discipline will be presented in core modules while students will also select from a variety of modules from allied disciplines that enhance understanding of their chosen discipline and encourage interdisciplinary thinking and research. Students can also experience the wide range of knowledge and investigation available throughout the university by choosing from a range of Trinity’s electives. In the fourth year students pick from a selection of modules on advanced topics within their discipline. They will also undertake a research project in Trinity or in a research laboratory in another university, research institute or hospital. Throughout this program, students will also acquire skills in problem solving and data handling and in oral and written communication.","Leaving Certificate  H6 or O4 Mathematics  H4 In two of: Physics, Mathematics, Chemistry, Biology, Physics/Chemistry, Geology, Geography, Computer Science,  Applied Mathematics or Agricultural Science, computer science.  GCSE Grade B/6 Mathematics  Advanced GCE (A-Level)  Grade C in two of Physics, Chemistry, Biology, physics/chemistry, Geology, Geography,  applied mathematics, agricultural science, computer science.   International Baccalaureate  SL Grade 5 Mathematics  HL Grade 5 in two of physics, chemistry, biology, physics/chemistry. geology, geography, applied mathematics, agricultural science, computer science.  Combinations of subjects not permitted:  Physics/Chemistry with Physics or Chemistry  Agricultural Science with Biology  Applied Mathematics with Mathematics",https://www.youtube.com/watch?v=BDJZc0Gyfj8,Ms. Olivia Waters,https://peoplefinder.tcd.ie/,9,"This is a competitive employment sector and a period of relevant work experience can be extremely useful in increasing your chances of getting onto further training courses or of finding employment.Some degrees include a placement year which can provide experience in laboratory work or scientific research. You can also try sending out speculative applications for work experience opportunities as they're often not advertised. Think about the area in which you'd like to work and focus on those employers. Some are willing to take on volunteers and may allow individuals to work-shadow or even just speak to members of staff working within the profession. Getting working practice of laboratory techniques and being able to evidence your specific medical/scientific interest is useful.Search for placements and find out more about work experience and internships.Typical employers: Common employers of biomedical sciences graduates include: Health and Safety Executive (HSE),Medical Research Council (MRC) NHS, including NHS Blood and Transplant (NHSBT),UK Health Security Agency (UKHSA).",https://www.tcd.ie/students/clubs-societies/,https://www.tcd.ie/Maps/,https://www.tcd.ie/accommodation,https://student-learning.tcd.ie/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/tcd.jpg,https://www.tcd.ie/students/clubs-societies/
Trinity College Dublin,TR064 Environmental Science and Engineering,TR064,Environmental Science and Engineering,Undergraduate,Sep-20,7332,Level 8,M.A.I. (St.) or MAES,5 Years,Full Time,Face-to-Face,September,Dublin,https://www.tcd.ie/,"Environmental Science and Engineering is a new integrated undergraduate with postgraduate degree course that aims to train the next generation of graduates who have the competencies, knowledge and experience necessary to design and deploy solutions that protect and improve our environment and human wellbeing, and that work with rather than against the natural world to foster biodiversity, climate action and sustainable use of Earth’s finite resources  Students complete an integrated five-year course consisting of four year B.Sc. plus an additional year of study leading to either Master in Engineering (Studies) a M.A.I. (St.) or Master in Applied Environmental Science MAES.","Drawing on the expertise of the School of Engineering and the School of Natural Science at Trinity, this programme focuses on delivering a research-inspired, outcome-based educational experience to students.  Students complete an integrated five-year course consisting of four year B.Sc. plus an additional year of study leading to a M.A.I. (St.) or MAES. During the first three years a balanced and integrated programme of modules in environmental science and engineering is provided.  Following completion of the first three years of the course, students start to follow a more specialised programme in one of the following strands, although there is still many shared courses and projects between the two strands:  Environmental Engineering  This strand of the Environmental Science and Engineering course places stronger emphasis on modules and project work with an engineering focus in years 4 and 5.  Applied Environmental Science  This strand of the Environmental Science and Engineering course places stronger emphasis on modules and project work in the discipline of environmental sciences in years 4 and 5.  In Year 4, students have the option to undertake an Industry Internship or International Exchange in their chosen stream. These options include Erasmus, UNITECH (as a paid industrial partnership) and CLUSTER. Alternatively, a student can stay for the full year in Trinity and undertake a Capstone Project module which aligns with their chosen stream, in addition to at least 2 optional modules associated with their chosen stream. Following completion of the fourth year of the environmental science and engineering degree course it is anticipated that most eligible students would elect to complete one further year of study in their chosen strand leading to a M.A.I. (St.) or MAES degree.","Leaving Certificate:  H4 Mathematics H4 in one of the following subjects: physics, chemistry, biology, physics/chemistry, geology, geography, agricultural science, computer science. A Level:  Grade C Mathematics Grade C in one of the following subjects: physics, chemistry, biology, physics/chemistry, geology, geography, agricultural science, computer science. International Baccalaureate:  HL Grade 5 Mathematics HL Grade 5 in one of the following subjects: physics, chemistry, biology, physics/chemistry, geology, geography, agricultural science, computer science.",https://www.youtube.com/watch?v=BDJZc0Gyfj8,Ms. Olivia Waters,https://peoplefinder.tcd.ie/,10,"Environmental Engineers and Applied Environmental Scientists who graduate from this new interdisciplinary programme will address some of the most challenging and important issues of our time in terms of sustainable development, particularly with respect to the protection of the environment. Graduates will have a strong grounding in Environmental Science in conjunction with applied Engineering skills and problem solving approaches and will therefore be at the forefront of initiatives to solve the challenges of many of the United Nations Sustainable Development Goals.  Graduates from this programme will be highly skilled and employable in both industrial and governmental organisations both here in Ireland as well as overseas. Recent graduates from the Civil Engineering stream who have specialised in Environmental Engineering are working in R&D, Civil Engineering and Environmental Consultancies, Project Engineers, Environmental Regulation, Energy companies, mining companies as well as setting up new ventures and spin outs.  Our environmental engineers and scientist graduates are also working in the design and development of environmental solutions with leading engineering consultancies such as Arup, RPS, ESB International, Shell, IBM etc. Such companies have a strong demand for high quality graduates at the Masters (and Ph.D.) level due to the high technical level off their work. Environmental Engineers and scientists also find employment in governmental regulatory organisations and other institutions such as Local Authorities, Environmental Protection Agency, Geological Survey Ireland, Teagsac as well in Humanitarian Non-Governmental Organisations (Concern, GOAL, Selfhelp Africa).",https://www.tcd.ie/students/clubs-societies/,https://www.tcd.ie/Maps/,https://www.tcd.ie/accommodation,https://student-learning.tcd.ie/workshops/,https://unilifethumbnails.s3.eu-west-1.amazonaws.com/images/thumbnail/tcd.jpg,https://www.tcd.ie/students/clubs-societies/
