University,Course Name,CAO opening rank,CAO closing rank,Budget,City,Interest,Job domain,
University College Dublin,Biomedical Engineering (DN150),556,625,6000,Dublin,Cricket,IT,
University College Dublin,Chem & Bioprocess Engineering (NQS2),528,625,5000,Dublin,Football,HR,
University College Dublin,Civil Engineering (DN150),551,625,4500,Dublin,Singing,Management,
University College Dublin,Computer Science  (DN201),542,625,3500,Dublin,Chess,Support,
University College Dublin,Electrical/Electronics Engineering (DN150),555,625,6500,Dublin,Athletics ,Finance ,
University College Dublin,Mechanical Engineering (DN150),558,625,7500,Dublin,Automation,Law,
University College Dublin,Structural Engineering with Architecture (DN150),560,625,7000,Dublin,Cricket,IT,
Trinity College Dublin,Biological and Biomedical Sciences (TR060),566,625,8000,Dublin,Football,HR,
Trinity College Dublin,Environmental Science and Engineering (TR064),555,625,5000,Dublin,Singing,Management,
Trinity College Dublin,"Civil, Structural, and Environmental Engineering (TR032)",550,625,6500,Dublin,Chess,Support,
Trinity College Dublin,Computer  Engineering (TR032),545,625,6500,Dublin,Athletics ,Finance ,
Trinity College Dublin,Electronic Engineering  (TR032),555,625,6750,Dublin,Automation,Law,
Trinity College Dublin,Mechanical and Manufacturing Engineering (TR032),558,625,2500,Dublin,Cricket,IT,
Trinity College Dublin,"Business, Economics and Social Studies (TR081)",566,625,2800,Dublin,Football,HR,
Trinity College Dublin,Dental Technology (TR803),388,625,2900,Dublin,Singing,Management,
National College of Ireland,BSc (Honours) in Computing (NC003),270,625,4210,Dublin,Chess,Support,
National College of Ireland,BA (Honours) in Business (NC009),300,625,3689,Dublin,Athletics ,Finance ,
National College of Ireland,BA (Honours) in Marketing Practice (NC020),250,625,3489,Dublin,Automation,Law,
National College of Ireland,BA (Honours) in Accounting and Finance (NC022),330,625,2240,Dublin,Cricket,IT,
National College of Ireland,BA (Honours) in Psychology (NC010),400,625,2120,Dublin,Football,HR,
National College of Ireland,BSc (Honours) in Data Science (NC025),260,625,5000,Dublin,Singing,Management,
National College of Ireland,BA (Honours) in Early Childhood Education and Care (NC030),251,625,4500,Dublin,Chess,Support,
Dublin City University,Mechanical and Sustainability Engineering (DC194),509,625,3500,Dublin,Athletics ,Finance ,
Dublin City University,Mechatronic Engineering (DC193),510,625,6500,Dublin,Automation,Law,
Dublin City University,Electronic and Computer Engineering (DC190),501,625,7500,Dublin,Cricket,IT,
Dublin City University,Data Science Engineering (DC123),500,625,7000,Dublin,Football,HR,
Dublin City University,Computing for Business (DC120),419,625,8000,Dublin,Singing,Management,
Dublin City University,Mechanical and Manufacturing Engineering (DC195),511,625,5000,Dublin,Chess,Support,
Dublin City University,Computer Science and Engineering (DC121),498,625,6500,Dublin,Athletics ,Finance ,
Dublin City University,Biomedical Engineering (DC197),544,625,6500,Dublin,Automation,Law,
Dublin City University,Common Entry into Engineering (DC200),534,625,6750,Dublin,Cricket,IT,
Technological University Dublin (City),Bachelor of Science (Honours) in Accounting ,401,625,2500,Dublin,Football,HR,
Technological University Dublin (City),Bachelor of Science (Honours) in Analytical Chemistry (Environmental Forensic and Pharmaceutical),402,625,2800,Dublin,Singing,Management,
Technological University Dublin (City),Bachelor of Science (Honours) in Biomedical & Molecular Diagnostics,530,625,2900,Dublin,Chess,Support,
Technological University Dublin (City),Bachelor of Science (Honours) in Business & Law,475,625,4210,Dublin,Athletics ,Finance ,
Technological University Dublin (City),Bachelor of Science (Honours) in Chemical Sciences with Medicinal Chemistry,454,625,3689,Dublin,Automation,Law,
Technological University Dublin (City),Bachelor of Science (Honours) in Computer Science,485,625,3489,Dublin,Cricket,IT,
Technological University Dublin (City),Bachelor of Engineering (Honours) in Electrical & Electronic / Computer & Communications Engineering (Apply - Advanced Entry),530,625,2240,Dublin,Football,HR,
Technological University Dublin (City),Bachelor of Science (Honours) in Electrical Services & Energy Management,318,625,2120,Dublin,Singing,Management,
Technological University Dublin (City),Bachelor of Arts (Honours) in Game Design,468,625,5000,Dublin,Chess,Support,
Technological University Dublin (City),Bachelor of Science (Honours) in International Hospitality Management,251,625,4500,Dublin,Athletics ,Finance ,
Technological University Dublin (City),Bachelor of Science (Honours) in Biomedical Science,544,625,3500,Dublin,Automation,Law,
Technological University Dublin (City),Bachelor of Science (Honours) in Physics Technology,307,625,6500,Dublin,Cricket,IT,
Technological University Dublin (Tallaght),Bachelor of Business (Honours) in Accounting and Finance,255,625,7500,Dublin,Football,HR,
Technological University Dublin (Tallaght),Bachelor of Arts (Honours) in Advertising and Marketing Communications ,209,625,7000,Dublin,Singing,Management,
Technological University Dublin (Tallaght),Bachelor of Science (Honours) in Computing with Data Analytics,254,625,8000,Dublin,Chess,Support,
Technological University Dublin (Tallaght),Higher Certificate in Business,180,625,5000,Dublin,Athletics ,Finance ,
Technological University Dublin (Tallaght),Bachelor of Business in Marketing ,250,625,2500,Dublin,Automation,Law,
Technological University Dublin (Tallaght),Bachelor of Science (Honours) in DNA and Forensic Science,462,625,2800,Dublin,Cricket,IT,
Technological University Dublin (Tallaght), Bachelor of Arts (Hons) in Digital Marketing Technologies,227,625,2900,Dublin,Football,HR,
Technological University Dublin (Tallaght),Bachelor of Engineering (Honours) in Electronic Engineering / Engineering Software,350,625,4210,Dublin,Singing,Management,
Technological University Dublin (Tallaght), Bachelor of Business (Honours) International Business,337,625,3689,Dublin,Chess,Support,
Technological University Dublin (Tallaght),Bachelor of Engineering (Honours) in Automation / Biomedical Design / Mechanical Engineering / Sustainable Energy Engineering,301,625,3489,Dublin,Athletics ,Finance ,
Technological University Dublin (Tallaght),Bachelor of Science in Pharmaceutical Science,431,625,2240,Dublin,Automation,Law,
Technological University Dublin (Blanchardstown),Bachelor of Business in Accounting and Finance,232,625,2120,Dublin,Cricket,IT,
Technological University Dublin (Blanchardstown),Bachelor of Business (allowing later specialisation in Business or Business with a Language or Business with Information Technology),270,625,5000,Dublin,Football,HR,
Technological University Dublin (Blanchardstown), Bachelor of Business (Honours) in Information Technology,265,625,4500,Dublin,Singing,Management,
Technological University Dublin (Blanchardstown),Bachelor of Arts in Community and Youth Development,280,625,3500,Dublin,Chess,Support,
Technological University Dublin (Blanchardstown),Bachelor of Engineering (Honours) in Computer Engineering in Mobile Systems,270,625,6500,Dublin,Athletics ,Finance ,
Technological University Dublin (Blanchardstown),Bachelor of Science (Honours) in Computing in Digital Forensics & Cyber Security,285,625,7500,Dublin,Automation,Law,
Technological University Dublin (Blanchardstown),Higher Certificate in Science in Computing in Networking Technologies,400,625,7000,Dublin,Cricket,IT,
Technological University Dublin (Blanchardstown), Bachelor of Science (Honours) in Computing in Digital Forensics and Cyber Security,300,625,8000,Dublin,Football,HR,
Technological University Dublin (Blanchardstown),"Bachelor of Science (Honours) in Design, Technology & Innovation",281,625,5000,Dublin,Singing,Management,
Technological University Dublin (Blanchardstown),Bachelor of Business (allowing later specialisation in Business or Business with a Language or Business with Information Technology),270,625,6500,Dublin,Chess,Support,
Technological University Dublin (Blanchardstown),Bachelor of Engineering (Honours) in Mechatronic Engineering,272,625,6500,Dublin,Athletics ,Finance ,
Technological University Dublin (Blanchardstown), Bachelor of Science in Process Instrumentation & Automation,381,625,6750,Dublin,Automation,Law,
Griffith College Dublin,Certificate in Animation,272,625,2500,Dublin,Cricket,IT,
Griffith College Dublin,BA (Hons) in Audio and Music Technology,285,625,2800,Dublin,Football,HR,
Griffith College Dublin,BSc (Hons) in Computing Science,300,625,2900,Dublin,Singing,Management,
Griffith College Dublin,BA (Hons) in Counselling & Psychotherapy,350,625,4210,Dublin,Chess,Support,
Griffith College Dublin,BA (Hons) in Graphic Communication Design,362,625,3689,Dublin,Athletics ,Finance ,
Griffith College Dublin,Certificate in Intelligent Technologies in Procurement and Supply Chain 4.0,400,625,3489,Dublin,Automation,Law,
Griffith College Dublin,Certificate in Industrial Manufacturing and Maintenance Skills,350,625,2240,Dublin,Cricket,IT,
Griffith College Dublin,Bachelor of Engineering in Industrial and Systems Engineering (B.Eng.),400,625,2120,Dublin,Football,HR,
Griffith College Dublin,BA (Hons) In Pharmaceutical Business Operations,385,625,5000,Dublin,Singing,Management,
Griffith College Dublin,BA (Hons) in Music Production,350,625,4500,Dublin,Chess,Support,
Griffith College Dublin,BA (Hons) in Procurement and Supply Chain Management,300,625,3500,Dublin,Athletics ,Finance ,
Dublin Business School,BSc (Hons) Computing Data Analytics (DB502),300,625,6500,Dublin,Automation,Law,
