University,Course_Name,CAO Score,Budget,City,Interest,Job domain
University College Dublin,Biomedical Engineering (DN150),556,6000,Dublin,Cricket,IT
University College Dublin,Chem & Bioprocess Engineering (NQS2),528,5000,Dublin,Football,HR
University College Dublin,Civil Engineering (DN150),551,4500,Dublin,Singing,Management
University College Dublin,Computer Science  (DN201),542,3500,Dublin,Chess,Support
University College Dublin,Electrical/Electronics Engineering (DN150),555,6500,Dublin,Athletics ,Finance 
University College Dublin,Mechanical Engineering (DN150),558,7500,Dublin,Automation,Law
University College Dublin,Structural Engineering with Architecture (DN150),560,7000,Dublin,Cricket,IT
Trinity College Dublin,Biological and Biomedical Sciences (TR060),566,8000,Dublin,Football,HR
Trinity College Dublin,Environmental Science and Engineering (TR064),555,5000,Dublin,Singing,Management
Trinity College Dublin,"Civil, Structural, and Environmental Engineering (TR032)",550,6500,Dublin,Chess,Support
Trinity College Dublin,Computer  Engineering (TR032),545,6500,Dublin,Athletics ,Finance 
Trinity College Dublin,Electronic Engineering  (TR032),555,6750,Dublin,Automation,Law
Trinity College Dublin,Mechanical and Manufacturing Engineering (TR032),558,2500,Dublin,Cricket,IT
Trinity College Dublin,"Business, Economics and Social Studies (TR081)",566,2800,Dublin,Football,HR
Trinity College Dublin,Dental Technology (TR803),388,2900,Dublin,Singing,Management
National College of Ireland,BSc (Honours) in Computing (NC003),270,4210,Dublin,Chess,Support
National College of Ireland,BA (Honours) in Business (NC009),300,3689,Dublin,Athletics ,Finance 
National College of Ireland,BA (Honours) in Marketing Practice (NC020),250,3489,Dublin,Automation,Law
National College of Ireland,BA (Honours) in Accounting and Finance (NC022),330,2240,Dublin,Cricket,IT
National College of Ireland,BA (Honours) in Psychology (NC010),400,2120,Dublin,Football,HR
National College of Ireland,BSc (Honours) in Data Science (NC025),260,5000,Dublin,Singing,Management
National College of Ireland,BA (Honours) in Early Childhood Education and Care (NC030),251,4500,Dublin,Chess,Support
Dublin City University,Mechanical and Sustainability Engineering (DC194),509,3500,Dublin,Athletics ,Finance 
Dublin City University,Mechatronic Engineering (DC193),510,6500,Dublin,Automation,Law
Dublin City University,Electronic and Computer Engineering (DC190),501,7500,Dublin,Cricket,IT
