,CourseID,Course_name,Score1,Score2
0,AL031, Computer and Software Engineering , N/A,270.0
1,AL032,Polymer Technology ,,240.0
2,AL033,Toxicology ,,245.0
3,PC410,Humanities ,,300.0
4,CW046,Computer Networking ,,270.0
5,CW100,International Business with French ,,290.0
6,CW101,International Business with German ,,260.0
7,CR105,Chemical Engineering ,,460.0
8,CR106,Computer Applications ,,275.0
9,CR107,Electronic Engineering ,,245.0
10,CR108,Mechanical Engineering ,,365.0
11,CR109,Structural Engineering ,,400.0
12,CR111,Computerised Instrument Systems ,,305.0
13,CR112,Multimedia ,,
14,CR114,Software Development with French ,,320.0
15,CR115,Software Development with German ,,300.0
16,CR116,Software Dev Comp Net ,,340.0
17,CR121,Music ,,
18,CK101,Arts ,,390.0
19,CK102,Social Science ,,
20,CK103,Music ,,
21,CK104,,,
22,CK105,European Studies ,,405.0
23,CK106,Applied Psychology ,,510.0
24,CK107,Language Cultural Studies Frenc ,,335.0
25,CK108,Language Cultural Studies Germa ,,270.0
26,CK109,Language Cultural Studies Itali ,,245.0
27,CK110,Language Cultural Studies Spani ,,380.0
28,CK111,Early Childhood Studies ,,
29,CK112,Drama and Theatre Studies ,,
30,CK201,Commerce ,,455.0
31,CK202,Accounting ,,440.0
32,CK203,Business Information Systems ,,
33,CK204,Finance ,,445.0
34,CK205,Commerce with French ,,480.0
35,CK206,Commerce with German ,,300.0
36,CK207,Commerce with Italian ,,390.0
37,CK208,Commerce with Spanish ,,400.0
38,CK209,Commerce with Irish ,,450.0
39,CK210,Government and Public Policy ,,
40,CK301,Law ,,500.0
41,CK302,Law and French ,,510.0
42,CK303,Law and German ,,475.0
43,CK304,Law and Irish ,,485.0
44,CK401,Computer Science ,,
45,CK402,Biological and Chemical Sciences ,,390.0
46,CK403,Chemical Physical Sciences ,,335.0
47,CK404,Environmental Sciences ,,345.0
48,CK501,Food Business ,,335.0
49,CK502,Food Science ,,300.0
50,CK503,Food Technology ,,280.0
51,CK504,Nutritional Sciences ,,390.0
52,CK601,Process Engineering ,,430.0
53,CK602,Civil and Environmental Engineering ,,465.0
54,CK603,Electrical and Electronic Engineeri ,,330.0
55,CK701,Medicine ,,560.0
56,CK702,Dentistry ,,
57,AH001,Theology and Philosophy ,,275.0
58,AH002,Theology and Psychology ,,280.0
59,AH003,Theology and English Literature ,,270.0
60,AH004,Theology and Spirituality ,,315.0
61,AC120,International Business ,,225.0
62,AC141,Behav Science Psychology ,,200.0
63,AC142,Behav Sci Applied Social ,,225.0
64,CE001,Church of Ireland ,,345.0
65,CM001,Marino ,,415.0
66,CM002,,,
67,DB512,Business Studies ,,250.0
68,DB521,Accountancy and Finance ,,260.0
69,DB531,Marketing ,,240.0
70,DB551,Anthropology ,,285.0
71,DB552,Arts Literature and Drama ,,265.0
72,DB561,Arts General ,,225.0
73,DB562,Arts Psychology ,,215.0
74,DC111,Business Studies ,,435.0
75,DC112,European Business French ,,465.0
76,DC113,European Business German ,,420.0
77,DC114,European Business Spanish ,,430.0
78,DC115,Accounting Finance ,,435.0
79,DC116,European Studie ,,500.0
80,DC118,Ceim in Airgeadas ,,400.0
81,DC121,Computer Applications ,,360.0
82,DC122,Computational Linguistics ,,370.0
83,DC125,Mathematical Sciences ,,400.0
84,DC126,Financial and Actuarial Maths ,,500.0
85,DC131,Communications ,,490.0
86,DC132,Journalism ,,480.0
87,DC133,Multimedia ,,475.0
88,DC141,Int Marketing ,,415.0
89,DC142,Int Marketing ,,465.0
90,DC143,Int Marketing ,,425.0
91,DC144,Int Marketing Japanese ,,355.0
92,DC146,Int Bus ,,455.0
93,DC147,Int Bus ,,525.0
94,DC148,Int Bus ,,475.0
95,DC149,Int Bus Japanese ,,395.0
96,DC151,Applied ,,335.0
97,DC152,Applied Langs ,,350.0
98,DC153,Applied Langs ,,335.0
99,DC154,App Langs ,,340.0
100,DC161,Analytical Science ,,305.0
101,DC162,Chemical and Pharmaceutical Science ,,365.0
102,DC163,,,
103,DC164,,,
104,DC171,Applied Physics ,,320.0
105,DC172,,,
106,DC173,,,
107,DC181,Biotechnology ,,310.0
108,DC191,Electronic Engineering ,,320.0
109,DC192,Engineering ,,305.0
110,DC193,Mechatronics ,,305.0
111,DC194,Electronic Systems ,,375.0
112,DC195,Engineer ,,315.0
113,DC196,Manufact Studies ,,345.0
114,DC197,Medical Mechanical Engineering ,,360.0
115,DC198,Mech and Manufact Engineering ,,300.0
116,DC199,Digital Media Engineering ,,315.0
117,DC200,Electronics Engineering Common Entr ,,390.0
118,DC201,Science Common Entry ,,315.0
119,DC202,Sport Science and Health ,,435.0
120,DC203,Science Education ,,360.0
121,DC211,Music Performance ,,
122,FT101,Architecture ,,
123,FT110,Property Surveying ,,395.0
124,FT111,Const Econ Mgt ,,400.0
125,FT112,Geomatics ,,355.0
126,FT116,Environmental Planning Management ,,370.0
127,FT125,Engineering ,,355.0
128,FT128,Transport Technology ,,260.0
129,FT130,Printing Management ,,245.0
130,FT221,Engineering ,,317.0
131,FT222,Applied Sciences ,,265.0
132,FT223,Human Nutrition Dietetics ,,490.0
133,FT224,Optometry ,,505.0
134,FT225,Applied ,,265.0
135,FT228,Computer Science ,,375.0
136,FT255,Int Business and Languages French ,,420.0
137,FT256,Int Business and Languages German ,,260.0
138,FT257,Int Business and Languages Spanish ,,350.0
139,FT259,Photography ,,
140,FT281,Computer Engineering ,,320.0
141,FT351,Business Studies ,,
142,FT352,Media Arts ,,480.0
143,FT353,Communications Journalism ,,455.0
144,FT354,Information Systems Development ,,370.0
145,FT358,Management and Logistics ,,300.0
146,FT401,Hospitality Mgt ,,320.0
147,FT402,Tourism Marketing ,,360.0
148,FT403,Culinary Arts ,,250.0
149,FT404,Leisure Management ,,360.0
150,FT471,Social Care ,,385.0
151,FT472,Early Child Care and Education ,,360.0
152,FT480,Food Tech ,,265.0
153,FT491,Environmental Health ,,360.0
154,FT541,Marketing ,,395.0
155,FT542,Management Marketing ,,390.0
156,FT543,Retail Services Management ,,350.0
157,FT544,Design Interior Furniture ,,
158,FT545,Design Visual Communication ,,
159,FT546,Fine Art ,,
160,FT601,Music ,,
161,DL141,Psychology ,,330.0
162,DL241,Cultural stud ,,405.0
163,DL242,Arts and Media Management ,,
164,FR001,Froebel ,,415.0
165,FR002,,,
166,GC400,Business Studies ,,300.0
167,GC401,Accounting and Finance ,,255.0
168,GC402,Law with Business ,,300.0
169,GC430,Computing Science ,,255.0
170,GC450,Journalism and Media Comms ,,300.0
171,MD201,,,
172,MD301,,,
173,MD401,,,
174,PT011,BA Philosophy ,,300.0
175,PT012,BA Theology ,,300.0
176,PT013,BA ,,300.0
177,AD001,Teaching ,,
178,NC001,,,
179,NC002,European ,,305.0
180,NC003,Software Systems ,,330.0
181,NC011,Based Part ,,285.0
182,NC012,European Based Part No Offe ,,
183,NC013,Software Systems Area Based Part ,,250.0
184,PB253,Business Studies ,,170.0
185,RC001,Medicine ,,
186,RC003,Medicine with Leaving Cert Scholars ,,
187,RC004,Physiotherapy ,,
188,CS001,Home Economics ,,
189,PD101,Drumcondra ,,430.0
190,PD102,,,
191,PD103,Humanities ,,370.0
192,TR002,Music ,,
193,TR003,History ,,
194,TR004,Law ,,
195,TR005,Philosophy ,,400.0
196,TR006,Psychology ,,535.0
197,TR007,Clinical Speech ,,505.0
198,TR008,Biblical Theology ,,285.0
199,TR009,Music Education ,,
200,TR010,,,
201,TR011,,,
202,TR012,Hist Politics ,,
203,TR013,,,
204,TR014,Sci ,,505.0
205,TR018,,,
206,TR019,,,
207,TR021,Classics ,,440.0
208,TR022,Early Modern Irish ,,315.0
209,TR023,English ,,
210,TR024,European studies ,,
211,TR025,Drama Theatre ,,
212,TR026,Germanic Languages AQA ,,
213,TR031,Mathematics ,,390.0
214,TR032,Engineering ,,435.0
215,TR033,Computer Science ,,420.0
216,TR034,Management Science ,,
217,TR035,,,
218,TR036,Computer Science Evening ,,280.0
219,TR037,Information AQA ,,
220,TR038,Manufacturing with Mgt Science ,,335.0
221,TR051,Medicine ,,
222,TR052,Dentistry ,,
223,TR053,Physiotherapy ,,530.0
224,TR054,Occupational Therapy ,,480.0
225,TR055,Therapeutic Radiography ,,485.0
226,TR071,Science ,,400.0
227,TR072,Pharmacy ,,
228,TR073,Human Genetics ,,535.0
229,TR074,Computational Chem Physics ,,385.0
230,TR075,Medicinal Chemistry ,,475.0
231,TR076,of Advanced Materials ,,350.0
232,TR081,BESS ,,
233,TR083,Sociology Social Policy ,,
234,TR084,Social Work ,,465.0
235,TR085,,,
236,TR086,,,
237,TR087,,,
238,TR088,,,
239,TR001,Moderatorship ,,
240,DN001,Architecture ,,
241,DN002,Medicine ,,
242,DN004,Radiography ,,
243,DN005,Veterinary Medicine ,,
244,DN006,Physiotherapy ,,
245,DN007,Social Science ,,410.0
246,DN008,Science ,,300.0
247,DN009,Law ,,
248,DN010,Agricultural Science ,,320.0
249,DN011,Music ,,
250,DN012,Arts ,,
251,DN014,Irish ,,440.0
252,DN015,Commerce ,,
253,DN016,,,
254,DN017,,,
255,DN018,,,
256,DN019,,,
257,DN020,Actuarial and Financial Studies ,,550.0
258,DN021,Business and Legal Studies ,,475.0
259,DN022,Arts ,,155.0
260,DN024,Sports Management ,,405.0
261,DN026,Economics Finance ,,460.0
262,DN029,Law with French Law ,,
263,DN030,Computer Science ,,410.0
264,DN031,Theoretical Physics ,,360.0
265,DN032,Mathematical Science ,,485.0
266,DN040,Food Science ,,360.0
267,DN041,Landscape Horticulture ,,410.0
268,DN042,Forestry ,,275.0
269,DN050,Computer Science ,,425.0
270,DN051,Economics ,,
271,DN052,History ,,450.0
272,DN053,Philosophy ,,380.0
273,DN054,Psychology ,,
274,DN057,BA International French ,,
275,DN058,BA International German ,,
276,DN059,BA International Spanish ,,430.0
277,DN070,Agriculture and Food Engineering ,,335.0
278,DN071,Chemical Engineering ,,445.0
279,DN072,Civil Engineering ,,435.0
280,DN073,Electronic or Electrical ,,400.0
281,DN074,Mechanical Engineering ,,
282,DN075,Civil Engineering or Mechanical Eng ,,460.0
283,DN105,Veterinary Medicine Graduate Entr ,,
284,DK104,Accounting Finance ,,300.0
285,DK106,Business Studies in Marketing ,,300.0
286,DK206,Business Studies in Marketing ,,275.0
287,DK306,Business Studies in Marketing Ger ,,250.0
288,GA019,,,
289,GA020,Manufacturing ,,225.0
290,GA042,Construction Management ,,345.0
291,GA044,agus Cumarsaid ,,245.0
292,GA047,Theological Studies Practice ,,275.0
293,GY101,Arts ,,395.0
294,GY102,Arts ,,325.0
295,GY103,Arts Social ,,370.0
296,GY104,Arts Psychology ,,520.0
297,GY201,Commerce ,,420.0
298,GY202,Commerce with French ,,
299,GY203,Commerce with German ,,420.0
300,GY204,Commerce with Spanish ,,400.0
301,GY205,Commerce with Italian ,,385.0
302,GY250,Corporate Law ,,
303,GY251,Bachelor of Civil Law ,,495.0
304,GY301,Science ,,310.0
305,GY302,,,
306,GY303,Biomedical Science ,,485.0
307,GY304,Biotechnology ,,
308,GY306,Computing Studies ,,330.0
309,GY307,Earth Sciences ,,320.0
310,GY308,Environmental Science ,,360.0
311,GY309,Financial Mathematics and ,,430.0
312,GY310,Marine Science ,,340.0
313,GY312,Physics and Astronomy ,,405.0
314,GY313,Health and Safety Systems ,,380.0
315,GY350,Information Technology ,,385.0
316,GY401,Engineering ,,480.0
317,GY402,Civil Engineering ,,
318,GY403,Electronic Engineering ,,435.0
319,GY404,Industrial Engineering ,,380.0
320,GY405,Mechanical Engineering ,,420.0
321,GY406,Electronic Computer Engineering ,,465.0
322,GY407,Engineering with Language ,,410.0
323,GY408,Biomedical Engineering ,,445.0
324,GY409,Environmental Engineering ,,420.0
325,GY501,Medicine ,,545.0
326,LY151,Computing with Data Communications ,,305.0
327,LC331,Software Development ,,325.0
328,LC471,Quantity Surveying ,,375.0
329,LC481,Valuation Surveying ,,330.0
330,LC491,Building Management ,,330.0
331,MI005,Mary Immaculate ,,
332,MI006,Mary ,,395.0
333,LM020,Law and Accounting ,,520.0
334,LM021,,,
335,LM040,European Studies ,,350.0
336,LM041,Public Administration ,,370.0
337,LM042,Studies ,,
338,LM043,,,
339,LM044,Applied Languages ,,480.0
340,LM045,Language Cultural Studies ,,370.0
341,LM046,,,
342,LM047,Arts ,,
343,LM048,Irish Studies ,,360.0
344,LM050,Business Studies ,,420.0
345,LM051,Computer Systems ,,320.0
346,LM052,,,
347,LM053,,,
348,LM054,,,
349,LM055,,,
350,LM059,Computer Systems with French ,,470.0
351,LM060,Mathematical ,,395.0
352,LM061,Industrial Chemistry ,,360.0
353,LM062,Materials Science ,,330.0
354,LM063,Production Management ,,
355,LM064,Industrial Biochemistry ,,390.0
356,LM065,Applied Physics ,,370.0
357,LM066,Environmental Science ,,345.0
358,LM067,Wood ,,320.0
359,LM068,Food Technology ,,315.0
360,LM069,Computer Engineering ,,420.0
361,LM070,Electronic Engineering ,,430.0
362,LM072,Industrial Design ,,
363,LM073,Mechanical Engineering ,,415.0
364,LM077,Aeronautical Eng ,,410.0
365,LM078,Mech Engineering German ,,450.0
366,LM079,Manufacturing Engineering ,,350.0
367,LM080,Electronic Systems ,,315.0
368,LM081,Manufacturing Technol ,,305.0
369,LM083,Information Technology ,,340.0
370,LM089,Sports Science ,,435.0
371,LM090,PE Teaching ,,
372,LM092,Biological with Teachi ,,360.0
373,LM093,Equine Science ,,330.0
374,LM094,Teaching ,,420.0
375,LM095,Teaching ,,400.0
376,LM096,Physics and Chemistry Teaching ,,360.0
377,MH101,Arts ,,355.0
378,MH102,Finance ,,365.0
379,MH103,Music ,,
380,MH104,French and Historical Studies ,,360.0
381,MH105,German and Historical Studies ,,355.0
382,MH106,Psychology ,,490.0
383,MH201,Science ,,300.0
384,MH202,Biotechnology ,,330.0
385,MH203,Computer Science ,,340.0
386,MH204,Physics with Astrophysics ,,460.0
387,MH205,Theoretical Physics Science ,,375.0
388,MH206,Theoretical Physics and Mathematics ,,505.0
389,MH207,Computational Bioinformatic ,,405.0
390,MH301,Computer Engineering ,,330.0
391,MH302,Electronic Engineering ,,330.0
392,MH303,Communications Engineering ,,340.0
393,MU001,Theology and Arts ,,330.0
394,SN001,Business Studies in Int Hotel Mgt ,,
395,SN002,Commerce Dip in Int Hotel Mgt ,,
396,SG341,Quality Management ,,245.0
397,SG441,Environmental Science Tech ,,280.0
398,AS001,Home Econ Biology ,,420.0
399,AS002,Home Econ Catechetics ,,
400,TL170,Folk Theatre Studies ,,
401,TL280,Business Studies ,,335.0
402,TL320,Computing with Enterprise Studies ,,285.0
403,WD025,Construction Management ,,300.0
404,WD026,Electronics ,,280.0
405,WD027,Music ,,
406,WD028,Applied Computing ,,290.0
407,WD048,Business studies ,,340.0
408,WD049,Business French ,,340.0
409,WD079,Administration ,,305.0
410,WD080,Business with German ,,340.0
411,WD084,Accounting ,,330.0
412,WD085,Manufacturing Systems Engineering ,,300.0
413,WD086,Electronic Engineering ,,330.0
414,WD091,Hospitality Management ,,290.0
415,WD095,Marketing ,,340.0
416,AL032,Software Design (Games Development),265,315.0
417,AL033,Toxicology,280,345.0
418,AL034,Software Design (Web Development),270,300.0
419,AL035,Construction Technology and Management,265,310.0
420,AL050,Business,275,320.0
421,AL051,Accounting,250,325.0
422,AL052,Design (Visual Communications),#635,820.0
423,AL053,Pharmaceutical Sciences,,
424,AL054,Social Care Practice,340,360.0
425,AL057,Business and Law,250,330.0
426,AL058,Accounting and Law,255,335.0
427,AL110,General Nursing,395*,425.0
428,AL111,Mature Applicants General Nursing,#172,176.0
429,AL112,Psychiatric Nursing,370*,395.0
430,AL113,Mature Applicants Psychiatric Nursing,#162*,166.0
431,PC405,Citizenship and Community Studies,240,300.0
432,PC410,Humanities,280,315.0
433,PC411,English & History,330,350.0
434,CW018,Business (Wexford),290,320.0
435,CW028,Early Childhood Education and Care (Wexford),300,325.0
436,CW038,Art (Wexford),#700,700.0
