"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Dermot Dunne","Stunning new university campus near Dublin city centre- a centre of excellence in music and drama with superb facilities including a 400-seater concert hall, smaller recital hall and theatre","5.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipPknwmTzmCR9kW8TMvRr54OktTC4GG2fJtwyUkx | https://lh5.googleusercontent.com/p/AF1QipOMyeDu7Gpm5EZiGXSFASRQc0Ukk5M9IGID6WCM | https://lh5.googleusercontent.com/p/AF1QipM6PntsKviCiG-tL5e0osG98J98rl3suZnSQKvS","https://www.google.com/maps/contrib/117218062795471980358/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegQIARB5","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"jorge garcia rey","Great campus to go for a walk, and with a couple of options to easily gain access during the day: Stonneybatter and North Circular road. It has some nice views of the mountains and good tracks for running as well as a good children's playground.","5.0","5.0","","4 years ago","https://lh5.googleusercontent.com/p/AF1QipOwtp8DXLNaAq0Tvv2oh_Jm3J9v597D7d5-4IuV","https://www.google.com/maps/contrib/101831307353727533429/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARD-AQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Omar Nicolai","I know this building has over 200 years of varied history that you can find lots of resources on but visually is very interesting. You could explore the outside with your eyes and spend lots of time on that alone. Well worth a look. #exploreirishhistory","5.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipM4lc-T0v0x2shhxFNy87vwHpYee01AapIVUH5W | https://lh5.googleusercontent.com/p/AF1QipOl6uhHVJ4p3fUmWt0bMcEDyo7OMhWNvSB7zpzA | https://lh5.googleusercontent.com/p/AF1QipOfYkTLTRyKFOm3utXbYK1UJM4G4Sgn_bqJynTo | https://lh5.googleusercontent.com/p/AF1QipMCFnxa7BZpYVYJ-Rlg98HMeslfs3jnktKp8G--","https://www.google.com/maps/contrib/106972427415951950843/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegQIARBe","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"ruth connolly","Great place to sit or exercise. Well kept safe area. Great view of Dublin and the mountains. Close to conveniences.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/109046592166188370196/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegUIARC3AQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Fintan Moloney","Nice college grounds area for walking, jogging, exercise along with sports facilities and children’s playground. Snacks and Tea / Coffee etc also available. Well connected to Dublin City centre, Luas Green line, Stoneybatter and North Circular Road.","5.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipPZRDLAGZMFlhlru3E-tgZxZ4njtbsnRIviL2LI | https://lh5.googleusercontent.com/p/AF1QipMvc3Udzpmaf-twKErwp0wrAsXwF6jUyPtZgYk5 | https://lh5.googleusercontent.com/p/AF1QipN4Vh5rtj4nlxZT7EBt9XiEK8kUtB0JlZHohGoJ","https://www.google.com/maps/contrib/105298876193952489297/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARCTAQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Hiberniaworld Group","Lots of teenegers and youths making trouble whole day long. Disturbing other visitors, kids, parents. Demage the buildings, facilities, steel the coffee van, Making fire, using fireworks.... Better to avoid this place!","5.0","5.0","","6 months ago","","https://www.google.com/maps/contrib/104918391472842150935/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARAb","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"John Rock","Excellent campus, really beautiful and modern. Makes me want to be a student again!","5.0","5.0","","11 months ago","","https://www.google.com/maps/contrib/102029328729066843350/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegUIARDNAQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Dr. Ajmal Ayub","Great team, great people, great campus, good working place","5.0","5.0","","2 months ago","https://lh5.googleusercontent.com/p/AF1QipPREf1IDCpQNGVb_UC5-MqsiYTxApwfOb0w-m4U | https://lh5.googleusercontent.com/p/AF1QipMFQ0SoBC8ecDC4xRhX2CVDgFJ-5oS5AUN6SJR3 | https://lh5.googleusercontent.com/p/AF1QipO7d_Me5s-mU7jDM5hK4kL9evqTTvUeKQQxMPE8","https://www.google.com/maps/contrib/106816028624961908853/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegQIARBE","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Andre Skyberg","Amazing campus with a good vibe, just missing a proper café.","5.0","5.0","","9 months ago","https://lh5.googleusercontent.com/p/AF1QipMGEViPaD-wodTCtgG4mcooj0eQGEYdYj_-HR7a | https://lh5.googleusercontent.com/p/AF1QipO3SJuBXsKSsQpjyaiqgyGyXHQwKL28UbKLp9ay","https://www.google.com/maps/contrib/115143907862639243946/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARAC","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Alan Kelly","Played a match on the GAA pitch vs St Brendan's, paid parking via apcoa app and run down changing rooms, pitch was in great condition though. Not sure what the rest of the campus is like.","4.0","5.0","","a year ago","","https://www.google.com/maps/contrib/115508643687314498816/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARBH","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
