,Logical_quotient_rating,i_get_stressed_out_easily,coding_skills_rating,public_speaking_points,i_am_always_prepared,i_follow_a_schedule,i_am_quick_to_understand_things,i_am_full_of_ideas,i_start_conversations,do_you_like_sports,entrepreneurial_mindset,tendency_to_worry,self_learning_capability,Extra_courses_did,Taken_inputs_from_seniors_or_elders,reading_and_writing_skills,memory_capability_score,worked_in_teams_ever,Introvert,Suggested_Job_Role,B_hard worker,B_smart worker
0,8,5,7,7,1,2,7,8,3,0,1,0,1,1,0,1,0,1,1,Software Engineer,0,1
1,9,2,2,2,5,3,2,2,1,1,0,0,1,1,0,2,1,0,0,Software Engineer,1,0
2,6,2,1,4,1,0,9,0,4,1,1,0,0,0,0,2,0,1,1,Software Engineer,0,1
3,1,7,3,7,3,8,9,9,9,0,1,1,1,1,1,2,0,0,1,Software Engineer,0,1
4,7,4,1,0,5,5,8,3,1,0,1,0,0,0,1,2,1,1,0,Software Engineer,1,0
5,0,0,9,1,9,6,8,9,7,0,0,1,0,0,1,0,2,0,1,Software Engineer,1,0
6,0,7,3,4,1,8,6,3,4,0,0,1,1,0,0,1,2,1,0,Software Engineer,0,1
7,1,2,8,7,6,8,9,4,9,0,0,0,1,1,0,1,0,1,1,Software Engineer,0,1
8,5,5,2,4,9,9,9,5,9,1,1,0,1,0,0,2,2,1,0,Software Engineer,1,0
9,5,5,0,5,4,5,6,2,2,1,1,0,1,0,0,2,0,0,0,Software Engineer,1,0
10,0,6,1,4,8,9,6,1,0,1,1,1,1,0,0,0,1,0,1,Software Engineer,1,0
11,0,6,5,1,3,1,1,6,9,1,1,1,1,1,1,0,1,0,1,Software Engineer,1,0
12,4,0,9,8,2,9,6,1,6,1,1,1,0,1,1,2,1,1,0,Software Engineer,1,0
13,0,7,8,4,4,4,3,7,8,1,0,0,1,0,0,0,0,1,0,Software Engineer,0,1
14,3,8,7,7,2,2,1,4,3,0,1,0,0,0,1,1,1,1,1,Software Engineer,1,0
15,2,2,3,6,4,8,5,6,5,1,0,1,1,0,0,0,0,0,0,Software Engineer,0,1
16,7,7,9,0,3,2,3,1,9,1,1,0,0,1,1,2,1,0,1,Software Engineer,0,1
17,5,7,3,6,7,8,1,1,7,1,0,1,1,0,1,2,2,1,0,Software Engineer,1,0
18,3,9,1,4,6,3,1,0,3,0,1,1,0,1,1,2,0,1,0,Software Engineer,0,1
19,7,0,3,2,0,2,7,2,3,0,0,0,1,1,1,2,1,1,0,Software Engineer,1,0
20,3,6,8,2,2,4,2,9,0,0,1,1,1,0,0,2,2,1,1,Software Engineer,1,0
21,3,5,4,9,4,8,5,7,4,1,1,1,0,0,1,1,0,0,0,Software Engineer,0,1
22,4,9,5,8,8,6,2,6,1,1,0,1,0,1,0,2,0,0,1,Software Engineer,0,1
23,3,6,1,1,6,6,5,0,6,1,0,1,0,1,0,1,0,1,0,Software Engineer,0,1
24,2,5,1,7,9,9,4,1,9,1,1,1,1,1,1,2,0,0,0,Software Engineer,0,1
25,0,2,1,7,1,5,7,8,4,0,0,1,0,0,1,0,0,0,0,Software Engineer,0,1
26,8,2,9,0,5,7,4,9,2,0,1,0,1,0,0,1,0,0,1,Software Engineer,1,0
27,1,5,5,7,7,2,7,1,8,1,0,0,0,0,1,0,0,0,0,Software Engineer,1,0
28,2,8,5,0,2,1,0,7,6,0,0,0,0,1,0,1,0,1,1,Software Engineer,0,1
29,1,7,3,8,0,2,5,2,0,1,0,0,0,1,1,1,2,1,0,Software Engineer,1,0
30,3,2,2,2,1,5,3,6,5,0,0,1,1,0,1,2,1,0,1,Software Engineer,1,0
31,7,1,2,0,6,3,8,5,0,1,0,0,0,0,0,0,1,1,1,Software Engineer,1,0
32,3,8,5,4,6,2,8,8,9,1,0,1,1,1,1,1,1,1,0,Software Engineer,1,0
33,9,3,2,3,3,9,7,4,4,1,1,1,0,1,0,2,1,1,0,Software Engineer,1,0
34,5,1,8,2,1,1,6,1,7,0,1,0,0,1,1,0,1,0,0,Software Engineer,1,0
35,0,7,7,9,9,9,0,7,8,0,0,1,0,1,0,2,0,1,1,Software Engineer,0,1
36,7,4,7,3,7,8,8,6,4,0,1,1,0,0,0,2,2,1,1,Software Engineer,0,1
37,6,9,7,3,5,4,4,9,6,0,0,0,0,0,1,2,2,0,1,Software Engineer,0,1
38,6,4,6,6,7,6,2,3,9,1,0,1,1,1,0,2,2,0,0,Software Engineer,1,0
39,5,9,9,0,7,3,7,7,4,1,0,1,0,0,1,2,2,1,1,Software Engineer,0,1
40,9,3,2,5,6,2,6,7,3,1,1,1,1,1,0,0,0,1,0,Software Engineer,1,0
41,9,8,2,1,7,7,1,2,3,1,0,0,1,0,0,0,0,1,0,Software Engineer,0,1
42,5,5,5,5,1,3,8,6,5,0,1,0,0,0,1,1,2,0,0,Software Engineer,1,0
43,8,5,5,1,2,5,7,8,5,1,0,1,1,0,1,2,0,1,1,Software Engineer,0,1
44,1,2,2,3,9,5,0,5,7,0,1,0,1,1,0,0,2,0,0,Software Engineer,0,1
45,7,3,1,9,2,5,8,4,9,0,1,0,1,0,1,0,1,0,1,Software Engineer,1,0
46,8,8,1,5,7,1,0,0,8,1,0,0,1,1,0,0,1,0,0,Software Engineer,0,1
47,6,2,0,8,1,7,0,2,4,0,1,0,0,0,1,0,0,1,1,Software Engineer,0,1
48,0,2,1,7,0,8,6,2,2,1,0,0,1,1,0,2,2,0,0,Software Engineer,0,1
49,3,2,0,2,0,8,9,9,8,0,1,0,0,1,0,2,0,1,0,Software Engineer,0,1
50,3,9,0,1,7,7,9,7,5,0,1,1,0,1,1,2,2,1,0,Software Engineer,1,0
51,3,5,1,5,3,1,9,9,3,0,1,1,1,1,0,2,0,1,1,Software Engineer,0,1
52,2,6,2,3,5,8,1,7,5,0,1,1,0,1,1,0,1,1,1,Software Engineer,1,0
53,2,3,4,5,1,4,9,7,6,1,1,1,0,0,1,1,1,0,1,Software Engineer,0,1
54,3,3,3,5,6,3,4,5,0,1,0,0,0,1,0,0,2,0,1,Software Engineer,0,1
55,8,8,0,2,2,7,9,6,9,0,0,1,0,1,1,2,2,1,1,Software Engineer,0,1
56,0,8,9,7,3,7,7,0,8,0,0,0,1,1,1,0,0,1,1,Software Engineer,0,1
57,0,5,4,3,1,4,3,9,1,0,0,1,0,1,1,2,0,0,0,Software Engineer,0,1
58,3,0,4,0,0,3,4,5,3,0,0,1,0,0,1,2,1,1,0,Software Engineer,1,0
59,3,5,4,2,5,1,9,4,5,1,0,0,1,0,1,1,0,1,1,Software Engineer,1,0
60,4,3,5,2,5,3,2,2,9,1,0,1,1,0,1,1,0,0,1,Software Engineer,0,1
61,6,9,2,6,0,6,4,0,2,0,0,0,0,1,0,0,1,0,0,Software Engineer,1,0
62,1,6,8,5,0,1,5,4,5,0,1,0,1,1,0,2,0,1,0,Software Engineer,1,0
63,2,2,3,7,0,1,2,3,7,0,0,0,1,1,0,2,1,0,0,Software Engineer,0,1
64,8,4,2,2,9,7,5,1,4,0,1,0,0,0,0,0,2,1,0,Software Engineer,1,0
65,0,5,5,4,2,4,6,5,5,0,0,0,0,1,1,1,1,1,1,Software Engineer,0,1
66,4,9,8,7,4,2,2,6,6,0,1,1,0,0,1,1,0,0,1,Software Engineer,0,1
67,7,2,1,1,9,9,7,8,0,1,0,0,1,0,1,2,1,1,0,Software Engineer,1,0
68,1,5,5,1,4,7,6,8,9,0,1,1,0,1,0,1,2,0,0,Software Engineer,0,1
69,9,5,5,4,3,5,0,4,4,0,1,0,0,0,1,2,0,0,0,Software Engineer,0,1
70,4,0,7,1,6,0,9,6,4,1,1,1,0,1,1,1,2,1,1,Software Engineer,0,1
71,6,7,7,7,0,7,9,6,9,1,0,1,0,0,1,1,2,0,1,Software Engineer,0,1
72,2,5,2,4,5,5,5,2,2,0,1,1,1,1,0,1,2,0,1,Software Engineer,0,1
73,9,7,2,9,2,3,3,5,4,1,1,1,0,1,0,2,1,0,0,Software Engineer,1,0
74,4,6,5,0,9,1,5,7,1,1,0,0,1,1,1,2,0,1,1,Software Engineer,1,0
75,9,6,3,7,5,1,9,7,8,1,1,0,0,0,1,2,2,0,0,Software Engineer,0,1
76,7,8,5,1,8,3,3,4,9,0,1,1,1,0,0,2,2,1,1,Software Engineer,0,1
77,5,5,4,4,6,9,8,1,4,0,1,0,0,0,1,0,2,1,1,Software Engineer,0,1
78,2,7,0,9,7,0,2,2,0,0,1,0,1,0,0,2,0,0,0,Software Engineer,1,0
79,7,0,6,5,5,9,3,7,5,0,1,1,1,1,1,0,0,0,0,Software Engineer,0,1
80,8,3,0,1,6,8,0,2,1,1,1,0,0,0,0,1,1,1,1,Software Engineer,0,1
81,8,0,6,9,3,0,7,5,3,0,1,0,0,0,1,2,1,1,0,Software Engineer,1,0
82,8,7,1,5,7,4,4,0,3,0,1,0,1,1,1,0,0,0,0,Software Engineer,1,0
83,5,3,8,8,3,4,1,3,1,0,1,1,0,0,1,1,2,0,0,Software Engineer,1,0
84,0,3,0,8,4,6,8,6,1,0,1,1,0,0,1,2,0,1,1,Software Engineer,1,0
85,8,3,4,4,3,2,7,5,5,1,0,1,1,0,1,1,2,0,1,Software Engineer,1,0
86,5,2,2,3,3,0,2,8,3,0,0,1,0,0,0,2,1,0,0,Software Engineer,1,0
87,7,6,6,8,0,7,4,0,7,0,0,1,0,1,1,0,1,1,0,Software Engineer,0,1
88,2,5,3,3,5,9,2,1,0,1,1,0,0,1,0,0,0,0,1,Software Engineer,0,1
89,0,0,4,7,8,4,9,9,0,0,0,1,1,1,0,2,1,0,1,Software Engineer,0,1
90,5,2,5,8,2,0,0,0,1,0,1,0,0,0,0,1,1,1,1,Software Engineer,1,0
91,7,4,0,1,6,8,9,3,3,0,0,0,0,1,1,2,0,0,0,Software Engineer,1,0
92,2,1,9,6,2,2,7,4,4,0,0,1,1,0,0,2,1,1,0,Software Engineer,1,0
93,4,9,8,8,0,5,9,3,9,0,1,1,1,0,1,0,1,1,1,Software Engineer,0,1
94,9,3,9,1,0,5,8,8,8,0,0,1,0,0,0,1,0,0,1,Software Engineer,1,0
95,7,5,8,0,9,3,7,8,1,1,1,0,0,0,1,0,0,0,1,Software Engineer,1,0
96,4,2,4,1,0,2,2,8,8,1,0,0,0,0,0,0,2,1,0,Software Engineer,1,0
97,7,9,8,1,9,2,0,9,6,1,0,0,0,0,0,1,1,0,1,Software Engineer,1,0
98,3,5,9,8,5,7,6,8,9,1,0,0,0,0,1,1,2,1,0,Software Engineer,1,0
99,7,4,5,5,8,1,7,7,9,0,0,0,0,1,1,1,0,1,1,Software Engineer,0,1
100,9,5,2,5,5,9,3,5,1,1,0,1,1,1,1,0,1,1,1,Software Engineer,0,1
101,3,2,0,7,4,1,1,7,3,0,1,1,1,1,0,0,2,1,1,Software Engineer,0,1
102,7,8,0,2,2,0,8,4,2,1,0,0,1,0,0,0,1,0,1,Software Engineer,0,1
103,1,8,2,5,8,4,7,5,4,0,0,1,0,0,1,0,1,0,1,Software Engineer,1,0
104,9,5,6,0,0,0,4,2,0,1,0,1,1,1,0,1,0,1,0,Software Engineer,1,0
105,2,6,6,2,0,3,4,0,0,0,0,0,1,0,0,1,0,0,0,Software Engineer,0,1
106,3,7,1,1,9,4,0,4,6,0,0,0,1,0,1,1,0,1,0,Software Engineer,1,0
107,5,7,5,6,2,7,9,3,3,0,1,0,1,0,1,0,2,0,1,Software Engineer,0,1
108,0,8,3,1,9,3,5,9,4,0,0,1,1,1,1,0,0,1,0,Software Engineer,1,0
109,3,9,7,8,5,1,3,1,0,1,1,1,0,1,1,0,2,1,0,Software Engineer,1,0
110,1,1,9,4,7,4,2,0,3,0,0,1,0,0,0,1,2,0,1,Software Engineer,1,0
111,5,1,1,1,4,4,4,2,3,1,1,0,1,1,0,2,1,1,1,Software Engineer,0,1
112,8,2,1,2,4,4,1,5,1,0,0,0,0,1,0,2,2,1,1,Software Engineer,1,0
113,1,0,5,4,7,2,7,8,3,0,0,1,1,1,1,0,1,1,0,Software Engineer,1,0
114,9,5,5,2,6,4,7,2,5,0,1,0,0,0,0,1,1,0,1,Software Engineer,0,1
115,3,0,9,4,6,3,5,2,6,0,0,0,1,0,0,0,0,1,1,Software Engineer,1,0
116,7,0,6,8,7,2,6,1,4,1,0,1,0,0,1,0,2,1,0,Software Engineer,0,1
117,1,4,1,9,9,7,8,7,4,1,0,1,1,1,0,2,2,1,0,Software Engineer,1,0
118,8,8,6,2,1,0,9,2,6,0,0,0,0,0,0,1,0,0,0,Software Engineer,1,0
119,9,9,5,4,9,3,1,9,8,1,1,0,1,0,0,1,2,0,1,Software Engineer,0,1
