Logical_quotient_rating,i_get_stressed_out_easily,coding_skills_rating,public_speaking_points,i_am_always_prepared,i_follow_a_schedule,i_am_quick_to_understand_things,i_am_full_of_ideas,i_start_conversations,do_you_like_sports,entrepreneurial_mindset,tendency_to_worry,self_learning_capability,Extra_courses_did,Taken_inputs_from_seniors_or_elders,reading_and _writing_skills,memory_capability_score,interested_career_area ,Type_of_company_want_to_settle_in,Interested_Type_of_Books,Non_Technical_or_Technical,hard_smart_worker,worked_in_teams_ever,Introvert,Suggested_Job_Role
8,5,7,7,1,2,7,8,3,no,yes,no,yes,yes,no,medium,poor,testing,BPA,Series,Technical,smart worker,yes,yes,Applications Developer
9,2,2,2,5,3,2,2,1,yes,no,no,yes,yes,no,excellent,medium,system developer,Cloud Services,Autobiographies,Technical,hard worker,no,no,Applications Developer
6,2,1,4,1,0,9,0,4,yes,yes,no,no,no,no,excellent,poor,Business process analyst,product development,Travel,Technical,smart worker,yes,yes,Applications Developer
1,7,3,7,3,8,9,9,9,no,yes,yes,yes,yes,yes,excellent,poor,testing,Testing and Maintainance Services,Guide,Technical,smart worker,no,yes,Applications Developer
7,4,1,0,5,5,8,3,1,no,yes,no,no,no,yes,excellent,medium,system developer,BPA,Health,Non Technical,hard worker,yes,no,Applications Developer
0,0,9,1,9,6,8,9,7,no,no,yes,no,no,yes,poor,excellent,security,Cloud Services,Journals,Technical,hard worker,no,yes,Applications Developer
0,7,3,4,1,8,6,3,4,no,no,yes,yes,no,no,medium,excellent,testing,Cloud Services,Anthology,Technical,smart worker,yes,no,Applications Developer
1,2,8,7,6,8,9,4,9,no,no,no,yes,yes,no,medium,poor,developer,BPA,Dictionaries,Non Technical,smart worker,yes,yes,Applications Developer
5,5,2,4,9,9,9,5,9,yes,yes,no,yes,no,no,excellent,excellent,Business process analyst,SAaS services,Prayer books,Technical,hard worker,yes,no,Applications Developer
5,5,0,5,4,5,6,2,2,yes,yes,no,yes,no,no,excellent,poor,system developer,SAaS services,Art,Technical,hard worker,no,no,Applications Developer
0,6,1,4,8,9,6,1,0,yes,yes,yes,yes,no,no,poor,medium,developer,Web Services,Journals,Non Technical,hard worker,no,yes,Applications Developer
0,6,5,1,3,1,1,6,9,yes,yes,yes,yes,yes,yes,poor,medium,Business process analyst,Finance,Encyclopedias,Technical,hard worker,no,yes,Applications Developer
4,0,9,8,2,9,6,1,6,yes,yes,yes,no,yes,yes,excellent,medium,Business process analyst,Sales and Marketing,Religion-Spirituality,Technical,hard worker,yes,no,Applications Developer
0,7,8,4,4,4,3,7,8,yes,no,no,yes,no,no,poor,poor,security,Sales and Marketing,Action and Adventure,Technical,smart worker,yes,no,Applications Developer
3,8,7,7,2,2,1,4,3,no,yes,no,no,no,yes,medium,medium,cloud computing,Product based,Comics,Technical,hard worker,yes,yes,Applications Developer
2,2,3,6,4,8,5,6,5,yes,no,yes,yes,no,no,poor,poor,system developer,Testing and Maintainance Services,Horror,Technical,smart worker,no,no,Applications Developer
7,7,9,0,3,2,3,1,9,yes,yes,no,no,yes,yes,excellent,medium,developer,Cloud Services,Satire,Technical,smart worker,no,yes,Applications Developer
5,7,3,6,7,8,1,1,7,yes,no,yes,yes,no,yes,excellent,excellent,testing,Testing and Maintainance Services,Dictionaries,Non Technical,hard worker,yes,no,Applications Developer
3,9,1,4,6,3,1,0,3,no,yes,yes,no,yes,yes,excellent,poor,cloud computing,Product based,Health,Technical,smart worker,yes,no,Applications Developer
7,0,3,2,0,2,7,2,3,no,no,no,yes,yes,yes,excellent,medium,security,Cloud Services,Horror,Non Technical,hard worker,yes,no,Applications Developer
3,6,8,2,2,4,2,9,0,no,yes,yes,yes,no,no,excellent,excellent,system developer,Sales and Marketing,Series,Non Technical,hard worker,yes,yes,Applications Developer
3,5,4,9,4,8,5,7,4,yes,yes,yes,no,no,yes,medium,poor,Business process analyst,SAaS services,Self help,Non Technical,smart worker,no,no,Applications Developer
4,9,5,8,8,6,2,6,1,yes,no,yes,no,yes,no,excellent,poor,testing,BPA,Guide,Technical,smart worker,no,yes,Applications Developer
3,6,1,1,6,6,5,0,6,yes,no,yes,no,yes,no,medium,poor,cloud computing,SAaS services,Encyclopedias,Non Technical,smart worker,yes,no,Applications Developer
2,5,1,7,9,9,4,1,9,yes,yes,yes,yes,yes,yes,excellent,poor,Business process analyst,product development,History,Technical,smart worker,no,no,Applications Developer
0,2,1,7,1,5,7,8,4,no,no,yes,no,no,yes,poor,poor,system developer,SAaS services,Religion-Spirituality,Non Technical,smart worker,no,no,Applications Developer
8,2,9,0,5,7,4,9,2,no,yes,no,yes,no,no,medium,poor,Business process analyst,Sales and Marketing,Cookbooks,Technical,hard worker,no,yes,Applications Developer
1,5,5,7,7,2,7,1,8,yes,no,no,no,no,yes,poor,poor,security,Web Services,Math,Non Technical,hard worker,no,no,Applications Developer
2,8,5,0,2,1,0,7,6,no,no,no,no,yes,no,medium,poor,system developer,BPA,Biographies,Technical,smart worker,yes,yes,Applications Developer
1,7,3,8,0,2,5,2,0,yes,no,no,no,yes,yes,medium,excellent,Business process analyst,Product based,Drama,Technical,hard worker,yes,no,Applications Developer
3,2,2,2,1,5,3,6,5,no,no,yes,yes,no,yes,excellent,medium,Business process analyst,Finance,Journals,Technical,hard worker,no,yes,Applications Developer
7,1,2,0,6,3,8,5,0,yes,no,no,no,no,no,poor,medium,developer,Finance,Health,Technical,hard worker,yes,yes,Applications Developer
3,8,5,4,6,2,8,8,9,yes,no,yes,yes,yes,yes,medium,medium,system developer,BPA,Anthology,Non Technical,hard worker,yes,no,Applications Developer
9,3,2,3,3,9,7,4,4,yes,yes,yes,no,yes,no,excellent,medium,security,Sales and Marketing,Biographies,Non Technical,hard worker,yes,no,Applications Developer
5,1,8,2,1,1,6,1,7,no,yes,no,no,yes,yes,poor,medium,security,SAaS services,History,Technical,hard worker,no,no,Applications Developer
0,7,7,9,9,9,0,7,8,no,no,yes,no,yes,no,excellent,poor,Business process analyst,Web Services,Diaries,Non Technical,smart worker,yes,yes,Applications Developer
7,4,7,3,7,8,8,6,4,no,yes,yes,no,no,no,excellent,excellent,Business process analyst,BPA,Health,Technical,smart worker,yes,yes,Applications Developer
6,9,7,3,5,4,4,9,6,no,no,no,no,no,yes,excellent,excellent,security,product development,Self help,Non Technical,smart worker,no,yes,Applications Developer
6,4,6,6,7,6,2,3,9,yes,no,yes,yes,yes,no,excellent,excellent,cloud computing,BPA,Science fiction,Non Technical,hard worker,no,no,Applications Developer
5,9,9,0,7,3,7,7,4,yes,no,yes,no,no,yes,excellent,excellent,testing,product development,Science fiction,Technical,smart worker,yes,yes,Applications Developer
9,3,2,5,6,2,6,7,3,yes,yes,yes,yes,yes,no,poor,poor,cloud computing,Finance,Poetry,Non Technical,hard worker,yes,no,Applications Developer
9,8,2,1,7,7,1,2,3,yes,no,no,yes,no,no,poor,poor,Business process analyst,Finance,Romance,Technical,smart worker,yes,no,Applications Developer
5,5,5,5,1,3,8,6,5,no,yes,no,no,no,yes,medium,excellent,security,Cloud Services,Horror,Non Technical,hard worker,no,no,Applications Developer
8,5,5,1,2,5,7,8,5,yes,no,yes,yes,no,yes,excellent,poor,testing,Finance,Self help,Non Technical,smart worker,yes,yes,Applications Developer
1,2,2,3,9,5,0,5,7,no,yes,no,yes,yes,no,poor,excellent,system developer,BPA,Self help,Non Technical,smart worker,no,no,Applications Developer
7,3,1,9,2,5,8,4,9,no,yes,no,yes,no,yes,poor,medium,security,SAaS services,Science,Technical,hard worker,no,yes,Applications Developer
8,8,1,5,7,1,0,0,8,yes,no,no,yes,yes,no,poor,medium,security,Sales and Marketing,Biographies,Technical,smart worker,no,no,Applications Developer
6,2,0,8,1,7,0,2,4,no,yes,no,no,no,yes,poor,poor,Business process analyst,Web Services,Dictionaries,Non Technical,smart worker,yes,yes,Applications Developer
0,2,1,7,0,8,6,2,2,yes,no,no,yes,yes,no,excellent,excellent,security,BPA,Diaries,Technical,smart worker,no,no,Applications Developer
3,2,0,2,0,8,9,9,8,no,yes,no,no,yes,no,excellent,poor,cloud computing,Product based,Action and Adventure,Non Technical,smart worker,yes,no,Applications Developer
3,9,0,1,7,7,9,7,5,no,yes,yes,no,yes,yes,excellent,excellent,developer,Sales and Marketing,History,Non Technical,hard worker,yes,no,Applications Developer
3,5,1,5,3,1,9,9,3,no,yes,yes,yes,yes,no,excellent,poor,cloud computing,BPA,Cookbooks,Non Technical,smart worker,yes,yes,Applications Developer
2,6,2,3,5,8,1,7,5,no,yes,yes,no,yes,yes,poor,medium,developer,Service Based,Self help,Technical,hard worker,yes,yes,Applications Developer
2,3,4,5,1,4,9,7,6,yes,yes,yes,no,no,yes,medium,medium,Business process analyst,Finance,Satire,Technical,smart worker,no,yes,Applications Developer
3,3,3,5,6,3,4,5,0,yes,no,no,no,yes,no,poor,excellent,testing,SAaS services,Series,Technical,smart worker,no,yes,Applications Developer
8,8,0,2,2,7,9,6,9,no,no,yes,no,yes,yes,excellent,excellent,security,Web Services,Trilogy,Technical,smart worker,yes,yes,Applications Developer
0,8,9,7,3,7,7,0,8,no,no,no,yes,yes,yes,poor,poor,developer,Testing and Maintainance Services,Poetry,Technical,smart worker,yes,yes,Applications Developer
0,5,4,3,1,4,3,9,1,no,no,yes,no,yes,yes,excellent,poor,Business process analyst,product development,Autobiographies,Technical,smart worker,no,no,Applications Developer
3,0,4,0,0,3,4,5,3,no,no,yes,no,no,yes,excellent,medium,system developer,Service Based,Science,Technical,hard worker,yes,no,Applications Developer
3,5,4,2,5,1,9,4,5,yes,no,no,yes,no,yes,medium,poor,system developer,Finance,Self help,Technical,hard worker,yes,yes,Applications Developer
4,3,5,2,5,3,2,2,9,yes,no,yes,yes,no,yes,medium,poor,security,product development,Science fiction,Technical,smart worker,no,yes,Applications Developer
6,9,2,6,0,6,4,0,2,no,no,no,no,yes,no,poor,medium,Business process analyst,Sales and Marketing,Prayer books,Technical,hard worker,no,no,Applications Developer
1,6,8,5,0,1,5,4,5,no,yes,no,yes,yes,no,excellent,poor,developer,Product based,Travel,Technical,hard worker,yes,no,Applications Developer
2,2,3,7,0,1,2,3,7,no,no,no,yes,yes,no,excellent,medium,developer,Finance,Biographies,Non Technical,smart worker,no,no,Applications Developer
8,4,2,2,9,7,5,1,4,no,yes,no,no,no,no,poor,excellent,system developer,Web Services,Comics,Technical,hard worker,yes,no,Applications Developer
0,5,5,4,2,4,6,5,5,no,no,no,no,yes,yes,medium,medium,Business process analyst,SAaS services,Prayer books,Non Technical,smart worker,yes,yes,Applications Developer
4,9,8,7,4,2,2,6,6,no,yes,yes,no,no,yes,medium,poor,cloud computing,Cloud Services,Guide,Non Technical,smart worker,no,yes,Applications Developer
7,2,1,1,9,9,7,8,0,yes,no,no,yes,no,yes,excellent,medium,cloud computing,Finance,Comics,Non Technical,hard worker,yes,no,Applications Developer
1,5,5,1,4,7,6,8,9,no,yes,yes,no,yes,no,medium,excellent,security,Cloud Services,Drama,Technical,smart worker,no,no,Applications Developer
9,5,5,4,3,5,0,4,4,no,yes,no,no,no,yes,excellent,poor,testing,Testing and Maintainance Services,Health,Technical,smart worker,no,no,Applications Developer
4,0,7,1,6,0,9,6,4,yes,yes,yes,no,yes,yes,medium,excellent,testing,Service Based,Health,Technical,smart worker,yes,yes,Applications Developer
6,7,7,7,0,7,9,6,9,yes,no,yes,no,no,yes,medium,excellent,cloud computing,Testing and Maintainance Services,Religion-Spirituality,Non Technical,smart worker,no,yes,Applications Developer
2,5,2,4,5,5,5,2,2,no,yes,yes,yes,yes,no,medium,excellent,Business process analyst,Sales and Marketing,Self help,Non Technical,smart worker,no,yes,Applications Developer
9,7,2,9,2,3,3,5,4,yes,yes,yes,no,yes,no,excellent,medium,developer,Testing and Maintainance Services,Health,Technical,hard worker,no,no,Applications Developer
4,6,5,0,9,1,5,7,1,yes,no,no,yes,yes,yes,excellent,poor,testing,Service Based,Travel,Technical,hard worker,yes,yes,Applications Developer
9,6,3,7,5,1,9,7,8,yes,yes,no,no,no,yes,excellent,excellent,security,BPA,Health,Technical,smart worker,no,no,Applications Developer
7,8,5,1,8,3,3,4,9,no,yes,yes,yes,no,no,excellent,excellent,testing,Testing and Maintainance Services,Science,Technical,smart worker,yes,yes,Applications Developer
5,5,4,4,6,9,8,1,4,no,yes,no,no,no,yes,poor,excellent,cloud computing,Web Services,Religion-Spirituality,Non Technical,smart worker,yes,yes,Applications Developer
2,7,0,9,7,0,2,2,0,no,yes,no,yes,no,no,excellent,poor,Business process analyst,Service Based,Guide,Technical,hard worker,no,no,Applications Developer
7,0,6,5,5,9,3,7,5,no,yes,yes,yes,yes,yes,poor,poor,system developer,product development,Science,Non Technical,smart worker,no,no,Applications Developer
8,3,0,1,6,8,0,2,1,yes,yes,no,no,no,no,medium,medium,testing,SAaS services,Dictionaries,Non Technical,smart worker,yes,yes,Applications Developer
8,0,6,9,3,0,7,5,3,no,yes,no,no,no,yes,excellent,medium,cloud computing,Finance,Self help,Technical,hard worker,yes,no,Applications Developer
8,7,1,5,7,4,4,0,3,no,yes,no,yes,yes,yes,poor,poor,system developer,Finance,Guide,Non Technical,hard worker,no,no,Applications Developer
5,3,8,8,3,4,1,3,1,no,yes,yes,no,no,yes,medium,excellent,developer,Sales and Marketing,Comics,Technical,hard worker,no,no,Applications Developer
0,3,0,8,4,6,8,6,1,no,yes,yes,no,no,yes,excellent,poor,cloud computing,Testing and Maintainance Services,Drama,Technical,hard worker,yes,yes,Applications Developer
8,3,4,4,3,2,7,5,5,yes,no,yes,yes,no,yes,medium,excellent,Business process analyst,BPA,Journals,Non Technical,hard worker,no,yes,Applications Developer
5,2,2,3,3,0,2,8,3,no,no,yes,no,no,no,excellent,medium,security,Web Services,History,Non Technical,hard worker,no,no,Applications Developer
7,6,6,8,0,7,4,0,7,no,no,yes,no,yes,yes,poor,medium,system developer,Testing and Maintainance Services,Autobiographies,Non Technical,smart worker,yes,no,Applications Developer
2,5,3,3,5,9,2,1,0,yes,yes,no,no,yes,no,poor,poor,cloud computing,Testing and Maintainance Services,Autobiographies,Technical,smart worker,no,yes,Applications Developer
0,0,4,7,8,4,9,9,0,no,no,yes,yes,yes,no,excellent,medium,security,Web Services,Trilogy,Technical,smart worker,no,yes,Applications Developer
5,2,5,8,2,0,0,0,1,no,yes,no,no,no,no,medium,medium,cloud computing,Sales and Marketing,Math,Technical,hard worker,yes,yes,Applications Developer
7,4,0,1,6,8,9,3,3,no,no,no,no,yes,yes,excellent,poor,cloud computing,Cloud Services,Journals,Technical,hard worker,no,no,Applications Developer
2,1,9,6,2,2,7,4,4,no,no,yes,yes,no,no,excellent,medium,developer,Finance,Dictionaries,Technical,hard worker,yes,no,Applications Developer
4,9,8,8,0,5,9,3,9,no,yes,yes,yes,no,yes,poor,medium,developer,Service Based,Trilogy,Non Technical,smart worker,yes,yes,Applications Developer
9,3,9,1,0,5,8,8,8,no,no,yes,no,no,no,medium,poor,testing,Sales and Marketing,Fantasy,Technical,hard worker,no,yes,Applications Developer
7,5,8,0,9,3,7,8,1,yes,yes,no,no,no,yes,poor,poor,system developer,Service Based,Cookbooks,Non Technical,hard worker,no,yes,Applications Developer
4,2,4,1,0,2,2,8,8,yes,no,no,no,no,no,poor,excellent,security,Product based,Guide,Technical,hard worker,yes,no,Applications Developer
7,9,8,1,9,2,0,9,6,yes,no,no,no,no,no,medium,medium,Business process analyst,Service Based,Childrens,Technical,hard worker,no,yes,Applications Developer
3,5,9,8,5,7,6,8,9,yes,no,no,no,no,yes,medium,excellent,testing,Sales and Marketing,Dictionaries,Non Technical,hard worker,yes,no,Applications Developer
7,4,5,5,8,1,7,7,9,no,no,no,no,yes,yes,medium,poor,security,BPA,Art,Technical,smart worker,yes,yes,Applications Developer
9,5,2,5,5,9,3,5,1,yes,no,yes,yes,yes,yes,poor,medium,developer,Cloud Services,Childrens,Technical,smart worker,yes,yes,Applications Developer
3,2,0,7,4,1,1,7,3,no,yes,yes,yes,yes,no,poor,excellent,testing,Product based,Childrens,Technical,smart worker,yes,yes,Applications Developer
