college,course,code,fees,location,cao_score,interest,job_domain,personality
Technological University Dublin,TU059 Computer Science  (Data Science),TU059,7000,Dublin,304,Applications Developer,IT,serious
University College Dublin,DN150 Biomedical Engineering,DN150,7574,Dublin,551,Business Analyst,Non_IT,extraverted
University College Dublin,NQS2 Chemical & Bioprocess Engineering,NQS2,7574,Dublin,224,Banker,Non_IT,responsible
University College Dublin,NVS1 Civil Engineering,NVS1,7574,Dublin,313,Human Resources,Non_IT,dependable
University College Dublin,DN201 Computer Science,DN201,7574,Dublin,497,Pilot,IT,lively
University College Dublin,NES1 Electronic Engineering or Electrical Engineering,NES1,7574,Dublin,291,Pilot,Non_IT,serious
University College Dublin,NMS1 Mechanical Engineering,NMS1,7574,Dublin,244,Business Analyst,Non_IT,extraverted
University College Dublin,NAS1 Structural Engineering with Architecture,NAS1,7574,Dublin,335,Banker,Non_IT,responsible
Trinity College Dublin,TR060 Biological and Biomedical Sciences,TR060,7332,Dublin,406,Human Resources,Non_IT,dependable
Trinity College Dublin,TR064 Environmental Science and Engineering,TR064,7332,Dublin,430,Pilot,Non_IT,lively
Trinity College Dublin,"TR032 Civil, Structural, and Environmental Engineering",TR032,7332,Dublin,503,Business Analyst,Non_IT,serious
Trinity College Dublin,TR032 Computer engineering,TR032,7332,Dublin,410,Banker,IT,extraverted
Trinity College Dublin,TR032 Electronic Engineering,TR032,7332,Dublin,407,Human Resources,Non_IT,responsible
Trinity College Dublin,TR032 Mechanical and Manufacturing Engineering,TR032,7332,Dublin,288,Pilot,Non_IT,dependable
Trinity College Dublin,"TR081 Business, Economics and Social Studies",TR081,7332,Dublin,343,Accountant,Management,lively
Trinity College Dublin,TR803 Dental Technology,TR803,7332,Dublin,325,Banker,Non_IT,serious
National College of Ireland,NC003 Computing,NC003,3080,Dublin,583,Human Resources,IT,extraverted
National College of Ireland,NC009 Business,NC009,3080,Dublin,513,Business Analyst,Management,responsible
National College of Ireland,NC020 Marketing Practice,NC020,3080,Dublin,422,Human Resources,Management,dependable
National College of Ireland,NC022 Accounting and Finance,NC022,3080,Dublin,234,Accountant,Management,lively
National College of Ireland,NC010 Psychology,NC010,3080,Dublin,542,Business Analyst,Non_IT,serious
National College of Ireland,NC025 Data Science,NC025,3080,Dublin,312,Network Security Engineer,IT,extraverted
National College of Ireland,NC030 Early Childhood Education and Care,NC030,3080,Dublin,322,Technical Support,Support,responsible
Technological University Dublin,TU828 Automation / Biomedical Design / Mechanical Engineering / Sustainable Energy Engineering,TU828,14500,Dublin,352,Banker,Non_IT,dependable
Dublin City University,DC194 Mechanical and Sustainability Engineering,DC194,6679,Dublin,343,Teacher,Non_IT,lively
Dublin City University,DC193 Mechatronic Engineering,DC193,6679,Dublin,439,Banker,Non_IT,serious
Dublin City University,DC190 Electronic and Computer Engineering,DC190,6679,Dublin,279,Business Analyst,Non_IT,extraverted
Dublin City University,DC123 Data Science,DC123,6679,Dublin,251,Software Developer,IT,responsible
Dublin City University,DC120 Computing for Business,DC120,6679,Dublin,393,Software Engineer,IT,dependable
Dublin City University,DC195 Mechanical and Manufacturing Engineering,DC195,6679,Dublin,368,Human Resources,Non_IT,lively
Dublin City University,DC121 Computer Science,DC121,6679,Dublin,286,Software Quality Assurance (QA) / Testing,IT,serious
Dublin City University,DC197 Biomedical Engineering,DC197,6679,Dublin,425,Pilot,Non_IT,extraverted
Dublin City University,DC200 Common Entry into Engineering,DC200,6679,Dublin,561,Banker,Support,responsible
Technological University Dublin,TU910 Accounting,TU910,13500,Dublin,447,Business Analyst,Management,dependable
Technological University Dublin,TU851 Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,13500,Dublin,494,Banker,Non_IT,lively
Technological University Dublin,TU866 Biomedical & Molecular Diagnostics,TU866,14500,Dublin,469,Business Analyst,Non_IT,serious
Technological University Dublin,TU877 Physics Technology,TU877,14500,Dublin,558,Teacher,Support,extraverted
Technological University Dublin,TU867 Medical Science,TU867,13500,Dublin,419,Technical Support,Support,responsible
Technological University Dublin,TU952 International Hospitality Management,TU952,13500,Dublin,592,Banker,Support,dependable
Technological University Dublin,TU984 Game Design,TU984,13500,Dublin,535,Systems Security Administrator,IT,lively
Technological University Dublin,TU820 Electrical Services & Energy Management,TU820,14500,Dublin,483,Human Resources,Non_IT,serious
