,reviewBody,Sentiment
0,"Stunning new university campus near Dublin city centre- a centre of excellence in music and drama with superb facilities including a 400-seater concert hall, smaller recital hall and theatre",1.0
1,"Great campus to go for a walk, and with a couple of options to easily gain access during the day: Stonneybatter and North Circular road. It has some nice views of the mountains and good tracks for running as well as a good children's playground.",1.0
2,I know this building has over 200 years of varied history that you can find lots of resources on but visually is very interesting. You could explore the outside with your eyes and spend lots of time on that alone. Well worth a look. #exploreirishhistory,1.0
3,Great place to sit or exercise. Well kept safe area. Great view of Dublin and the mountains. Close to conveniences.,1.0
4,"Nice college grounds area for walking, jogging, exercise along with sports facilities and childrenÃ¢â‚¬â„¢s playground. Snacks and Tea / Coffee etc also available. Well connected to Dublin City centre, Luas Green line, Stoneybatter and North Circular Road.",1.0
5,"Lots of teenegers and youths making trouble whole day long. Disturbing other visitors, kids, parents. Demage the buildings, facilities, steel the coffee van, Making fire, using fireworks.... Better to avoid this place!",1.0
6,"Excellent campus, really beautiful and modern. Makes me want to be a student again!",1.0
7,"Great team, great people, great campus, good working place",1.0
8,"Amazing campus with a good vibe, just missing a proper cafÃƒÂ©.",1.0
9,"Played a match on the GAA pitch vs St Brendan's, paid parking via apcoa app and run down changing rooms, pitch was in great condition though. Not sure what the rest of the campus is like.",1.0
10,This complex will be a beautiful space when completed. Open ping pong tables are available to all. Only thing lacking is adequate visible security personnel to control gangs of teens,1.0
11,Really amazing and Beautiful Ã°Å¸ËœÂ Feels likes Home.,1.0
12,Beautiful open space so near Dublin City Centre. The dog loves it and there is a really well equipped playground. The view of the Dublin Mountains makes it feel like the countryside. I really like the lilacs which are plentiful and we meet lots of lively friendly people. It's cool to hear people practising their instruments or singing through an open window. Highly recommended walking spot.,1.0
13,"- No place to study. - Cafeteria has less than 100 seats which means you can never get a seat during launch. - not even 1 year in my lecture hall is already breaking apart - constantly having issues with my student id not working. - yeah sure the greenery looks nice. but the campus is simply to small and lacks the facilities that a university should have, I know several it colleges and some community colleges that have better facilities than this campus. As an IT student i genually regret coming here.",0.0
14,Lovely campus. Great for a socially distanced walk. Exits to Stoneybatter/Prussia St and to Tesco Prussia st as well as to Grangegorman. Nice coffee truck too. Kids play round and football pitches.,1.0
