"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Patrick Maciel Albuquerque","","5.0","5.0","","2 weeks ago","","https://www.google.com/maps/contrib/115251655229240682867/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARBA","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Edson Martins","","5.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/112465730919322642695/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARDjAQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Colum Mooney","","4.0","5.0","","a month ago","","https://www.google.com/maps/contrib/114610433414892441880/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARB6","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Richard Kielthy","","5.0","5.0","","a month ago","","https://www.google.com/maps/contrib/102445902198495235497/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARBn","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Damian Farnon","","5.0","5.0","","2 weeks ago","","https://www.google.com/maps/contrib/102500170799121021377/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARAs","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"bijo alex","Really amazing and Beautiful 😍 Feels likes Home.","5.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/102971021790836979765/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARCgAQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Luciano Machado de Almeida","","4.0","5.0","","a month ago","","https://www.google.com/maps/contrib/118174974947684343026/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegQIARBU","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Michael Cullen","","5.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/102081559790261713325/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARC2AQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Vincent B","","4.0","5.0","","a month ago","","https://www.google.com/maps/contrib/115611381874642966706/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARCNAQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
"Dr. Ajmal Ayub","Great team, great people, great campus, good working place","5.0","5.0","","2 months ago","https://lh5.googleusercontent.com/p/AF1QipPREf1IDCpQNGVb_UC5-MqsiYTxApwfOb0w-m4U | https://lh5.googleusercontent.com/p/AF1QipMFQ0SoBC8ecDC4xRhX2CVDgFJ-5oS5AUN6SJR3 | https://lh5.googleusercontent.com/p/AF1QipO7d_Me5s-mU7jDM5hK4kL9evqTTvUeKQQxMPE8","https://www.google.com/maps/contrib/106816028624961908853/reviews?hl=en-US&sa=X&ved=2ahUKEwjr6rn9u9r6AhXbL0QIHRthBocQvfQBegUIARDJAQ","www.google.com","","TU Dublin, Grangegorman Campus","200","4.6","Grangegorman Lower, Dublin 7, Ireland","ChIJZbQuzywMZ0gR7LNOrFuzlpI","https://www.google.com/maps/place/TU+Dublin,+Grangegorman+Campus/@53.3548669,-6.2794863,17z/data=!3m1!4b1!4m5!3m4!1s0x48670c2ccf2eb465:0x9296b35bac4eb3ec!8m2!3d53.3548669!4d-6.2794863","https://www.google.com/maps/place/?q=place_id:ChIJZbQuzywMZ0gR7LNOrFuzlpI"
